,58437cf6331d6d0001ce72e5
PlayerDetails,58437cf6331d6d0001ce72e5
GameCompleted,declined
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,16
Pond2Type,RD
Pond2FishN,16
Pond3Type,RT
Pond3FishN,13
Pond4Type,RD
Pond4FishN,14
Pond5Type,RT
Pond5FishN,14
Pond6Type,RD
Pond6FishN,18
Pond7Type,RT
Pond7FishN,17
Pond8Type,RD
Pond8FishN,13
Pond9Type,RD
Pond9FishN,15
Pond10Type,RT
Pond10FishN,12
Pond11Type,RT
Pond11FishN,16
Pond12Type,RD
Pond12FishN,17
Date:,Sun Nov 10 2019 17:01:51 GMT+0000 (Greenwich Mean Time)
Pond7_Type,RT
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.043
Pond7Fish1_PondTime,5.644
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,10
Pond7Fish1_TimeLeft,1194.348
Pond7_Type,RT
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.282
Pond7Fish2_PondTime,12.027
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,20
Pond7Fish2_TimeLeft,1187.966
Pond7_Type,RT
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.183
Pond7Fish3_PondTime,18.696
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,30
Pond7Fish3_TimeLeft,1181.296
Pond7_Type,RT
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,0.925
Pond7Fish4_PondTime,25.688
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,40
Pond7Fish4_TimeLeft,1174.305
Pond7_Type,RT
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,0.785
Pond7Fish5_PondTime,33.079
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,50
Pond7Fish5_TimeLeft,1166.914
Pond7_Type,RT
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.471
Pond7Fish6_PondTime,40.927
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,60
Pond7Fish6_TimeLeft,1159.066
Pond7_Type,RT
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,0.823
Pond7Fish7_PondTime,49.301
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,70
Pond7Fish7_TimeLeft,1150.692
Pond7_Type,RT
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.414
Pond7Fish8_PondTime,58.374
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,80
Pond7Fish8_TimeLeft,1141.619
Pond7_Type,RT
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.392
Pond7Fish9_PondTime,68.278
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,90
Pond7Fish9_TimeLeft,1131.715
Pond7_Type,RT
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,1.114
Pond7Fish10_PondTime,79.285
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,100
Pond7Fish10_TimeLeft,1120.708
Pond7_GiveUpTime,2.434
Pond7_PondTime,81.425
Pond7_PondOutcome,100
Pond7_TotalOutcome,100
Pond7_TimeLeft,1118.568
Pond9IntroTime,15.248379434924573
Pond9_Type,RD
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,-1
Pond9Fish1_PondTime,24.515
Pond9Fish1_PondOutcome,0
Pond9Fish1_TotalOutcome,100
Pond9Fish1_TimeLeft,1094.053
Pond9_Type,RD
Pond9Fish2_FishType,gray
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.217
Pond9Fish2_PondTime,31.508
Pond9Fish2_PondOutcome,2
Pond9Fish2_TotalOutcome,102
Pond9Fish2_TimeLeft,1087.06
Pond9_Type,RD
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,-1
Pond9Fish3_PondTime,38.95
Pond9Fish3_PondOutcome,2
Pond9Fish3_TotalOutcome,102
Pond9Fish3_TimeLeft,1079.618
Pond9_Type,RD
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,1.118
Pond9Fish4_PondTime,46.842
Pond9Fish4_PondOutcome,14
Pond9Fish4_TotalOutcome,114
