,59946516a2bbe0000188324e
PlayerDetails,59946516a2bbe0000188324e
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,16
Pond2Type,RD
Pond2FishN,16
Pond3Type,RT
Pond3FishN,13
Pond4Type,RD
Pond4FishN,14
Pond5Type,RT
Pond5FishN,14
Pond6Type,RD
Pond6FishN,18
Pond7Type,RT
Pond7FishN,17
Pond8Type,RD
Pond8FishN,13
Pond9Type,RD
Pond9FishN,15
Pond10Type,RT
Pond10FishN,12
Pond11Type,RT
Pond11FishN,16
Pond12Type,RD
Pond12FishN,17
Date:,Sun Nov 10 2019 17:02:32 GMT+0000 (Greenwich Mean Time)
Pond9_Type,RD
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,1.074
Pond9Fish1_PondTime,6.178
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,12
Pond9Fish1_TimeLeft,1193.816
Pond9_Type,RD
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,0.806
Pond9Fish2_PondTime,13.231
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,24
Pond9Fish2_TimeLeft,1186.764
Pond9_Type,RD
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,0.844
Pond9Fish3_PondTime,20.668
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,36
Pond9Fish3_TimeLeft,1179.327
Pond9_Type,RD
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,0.897
Pond9Fish4_PondTime,28.523
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,48
Pond9Fish4_TimeLeft,1171.472
Pond9_Type,RD
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,0.724
Pond9Fish5_PondTime,36.943
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,60
Pond9Fish5_TimeLeft,1163.052
Pond9_Type,RD
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,0.848
Pond9Fish6_PondTime,46.037
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,72
Pond9Fish6_TimeLeft,1153.957
Pond9_Type,RD
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,0.815
Pond9Fish7_PondTime,55.93
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,84
Pond9Fish7_TimeLeft,1144.065
Pond9_Type,RD
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,0.935
Pond9Fish8_PondTime,66.905
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,96
Pond9Fish8_TimeLeft,1133.09
Pond9_GiveUpTime,10.749
Pond9_PondTime,77.201
Pond9_PondOutcome,96
Pond9_TotalOutcome,96
Pond9_TimeLeft,1122.794
Pond10IntroTime,16.479447367601097
Pond10_Type,RT
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.816
Pond10Fish1_PondTime,26.94
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,106
Pond10Fish1_TimeLeft,1095.854
Pond10_Type,RT
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,0.976
Pond10Fish2_PondTime,35.363
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,116
Pond10Fish2_TimeLeft,1087.431
Pond10_Type,RT
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.076
Pond10Fish3_PondTime,44.453
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,126
Pond10Fish3_TimeLeft,1078.341
Pond10_Type,RT
Pond10Fish4_FishType,golden
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,0.729
Pond10Fish4_PondTime,54.409
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,146
Pond10Fish4_TimeLeft,1068.385
Pond10_Type,RT
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,0.769
Pond10Fish5_PondTime,65.383
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,156
Pond10Fish5_TimeLeft,1057.411
Pond10_Type,RT
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,0.681
Pond10Fish6_PondTime,77.787
Pond10Fish6_PondOutcome,70
Pond10Fish6_TotalOutcome,166
Pond10Fish6_TimeLeft,1045.007
Pond10_Type,RT
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,0.773
