,59b555702a78fd00010b86d4
PlayerDetails,59b555702a78fd00010b86d4
GameCompleted,declined
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,16
Pond2Type,RD
Pond2FishN,16
Pond3Type,RT
Pond3FishN,13
Pond4Type,RD
Pond4FishN,14
Pond5Type,RT
Pond5FishN,14
Pond6Type,RD
Pond6FishN,18
Pond7Type,RT
Pond7FishN,17
Pond8Type,RD
Pond8FishN,13
Pond9Type,RD
Pond9FishN,15
Pond10Type,RT
Pond10FishN,12
Pond11Type,RT
Pond11FishN,16
Pond12Type,RD
Pond12FishN,17
Date:,Sun Nov 10 2019 17:02:56 GMT+0000 (Greenwich Mean Time)
Pond1_Type,RT
Pond1Fish1_FishType,golden
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,1.861
Pond1Fish1_PondTime,6.043
Pond1Fish1_PondOutcome,20
Pond1Fish1_TotalOutcome,20
Pond1Fish1_TimeLeft,1193.953
Pond1_Type,RT
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,1.886
Pond1Fish2_PondTime,12.871
Pond1Fish2_PondOutcome,30
Pond1Fish2_TotalOutcome,30
Pond1Fish2_TimeLeft,1187.126
Pond1_Type,RT
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,0.902
Pond1Fish3_PondTime,19.843
Pond1Fish3_PondOutcome,40
Pond1Fish3_TotalOutcome,40
Pond1Fish3_TimeLeft,1180.154
Pond1_Type,RT
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,0.94
Pond1Fish4_PondTime,27.205
Pond1Fish4_PondOutcome,50
Pond1Fish4_TotalOutcome,50
Pond1Fish4_TimeLeft,1172.792
Pond1_Type,RT
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,1.054
Pond1Fish5_PondTime,35.021
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,60
Pond1Fish5_TimeLeft,1164.976
Pond1_Type,RT
Pond1Fish6_FishType,golden
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,0.989
Pond1Fish6_PondTime,43.379
Pond1Fish6_PondOutcome,80
Pond1Fish6_TotalOutcome,80
Pond1Fish6_TimeLeft,1156.617
Pond1_Type,RT
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,1.177
Pond1Fish7_PondTime,52.409
Pond1Fish7_PondOutcome,90
Pond1Fish7_TotalOutcome,90
Pond1Fish7_TimeLeft,1147.588
Pond1_Type,RT
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,0.869
Pond1Fish8_PondTime,62.276
Pond1Fish8_PondOutcome,100
Pond1Fish8_TotalOutcome,100
Pond1Fish8_TimeLeft,1137.72
Pond1_Type,RT
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,7.5
Pond1Fish9_CatchTime,1.069
Pond1Fish9_PondTime,73.211
Pond1Fish9_PondOutcome,110
Pond1Fish9_TotalOutcome,110
Pond1Fish9_TimeLeft,1126.786
Pond1_GiveUpTime,1.295
Pond1_PondTime,74.177
Pond1_PondOutcome,110
Pond1_TotalOutcome,110
Pond1_TimeLeft,1125.819
Pond9IntroTime,18.9841945678927
Pond9_Type,RD
Pond9Fish1_FishType,blue
