,5bb625693e969700019bd28f
PlayerDetails,5bb625693e969700019bd28f
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,16
Pond2Type,RD
Pond2FishN,16
Pond3Type,RT
Pond3FishN,13
Pond4Type,RD
Pond4FishN,14
Pond5Type,RT
Pond5FishN,14
Pond6Type,RD
Pond6FishN,18
Pond7Type,RT
Pond7FishN,17
Pond8Type,RD
Pond8FishN,13
Pond9Type,RD
Pond9FishN,15
Pond10Type,RT
Pond10FishN,12
Pond11Type,RT
Pond11FishN,16
Pond12Type,RD
Pond12FishN,17
Date:,Sun Nov 10 2019 18:01:40 GMT+0100 (CET)
Pond9_Type,RD
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,0.953
Pond9Fish1_PondTime,6.15
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,12
Pond9Fish1_TimeLeft,1193.839
Pond9_Type,RD
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.335
Pond9Fish2_PondTime,13.147
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,24
Pond9Fish2_TimeLeft,1186.842
Pond9_Type,RD
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,1.207
Pond9Fish3_PondTime,20.538
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,36
Pond9Fish3_TimeLeft,1179.451
Pond9_Type,RD
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,1.122
Pond9Fish4_PondTime,28.358
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,48
Pond9Fish4_TimeLeft,1171.631
Pond9_Type,RD
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,0.991
Pond9Fish5_PondTime,36.723
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,60
Pond9Fish5_TimeLeft,1163.266
Pond9_Type,RD
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,1.086
Pond9Fish6_PondTime,45.757
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,72
Pond9Fish6_TimeLeft,1154.232
Pond9_Type,RD
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,1.149
Pond9Fish7_PondTime,55.641
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,84
Pond9Fish7_TimeLeft,1144.348
Pond9_Type,RD
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,1.137
Pond9Fish8_PondTime,66.569
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,96
Pond9Fish8_TimeLeft,1133.42
Pond9_Type,RD
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,1.281
Pond9Fish9_PondTime,78.927
Pond9Fish9_PondOutcome,108
Pond9Fish9_TotalOutcome,108
Pond9Fish9_TimeLeft,1121.061
Pond9_Type,RD
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,10
