,5bdeeb372562330001b9799a
PlayerDetails,5bdeeb372562330001b9799a
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,16
Pond2Type,RD
Pond2FishN,16
Pond3Type,RT
Pond3FishN,13
Pond4Type,RD
Pond4FishN,14
Pond5Type,RT
Pond5FishN,14
Pond6Type,RD
Pond6FishN,18
Pond7Type,RT
Pond7FishN,17
Pond8Type,RD
Pond8FishN,13
Pond9Type,RD
Pond9FishN,15
Pond10Type,RT
Pond10FishN,12
Pond11Type,RT
Pond11FishN,16
Pond12Type,RD
Pond12FishN,17
Date:,Sun Nov 10 2019 17:09:43 GMT+0000 (Greenwich Mean Time)
Pond2_Type,RD
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,0.934
Pond2Fish1_PondTime,5.903
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,12
Pond2Fish1_TimeLeft,1194.093
Pond2_Type,RD
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,1.126
Pond2Fish2_PondTime,12.604
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,24
Pond2Fish2_TimeLeft,1187.392
Pond2_Type,RD
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,1.217
Pond2Fish3_PondTime,19.644
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,36
Pond2Fish3_TimeLeft,1180.352
Pond2_Type,RD
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,0.797
Pond2Fish4_PondTime,27.036
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,48
Pond2Fish4_TimeLeft,1172.959
Pond2_Type,RD
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.177
Pond2Fish5_PondTime,34.906
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,60
Pond2Fish5_TimeLeft,1165.09
Pond2_GiveUpTime,1.302
Pond2_PondTime,35.985
Pond2_PondOutcome,60
Pond2_TotalOutcome,60
Pond2_TimeLeft,1164.01
Pond8IntroTime,12.737327588256449
Pond8_Type,RD
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.449
Pond8Fish1_PondTime,22.713
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,72
Pond8Fish1_TimeLeft,1141.297
Pond8_Type,RD
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.076
Pond8Fish2_PondTime,30.559
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,84
Pond8Fish2_TimeLeft,1133.451
Pond8_Type,RD
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,1.017
Pond8Fish3_PondTime,38.983
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,96
Pond8Fish3_TimeLeft,1125.027
Pond8_Type,RD
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,1.297
Pond8Fish4_PondTime,48.057
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,108
Pond8Fish4_TimeLeft,1115.952
Pond8_Type,RD
Pond8Fish5_FishType,gray
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,1.11
Pond8Fish5_PondTime,58.009
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,110
Pond8Fish5_TimeLeft,1106
Pond8_Type,RD
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,1.099
Pond8Fish6_PondTime,69.007
Pond8Fish6_PondOutcome,62
Pond8Fish6_TotalOutcome,122
Pond8Fish6_TimeLeft,1095.003
Pond8_Type,RD
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,1.508
Pond8Fish7_PondTime,81.41
Pond8Fish7_PondOutcome,74
Pond8Fish7_TotalOutcome,134
Pond8Fish7_TimeLeft,1082.6
Pond8_Type,RD
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,10
Pond8Fish8_CatchTime,1.068
Pond8Fish8_PondTime,95.817
Pond8Fish8_PondOutcome,86
Pond8Fish8_TotalOutcome,146
Pond8Fish8_TimeLeft,1068.193
Pond8_GiveUpTime,1.55
Pond8_PondTime,97.042
Pond8_PondOutcome,86
Pond8_TotalOutcome,146
Pond8_TimeLeft,1066.968
Pond4IntroTime,16.404128533322364
Pond4_Type,RD
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,0.845
Pond4Fish1_PondTime,26.013
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,158
Pond4Fish1_TimeLeft,1040.955
Pond4_Type,RD
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,0.999
Pond4Fish2_PondTime,33.48
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,170
Pond4Fish2_TimeLeft,1033.488
Pond4_Type,RD
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,0.915
Pond4Fish3_PondTime,41.327
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,182
Pond4Fish3_TimeLeft,1025.641
Pond4_Type,RD
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,1.073
Pond4Fish4_PondTime,49.753
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,194
Pond4Fish4_TimeLeft,1017.215
Pond4_Type,RD
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,0.856
Pond4Fish5_PondTime,58.911
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,206
Pond4Fish5_TimeLeft,1008.056
Pond4_Type,RD
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,0.966
Pond4Fish6_PondTime,68.852
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,218
Pond4Fish6_TimeLeft,998.116
Pond4_Type,RD
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,1.333
Pond4Fish7_PondTime,79.858
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,230
Pond4Fish7_TimeLeft,987.11
Pond4_Type,RD
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,8.571428571428571
Pond4Fish8_CatchTime,1.352
Pond4Fish8_PondTime,92.259
Pond4Fish8_PondOutcome,96
Pond4Fish8_TotalOutcome,242
Pond4Fish8_TimeLeft,974.708
Pond4_Type,RD
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,10
Pond4Fish9_CatchTime,1.037
Pond4Fish9_PondTime,106.688
Pond4Fish9_PondOutcome,108
Pond4Fish9_TotalOutcome,254
Pond4Fish9_TimeLeft,960.28
Pond4_Type,RD
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,12
Pond4Fish10_CatchTime,0.988
Pond4Fish10_PondTime,124.09
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,266
Pond4Fish10_TimeLeft,942.877
Pond4_GiveUpTime,2.341
Pond4_PondTime,126.017
Pond4_PondOutcome,120
