,5bf5e55ebf67dc00015a2b3f
PlayerDetails,5bf5e55ebf67dc00015a2b3f
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,16
Pond2Type,RD
Pond2FishN,16
Pond3Type,RT
Pond3FishN,13
Pond4Type,RD
Pond4FishN,14
Pond5Type,RT
Pond5FishN,14
Pond6Type,RD
Pond6FishN,18
Pond7Type,RT
Pond7FishN,17
Pond8Type,RD
Pond8FishN,13
Pond9Type,RD
Pond9FishN,15
Pond10Type,RT
Pond10FishN,12
Pond11Type,RT
Pond11FishN,16
Pond12Type,RD
Pond12FishN,17
Date:,Sun Nov 10 2019 18:08:05 GMT+0100 (czas środkowoeuropejski standardowy)
Pond10_Type,RT
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.272
Pond10Fish1_PondTime,7.318
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,10
Pond10Fish1_TimeLeft,1192.679
Pond10_Type,RT
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,2.043
Pond10Fish2_PondTime,15.726
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,20
Pond10Fish2_TimeLeft,1184.271
Pond10_Type,RT
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.125
Pond10Fish3_PondTime,24.751
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,30
Pond10Fish3_TimeLeft,1175.246
Pond10_Type,RT
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,1.29
Pond10Fish4_PondTime,34.613
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,40
Pond10Fish4_TimeLeft,1165.384
Pond10_Type,RT
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,1.058
Pond10Fish5_PondTime,45.542
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,50
Pond10Fish5_TimeLeft,1154.455
Pond10_Type,RT
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,1.094
Pond10Fish6_PondTime,57.903
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,60
Pond10Fish6_TimeLeft,1142.094
Pond10_Type,RT
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,1.352
Pond10Fish7_PondTime,72.267
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,70
Pond10Fish7_TimeLeft,1127.73
Pond10_GiveUpTime,1.109
Pond10_PondTime,73.341
Pond10_PondOutcome,70
Pond10_TotalOutcome,70
Pond10_TimeLeft,1126.656
Pond8IntroTime,14.114427131135017
Pond8_Type,RD
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.493
Pond8Fish1_PondTime,24.032
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,82
Pond8Fish1_TimeLeft,1102.624
Pond8_Type,RD
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.093
Pond8Fish2_PondTime,31.857
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,94
Pond8Fish2_TimeLeft,1094.799
Pond8_Type,RD
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,1.051
Pond8Fish3_PondTime,40.232
