,5c427c1747e71a00015cafd1
PlayerDetails,5c427c1747e71a00015cafd1
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,16
Pond2Type,RD
Pond2FishN,16
Pond3Type,RT
Pond3FishN,13
Pond4Type,RD
Pond4FishN,14
Pond5Type,RT
Pond5FishN,14
Pond6Type,RD
Pond6FishN,18
Pond7Type,RT
Pond7FishN,17
Pond8Type,RD
Pond8FishN,13
Pond9Type,RD
Pond9FishN,15
Pond10Type,RT
Pond10FishN,12
Pond11Type,RT
Pond11FishN,16
Pond12Type,RD
Pond12FishN,17
Date:,Sun Nov 10 2019 17:23:52 GMT+0000 (Western European Standard Time)
Pond6_Type,RD
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,1.111
Pond6Fish1_PondTime,5.399
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,12
Pond6Fish1_TimeLeft,1194.598
Pond6_Type,RD
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,0.775
Pond6Fish2_PondTime,11.518
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,24
Pond6Fish2_TimeLeft,1188.479
Pond6_Type,RD
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,1.049
Pond6Fish3_PondTime,17.889
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,36
Pond6Fish3_TimeLeft,1182.108
Pond6_Type,RD
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,-1
Pond6Fish4_PondTime,24.607
Pond6Fish4_PondOutcome,36
Pond6Fish4_TotalOutcome,36
Pond6Fish4_TimeLeft,1175.39
Pond6_Type,RD
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,1.003
Pond6Fish5_PondTime,31.593
Pond6Fish5_PondOutcome,48
Pond6Fish5_TotalOutcome,48
Pond6Fish5_TimeLeft,1168.404
Pond6_Type,RD
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,0.718
Pond6Fish6_PondTime,38.964
