,5c4a0edb10903d0001487d13
PlayerDetails,5c4a0edb10903d0001487d13
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,16
Pond2Type,RD
Pond2FishN,16
Pond3Type,RT
Pond3FishN,13
Pond4Type,RD
Pond4FishN,14
Pond5Type,RT
Pond5FishN,14
Pond6Type,RD
Pond6FishN,18
Pond7Type,RT
Pond7FishN,17
Pond8Type,RD
Pond8FishN,13
Pond9Type,RD
Pond9FishN,15
Pond10Type,RT
Pond10FishN,12
Pond11Type,RT
Pond11FishN,16
Pond12Type,RD
Pond12FishN,17
Date:,Sun Nov 10 2019 18:01:58 GMT+0100 (hora estándar de Europa central)
Pond2_Type,RD
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,-1
Pond2Fish1_PondTime,5.946
Pond2Fish1_PondOutcome,0
Pond2Fish1_TotalOutcome,0
Pond2Fish1_TimeLeft,1194.052
Pond2_Type,RD
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,1.757
Pond2Fish2_PondTime,12.727
Pond2Fish2_PondOutcome,12
Pond2Fish2_TotalOutcome,12
Pond2Fish2_TimeLeft,1187.271
Pond2_Type,RD
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,1.142
Pond2Fish3_PondTime,19.728
Pond2Fish3_PondOutcome,24
Pond2Fish3_TotalOutcome,24
Pond2Fish3_TimeLeft,1180.27
Pond2_Type,RD
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,1.424
Pond2Fish4_PondTime,27.157
Pond2Fish4_PondOutcome,36
Pond2Fish4_TotalOutcome,36
Pond2Fish4_TimeLeft,1172.841
Pond2_Type,RD
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.545
Pond2Fish5_PondTime,35.038
Pond2Fish5_PondOutcome,48
Pond2Fish5_TotalOutcome,48
Pond2Fish5_TimeLeft,1164.96
Pond2_Type,RD
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,1.283
Pond2Fish6_PondTime,43.437
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,60
Pond2Fish6_TimeLeft,1156.561
Pond2_Type,RD
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,1.722
Pond2Fish7_PondTime,52.5
Pond2Fish7_PondOutcome,72
Pond2Fish7_TotalOutcome,72
Pond2Fish7_TimeLeft,1147.498
Pond2_Type,RD
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,1.152
Pond2Fish8_PondTime,62.383
Pond2Fish8_PondOutcome,84
Pond2Fish8_TotalOutcome,84
Pond2Fish8_TimeLeft,1137.615
Pond2_Type,RD
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,7.5
Pond2Fish9_CatchTime,1.418
Pond2Fish9_PondTime,73.333
Pond2Fish9_PondOutcome,96
Pond2Fish9_TotalOutcome,96
Pond2Fish9_TimeLeft,1126.665
Pond2_Type,RD
Pond2Fish10_FishType,gray
Pond2Fish10_FishLatency,8.571428571428571
Pond2Fish10_CatchTime,1.797
Pond2Fish10_PondTime,85.827
Pond2Fish10_PondOutcome,98
Pond2Fish10_TotalOutcome,98
Pond2Fish10_TimeLeft,1114.171
Pond2_Type,RD
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,10
Pond2Fish11_CatchTime,1.548
Pond2Fish11_PondTime,100.235
Pond2Fish11_PondOutcome,110
Pond2Fish11_TotalOutcome,110
Pond2Fish11_TimeLeft,1099.763
Pond2_GiveUpTime,7.664
Pond2_PondTime,108.032
Pond2_PondOutcome,110
Pond2_TotalOutcome,110
Pond2_TimeLeft,1091.966
Pond12IntroTime,14.585323450155556
Pond12_Type,RD
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,1.431
Pond12Fish1_PondTime,23.309
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,122
Pond12Fish1_TimeLeft,1068.657
Pond12_Type,RD
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.75
Pond12Fish2_CatchTime,1.128
Pond12Fish2_PondTime,29.679
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,134
Pond12Fish2_TimeLeft,1062.287
Pond12_Type,RD
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4
Pond12Fish3_CatchTime,0.995
Pond12Fish3_PondTime,36.362
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,146
Pond12Fish3_TimeLeft,1055.604
Pond12_Type,RD
Pond12Fish4_FishType,gray
Pond12Fish4_FishLatency,4.285714285714286
Pond12Fish4_CatchTime,1.501
Pond12Fish4_PondTime,43.365
Pond12Fish4_PondOutcome,38
Pond12Fish4_TotalOutcome,148
Pond12Fish4_TimeLeft,1048.601
Pond12_Type,RD
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,4.615384615384615
Pond12Fish5_CatchTime,1.208
Pond12Fish5_PondTime,50.76
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,160
Pond12Fish5_TimeLeft,1041.206
Pond12_Type,RD
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,5
Pond12Fish6_CatchTime,0.986
Pond12Fish6_PondTime,58.645
Pond12Fish6_PondOutcome,62
Pond12Fish6_TotalOutcome,172
Pond12Fish6_TimeLeft,1033.321
Pond12_Type,RD
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,5.454545454545454
Pond12Fish7_CatchTime,0.982
Pond12Fish7_PondTime,67.053
Pond12Fish7_PondOutcome,74
Pond12Fish7_TotalOutcome,184
Pond12Fish7_TimeLeft,1024.913
Pond12_Type,RD
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,6
Pond12Fish8_CatchTime,1.413
Pond12Fish8_PondTime,76.113
Pond12Fish8_PondOutcome,86
Pond12Fish8_TotalOutcome,196
Pond12Fish8_TimeLeft,1015.853
Pond12_Type,RD
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,6.666666666666667
Pond12Fish9_CatchTime,1.002
Pond12Fish9_PondTime,86.008
Pond12Fish9_PondOutcome,98
Pond12Fish9_TotalOutcome,208
Pond12Fish9_TimeLeft,1005.958
Pond12_Type,RD
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,7.5
Pond12Fish10_CatchTime,1.369
Pond12Fish10_PondTime,96.991
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,220
Pond12Fish10_TimeLeft,994.975
Pond12_Type,RD
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,8.571428571428571
Pond12Fish11_CatchTime,1.379
Pond12Fish11_PondTime,109.39
Pond12Fish11_PondOutcome,122
Pond12Fish11_TotalOutcome,232
Pond12Fish11_TimeLeft,982.576
Pond12_Type,RD
Pond12Fish12_FishType,blue
Pond12Fish12_FishLatency,10
Pond12Fish12_CatchTime,1.114
Pond12Fish12_PondTime,123.798
Pond12Fish12_PondOutcome,134
Pond12Fish12_TotalOutcome,244
Pond12Fish12_TimeLeft,968.168
Pond12_Type,RD
Pond12Fish13_FishType,blue
Pond12Fish13_FishLatency,12
Pond12Fish13_CatchTime,1.137
Pond12Fish13_PondTime,141.207
Pond12Fish13_PondOutcome,146
Pond12Fish13_TotalOutcome,256
Pond12Fish13_TimeLeft,950.759
Pond12_Type,RD
Pond12Fish14_FishType,blue
Pond12Fish14_FishLatency,15
Pond12Fish14_CatchTime,1.077
Pond12Fish14_PondTime,163.595
Pond12Fish14_PondOutcome,158
Pond12Fish14_TotalOutcome,268
Pond12Fish14_TimeLeft,928.371
Pond12_GiveUpTime,1.201
Pond12_PondTime,164.479
Pond12_PondOutcome,158
Pond12_TotalOutcome,268
Pond12_TimeLeft,927.487
Pond7IntroTime,11.13307564985007
Pond7_Type,RT
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.453
Pond7Fish1_PondTime,19.817
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,278
Pond7Fish1_TimeLeft,907.67
Pond7_Type,RT
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.043
Pond7Fish2_PondTime,26.215
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,288
Pond7Fish2_TimeLeft,901.272
Pond7_Type,RT
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.199
Pond7Fish3_PondTime,32.926
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,298
Pond7Fish3_TimeLeft,894.561
Pond7_Type,RT
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.219
Pond7Fish4_PondTime,39.929
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,308
Pond7Fish4_TimeLeft,887.558
Pond7_Type,RT
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.072
Pond7Fish5_PondTime,47.346
