,5c798168b5254b00019065f5
PlayerDetails,5c798168b5254b00019065f5
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,16
Pond2Type,RD
Pond2FishN,16
Pond3Type,RT
Pond3FishN,13
Pond4Type,RD
Pond4FishN,14
Pond5Type,RT
Pond5FishN,14
Pond6Type,RD
Pond6FishN,18
Pond7Type,RT
Pond7FishN,17
Pond8Type,RD
Pond8FishN,13
Pond9Type,RD
Pond9FishN,15
Pond10Type,RT
Pond10FishN,12
Pond11Type,RT
Pond11FishN,16
Pond12Type,RD
Pond12FishN,17
Date:,Sun Nov 10 2019 18:01:35 GMT+0100 (czas środkowoeuropejski standardowy)
Pond3_Type,RT
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,-1
Pond3Fish1_PondTime,6.935
Pond3Fish1_PondOutcome,0
Pond3Fish1_TotalOutcome,0
Pond3Fish1_TimeLeft,1193.062
Pond3_Type,RT
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,0.891
Pond3Fish2_PondTime,14.759
Pond3Fish2_PondOutcome,10
Pond3Fish2_TotalOutcome,10
Pond3Fish2_TimeLeft,1185.238
Pond3_Type,RT
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,0.537
Pond3Fish3_PondTime,23.119
Pond3Fish3_PondOutcome,20
Pond3Fish3_TotalOutcome,20
Pond3Fish3_TimeLeft,1176.878
Pond3_Type,RT
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,1.085
Pond3Fish4_PondTime,32.145
Pond3Fish4_PondOutcome,30
Pond3Fish4_TotalOutcome,30
Pond3Fish4_TimeLeft,1167.852
Pond3_Type,RT
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,0.7
Pond3Fish5_PondTime,42.004
Pond3Fish5_PondOutcome,40
Pond3Fish5_TotalOutcome,40
Pond3Fish5_TimeLeft,1157.993
Pond3_Type,RT
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,0.931
Pond3Fish6_PondTime,52.95
Pond3Fish6_PondOutcome,50
Pond3Fish6_TotalOutcome,50
Pond3Fish6_TimeLeft,1147.047
Pond3_GiveUpTime,0.59
Pond3_PondTime,65.165
Pond3_PondOutcome,50
Pond3_TotalOutcome,50
Pond3_TimeLeft,1134.831
Pond11IntroTime,11.717055942863226
Pond11_Type,RT
Pond11Fish1_FishType,golden
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,0.719
Pond11Fish1_PondTime,20.616
Pond11Fish1_PondOutcome,20
Pond11Fish1_TotalOutcome,70
Pond11Fish1_TimeLeft,1114.215
Pond11_Type,RT
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,0.538
Pond11Fish2_PondTime,27.271
Pond11Fish2_PondOutcome,30
Pond11Fish2_TotalOutcome,80
Pond11Fish2_TimeLeft,1107.56
Pond11_Type,RT
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,1.4
Pond11Fish3_PondTime,34.244
Pond11Fish3_PondOutcome,40
Pond11Fish3_TotalOutcome,90
Pond11Fish3_TimeLeft,1100.587
Pond11_Type,RT
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,0.541
Pond11Fish4_PondTime,41.619
Pond11Fish4_PondOutcome,50
Pond11Fish4_TotalOutcome,100
Pond11Fish4_TimeLeft,1093.212
Pond11_Type,RT
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,0.994
Pond11Fish5_PondTime,49.444
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,110
Pond11Fish5_TimeLeft,1085.387
Pond11_Type,RT
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,0.679
Pond11Fish6_PondTime,57.802
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,120
Pond11Fish6_TimeLeft,1077.029
Pond11_Type,RT
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,0.677
Pond11Fish7_PondTime,66.826
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,130
Pond11Fish7_TimeLeft,1068.004
Pond11_Type,RT
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,6.666666666666667
Pond11Fish8_CatchTime,0.695
Pond11Fish8_PondTime,76.689
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,140
Pond11Fish8_TimeLeft,1058.142
Pond11_Type,RT
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,7.5
Pond11Fish9_CatchTime,0.877
Pond11Fish9_PondTime,87.632
Pond11Fish9_PondOutcome,100
Pond11Fish9_TotalOutcome,150
Pond11Fish9_TimeLeft,1047.199
Pond11_Type,RT
Pond11Fish10_FishType,golden
Pond11Fish10_FishLatency,8.571428571428571
Pond11Fish10_CatchTime,0.496
Pond11Fish10_PondTime,99.993
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,170
Pond11Fish10_TimeLeft,1034.838
Pond11_GiveUpTime,1.555
Pond11_PondTime,100.647
Pond11_PondOutcome,120
Pond11_TotalOutcome,170
Pond11_TimeLeft,1034.184
Pond5IntroTime,14.729803812224418
Pond5_Type,RT
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,0.785
Pond5Fish1_PondTime,24.256
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,180
Pond5Fish1_TimeLeft,1009.928
Pond5_Type,RT
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,0.538
Pond5Fish2_PondTime,31.629
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,190
Pond5Fish2_TimeLeft,1002.555
Pond5_Type,RT
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,0.629
Pond5Fish3_PondTime,39.457
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,200
Pond5Fish3_TimeLeft,994.727
Pond5_Type,RT
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,0.703
Pond5Fish4_PondTime,47.812
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,210
Pond5Fish4_TimeLeft,986.372
Pond5_Type,RT
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,0.773
Pond5Fish5_PondTime,56.837
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,220
Pond5Fish5_TimeLeft,977.347
Pond5_Type,RT
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,0.719
Pond5Fish6_PondTime,66.699
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,230
Pond5Fish6_TimeLeft,967.485
Pond5_Type,RT
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,0.717
Pond5Fish7_PondTime,77.644
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,240
Pond5Fish7_TimeLeft,956.54
Pond5_GiveUpTime,0.593
Pond5_PondTime,90.063
Pond5_PondOutcome,70
Pond5_TotalOutcome,240
Pond5_TimeLeft,944.121
Pond7IntroTime,11.119652495253831
Pond7_Type,RT
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,0.631
Pond7Fish1_PondTime,19.761
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,250
Pond7Fish1_TimeLeft,924.36
Pond7_Type,RT
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,0.969
Pond7Fish2_PondTime,26.116
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,260
Pond7Fish2_TimeLeft,918.005
Pond7_Type,RT
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,0.799
Pond7Fish3_PondTime,32.758
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,270
Pond7Fish3_TimeLeft,911.363
Pond7_Type,RT
Pond7Fish4_FishType,golden
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,0.854
Pond7Fish4_PondTime,39.732
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,290
Pond7Fish4_TimeLeft,904.389
Pond7_Type,RT
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.12
Pond7Fish5_PondTime,47.089
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,300
Pond7Fish5_TimeLeft,897.032
Pond7_Type,RT
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,0.52
Pond7Fish6_PondTime,54.914
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,310
Pond7Fish6_TimeLeft,889.207
Pond7_Type,RT
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,0.624
Pond7Fish7_PondTime,63.272
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,320
Pond7Fish7_TimeLeft,880.849
Pond7_Type,RT
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,0.838
Pond7Fish8_PondTime,72.298
Pond7Fish8_PondOutcome,90
Pond7Fish8_TotalOutcome,330
Pond7Fish8_TimeLeft,871.823
Pond7_Type,RT
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,0.755
Pond7Fish9_PondTime,82.158
Pond7Fish9_PondOutcome,100
Pond7Fish9_TotalOutcome,340
Pond7Fish9_TimeLeft,861.963
Pond7_Type,RT
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,0.752
Pond7Fish10_PondTime,93.101
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,350
Pond7Fish10_TimeLeft,851.02
Pond7_GiveUpTime,0.979
Pond7_PondTime,105.892
Pond7_PondOutcome,110
Pond7_TotalOutcome,350
Pond7_TimeLeft,838.229
Pond6IntroTime,10.325034412089735
Pond6_Type,RD
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,0.748
Pond6Fish1_PondTime,18.79
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,362
Pond6Fish1_TimeLeft,819.439
Pond6_Type,RD
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,0.655
Pond6Fish2_PondTime,24.912
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,374
Pond6Fish2_TimeLeft,813.317
Pond6_Type,RD
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,0.747
Pond6Fish3_PondTime,31.271
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,386
Pond6Fish3_TimeLeft,806.958
Pond6_Type,RD
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,0.979
Pond6Fish4_PondTime,37.926
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,398
Pond6Fish4_TimeLeft,800.303
Pond6_Type,RD
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,0.536
Pond6Fish5_PondTime,44.901
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,410
Pond6Fish5_TimeLeft,793.328
Pond6_Type,RD
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,0.725
Pond6Fish6_PondTime,52.257
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,422
Pond6Fish6_TimeLeft,785.972
Pond6_Type,RD
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,0.621
Pond6Fish7_PondTime,60.081
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,434
Pond6Fish7_TimeLeft,778.148
Pond6_Type,RD
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,0.671
Pond6Fish8_PondTime,68.442
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,446
Pond6Fish8_TimeLeft,769.787
Pond6_Type,RD
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,0.702
Pond6Fish9_PondTime,77.465
Pond6Fish9_PondOutcome,108
Pond6Fish9_TotalOutcome,458
Pond6Fish9_TimeLeft,760.764
Pond6_Type,RD
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,0.71
Pond6Fish10_PondTime,87.326
Pond6Fish10_PondOutcome,120
Pond6Fish10_TotalOutcome,470
Pond6Fish10_TimeLeft,750.903
Pond6_Type,RD
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,0.708
Pond6Fish11_PondTime,98.269
Pond6Fish11_PondOutcome,132
Pond6Fish11_TotalOutcome,482
Pond6Fish11_TimeLeft,739.96
Pond6_GiveUpTime,0.547
Pond6_PondTime,110.462
Pond6_PondOutcome,132
Pond6_TotalOutcome,482
Pond6_TimeLeft,727.767
Pond10IntroTime,11.573521387763321
Pond10_Type,RT
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.767
Pond10Fish1_PondTime,21.908
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,492
Pond10Fish1_TimeLeft,705.859
Pond10_Type,RT
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,0.704
Pond10Fish2_PondTime,30.266
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,502
Pond10Fish2_TimeLeft,697.5
Pond10_Type,RT
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,0.79
Pond10Fish3_PondTime,39.293
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,512
Pond10Fish3_TimeLeft,688.474
Pond10_Type,RT
Pond10Fish4_FishType,golden
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,0.662
Pond10Fish4_PondTime,49.151
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,532
Pond10Fish4_TimeLeft,678.616
Pond10_Type,RT
Pond10Fish5_FishType,golden
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,0.561
Pond10Fish5_PondTime,60.082
Pond10Fish5_PondOutcome,70
Pond10Fish5_TotalOutcome,552
Pond10Fish5_TimeLeft,667.685
Pond10_GiveUpTime,0.579
Pond10_PondTime,72.504
Pond10_PondOutcome,70
Pond10_TotalOutcome,552
Pond10_TimeLeft,655.263
Pond2IntroTime,18.019287318456918
Pond2_Type,RD
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,0.519
Pond2Fish1_PondTime,26.915
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,564
Pond2Fish1_TimeLeft,628.348
Pond2_Type,RD
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,0.564
Pond2Fish2_PondTime,33.574
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,576
Pond2Fish2_TimeLeft,621.689
Pond2_Type,RD
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,0.522
Pond2Fish3_PondTime,40.546
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,588
Pond2Fish3_TimeLeft,614.716
Pond2_Type,RD
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,0.488
Pond2Fish4_PondTime,47.92
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,600
Pond2Fish4_TimeLeft,607.343
Pond2_Type,RD
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,0.656
Pond2Fish5_PondTime,55.746
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,612
Pond2Fish5_TimeLeft,599.517
Pond2_Type,RD
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,0.942
Pond2Fish6_PondTime,64.103
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,624
Pond2Fish6_TimeLeft,591.16
Pond2_Type,RD
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,0.571
Pond2Fish7_PondTime,73.132
Pond2Fish7_PondOutcome,84
Pond2Fish7_TotalOutcome,636
Pond2Fish7_TimeLeft,582.131
Pond2_Type,RD
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,0.604
Pond2Fish8_PondTime,82.99
Pond2Fish8_PondOutcome,96
Pond2Fish8_TotalOutcome,648
Pond2Fish8_TimeLeft,572.273
Pond2_Type,RD
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,7.5
Pond2Fish9_CatchTime,1.194
Pond2Fish9_PondTime,93.916
Pond2Fish9_PondOutcome,108
Pond2Fish9_TotalOutcome,660
Pond2Fish9_TimeLeft,561.347
Pond2_Type,RD
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,8.571428571428571
Pond2Fish10_CatchTime,0.604
Pond2Fish10_PondTime,106.278
Pond2Fish10_PondOutcome,120
Pond2Fish10_TotalOutcome,672
Pond2Fish10_TimeLeft,548.985
Pond2_Type,RD
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,10
Pond2Fish11_CatchTime,0.601
Pond2Fish11_PondTime,120.644
Pond2Fish11_PondOutcome,132
Pond2Fish11_TotalOutcome,684
Pond2Fish11_TimeLeft,534.619
Pond2_Type,RD
Pond2Fish12_FishType,gray
Pond2Fish12_FishLatency,12
Pond2Fish12_CatchTime,0.907
Pond2Fish12_PondTime,138.013
Pond2Fish12_PondOutcome,134
Pond2Fish12_TotalOutcome,686
Pond2Fish12_TimeLeft,517.25
Pond2_GiveUpTime,0.893
Pond2_PondTime,160.591
Pond2_PondOutcome,134
Pond2_TotalOutcome,686
Pond2_TimeLeft,494.672
Pond12IntroTime,13.320363119710237
Pond12_Type,RD
Pond12Fish1_FishType,blue
