,5c87fa88a341300016587b01
PlayerDetails,5c87fa88a341300016587b01
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,16
Pond2Type,RD
Pond2FishN,16
Pond3Type,RT
Pond3FishN,13
Pond4Type,RD
Pond4FishN,14
Pond5Type,RT
Pond5FishN,14
Pond6Type,RD
Pond6FishN,18
Pond7Type,RT
Pond7FishN,17
Pond8Type,RD
Pond8FishN,13
Pond9Type,RD
Pond9FishN,15
Pond10Type,RT
Pond10FishN,12
Pond11Type,RT
Pond11FishN,16
Pond12Type,RD
Pond12FishN,17
Date:,Sun Nov 10 2019 18:27:37 GMT+0100 (Central European Standard Time)
Pond11_Type,RT
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,1.36
Pond11Fish1_PondTime,5.862
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,10
Pond11Fish1_TimeLeft,1194.135
Pond11_Type,RT
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,1.422
Pond11Fish2_PondTime,12.51
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,20
Pond11Fish2_TimeLeft,1187.487
Pond11_Type,RT
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,1.209
Pond11Fish3_PondTime,19.493
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,30
Pond11Fish3_TimeLeft,1180.505
Pond11_Type,RT
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,1.239
Pond11Fish4_PondTime,26.859
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,40
Pond11Fish4_TimeLeft,1173.139
Pond11_Type,RT
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,1.529
Pond11Fish5_PondTime,34.674
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,50
Pond11Fish5_TimeLeft,1165.324
Pond11_Type,RT
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,1.128
Pond11Fish6_PondTime,43.041
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,60
Pond11Fish6_TimeLeft,1156.957
Pond11_Type,RT
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,1.158
Pond11Fish7_PondTime,52.073
Pond11Fish7_PondOutcome,70
Pond11Fish7_TotalOutcome,70
Pond11Fish7_TimeLeft,1147.925
Pond11_Type,RT
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,6.666666666666667
Pond11Fish8_CatchTime,1.378
Pond11Fish8_PondTime,61.938
Pond11Fish8_PondOutcome,80
Pond11Fish8_TotalOutcome,80
Pond11Fish8_TimeLeft,1138.06
Pond11_Type,RT
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,7.5
Pond11Fish9_CatchTime,1.37
Pond11Fish9_PondTime,72.872
Pond11Fish9_PondOutcome,90
Pond11Fish9_TotalOutcome,90
Pond11Fish9_TimeLeft,1127.126
Pond11_Type,RT
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,8.571428571428571
Pond11Fish10_CatchTime,1.375
Pond11Fish10_PondTime,85.235
Pond11Fish10_PondOutcome,100
Pond11Fish10_TotalOutcome,100
Pond11Fish10_TimeLeft,1114.763
Pond11_Type,RT
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,10
Pond11Fish11_CatchTime,1.286
Pond11Fish11_PondTime,99.6
Pond11Fish11_PondOutcome,110
Pond11Fish11_TotalOutcome,110
Pond11Fish11_TimeLeft,1100.397
Pond11_Type,RT
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,12
Pond11Fish12_CatchTime,1.485
Pond11Fish12_PondTime,116.966
Pond11Fish12_PondOutcome,120
Pond11Fish12_TotalOutcome,120
Pond11Fish12_TimeLeft,1083.032
Pond11_GiveUpTime,17.057
Pond11_PondTime,134.12
Pond11_PondOutcome,120
Pond11_TotalOutcome,120
Pond11_TimeLeft,1065.877
Pond2IntroTime,18.617882400285453
Pond2_Type,RD
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,1.291
Pond2Fish1_PondTime,27.523
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,132
Pond2Fish1_TimeLeft,1038.354
Pond2_Type,RD
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,1.567
Pond2Fish2_PondTime,34.173
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,144
Pond2Fish2_TimeLeft,1031.704
Pond2_Type,RD
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,1.196
Pond2Fish3_PondTime,41.155
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,156
Pond2Fish3_TimeLeft,1024.722
Pond2_Type,RD
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,1.313
Pond2Fish4_PondTime,48.521
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,168
Pond2Fish4_TimeLeft,1017.356
Pond2_Type,RD
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.151
Pond2Fish5_PondTime,56.337
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,180
Pond2Fish5_TimeLeft,1009.54
Pond2_Type,RD
Pond2Fish6_FishType,gray
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,1.659
Pond2Fish6_PondTime,64.718
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,182
Pond2Fish6_TimeLeft,1001.159
Pond2_Type,RD
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,1.36
Pond2Fish7_PondTime,73.752
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,194
Pond2Fish7_TimeLeft,992.125
Pond2_Type,RD
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,1.497
Pond2Fish8_PondTime,83.618
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,206
Pond2Fish8_TimeLeft,982.259
Pond2_Type,RD
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,7.5
Pond2Fish9_CatchTime,1.468
Pond2Fish9_PondTime,94.55
Pond2Fish9_PondOutcome,98
Pond2Fish9_TotalOutcome,218
Pond2Fish9_TimeLeft,971.327
Pond2_Type,RD
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,8.571428571428571
Pond2Fish10_CatchTime,1.163
Pond2Fish10_PondTime,106.914
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,230
Pond2Fish10_TimeLeft,958.963
Pond2_Type,RD
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,10
Pond2Fish11_CatchTime,1.773
Pond2Fish11_PondTime,121.362
Pond2Fish11_PondOutcome,122
Pond2Fish11_TotalOutcome,242
Pond2Fish11_TimeLeft,944.515
Pond2_Type,RD
Pond2Fish12_FishType,blue
Pond2Fish12_FishLatency,12
Pond2Fish12_CatchTime,1.474
Pond2Fish12_PondTime,138.728
Pond2Fish12_PondOutcome,134
Pond2Fish12_TotalOutcome,254
Pond2Fish12_TimeLeft,927.149
Pond2_Type,RD
Pond2Fish13_FishType,blue
Pond2Fish13_FishLatency,15
Pond2Fish13_CatchTime,1.386
Pond2Fish13_PondTime,161.092
Pond2Fish13_PondOutcome,146
Pond2Fish13_TotalOutcome,266
Pond2Fish13_TimeLeft,904.785
Pond2_GiveUpTime,31.042
Pond2_PondTime,192.131
Pond2_PondOutcome,146
Pond2_TotalOutcome,266
Pond2_TimeLeft,873.746
Pond3IntroTime,17.892562625929713
Pond3_Type,RT
Pond3Fish1_FishType,golden
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,1.186
Pond3Fish1_PondTime,27.788
Pond3Fish1_PondOutcome,20
Pond3Fish1_TotalOutcome,286
Pond3Fish1_TimeLeft,845.958
Pond3_Type,RT
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,1.256
Pond3Fish2_PondTime,35.603
Pond3Fish2_PondOutcome,30
Pond3Fish2_TotalOutcome,296
Pond3Fish2_TimeLeft,838.143
Pond3_Type,RT
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,1.42
Pond3Fish3_PondTime,43.971
Pond3Fish3_PondOutcome,40
Pond3Fish3_TotalOutcome,306
Pond3Fish3_TimeLeft,829.775
Pond3_Type,RT
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,1.44
Pond3Fish4_PondTime,53.003
Pond3Fish4_PondOutcome,50
Pond3Fish4_TotalOutcome,316
Pond3Fish4_TimeLeft,820.743
Pond3_Type,RT
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,1.487
Pond3Fish5_PondTime,62.868
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,326
Pond3Fish5_TimeLeft,810.878
Pond3_Type,RT
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,1.386
Pond3Fish6_PondTime,73.8
Pond3Fish6_PondOutcome,70
Pond3Fish6_TotalOutcome,336
Pond3Fish6_TimeLeft,799.946
Pond3_Type,RT
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,8.571428571428571
Pond3Fish7_CatchTime,1.352
Pond3Fish7_PondTime,86.165
Pond3Fish7_PondOutcome,80
Pond3Fish7_TotalOutcome,346
Pond3Fish7_TimeLeft,787.581
Pond3_Type,RT
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,10
Pond3Fish8_CatchTime,1.284
Pond3Fish8_PondTime,100.53
Pond3Fish8_PondOutcome,90
Pond3Fish8_TotalOutcome,356
Pond3Fish8_TimeLeft,773.216
Pond3_Type,RT
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,12
Pond3Fish9_CatchTime,1.352
Pond3Fish9_PondTime,117.896
Pond3Fish9_PondOutcome,100
Pond3Fish9_TotalOutcome,366
Pond3Fish9_TimeLeft,755.85
Pond3_GiveUpTime,0.985
Pond3_PondTime,118.844
Pond3_PondOutcome,100
Pond3_TotalOutcome,366
Pond3_TimeLeft,754.901
Pond7IntroTime,12.755132254678756
Pond7_Type,RT
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.187
Pond7Fish1_PondTime,21.413
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,376
Pond7Fish1_TimeLeft,733.487
Pond7_Type,RT
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.496
Pond7Fish2_PondTime,27.781
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,386
Pond7Fish2_TimeLeft,727.12
Pond7_Type,RT
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.453
Pond7Fish3_PondTime,34.43
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,396
Pond7Fish3_TimeLeft,720.471
Pond7_Type,RT
Pond7Fish4_FishType,golden
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.169
Pond7Fish4_PondTime,41.413
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,416
Pond7Fish4_TimeLeft,713.488
Pond7_Type,RT
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,2.008
Pond7Fish5_PondTime,48.843
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,426
Pond7Fish5_TimeLeft,706.058
Pond7_Type,RT
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.291
Pond7Fish6_PondTime,56.663
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,436
Pond7Fish6_TimeLeft,698.238
Pond7_Type,RT
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,1.221
Pond7Fish7_PondTime,65.026
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,446
Pond7Fish7_TimeLeft,689.875
Pond7_Type,RT
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.374
Pond7Fish8_PondTime,74.059
Pond7Fish8_PondOutcome,90
Pond7Fish8_TotalOutcome,456
Pond7Fish8_TimeLeft,680.842
Pond7_Type,RT
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.25
Pond7Fish9_PondTime,83.924
Pond7Fish9_PondOutcome,100
Pond7Fish9_TotalOutcome,466
Pond7Fish9_TimeLeft,670.977
Pond7_Type,RT
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,1.256
Pond7Fish10_PondTime,94.856
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,476
Pond7Fish10_TimeLeft,660.045
Pond7_Type,RT
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,1.178
Pond7Fish11_PondTime,107.221
Pond7Fish11_PondOutcome,120
Pond7Fish11_TotalOutcome,486
Pond7Fish11_TimeLeft,647.68
Pond7_GiveUpTime,0.853
Pond7_PondTime,107.856
Pond7_PondOutcome,120
Pond7_TotalOutcome,486
Pond7_TimeLeft,647.045
Pond1IntroTime,18.745861074421555
Pond1_Type,RT
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,1.393
Pond1Fish1_PondTime,27.68
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,496
Pond1Fish1_TimeLeft,619.365
Pond1_Type,RT
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,1.431
Pond1Fish2_PondTime,34.329
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,506
Pond1Fish2_TimeLeft,612.716
Pond1_Type,RT
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,1.635
Pond1Fish3_PondTime,41.31
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,516
Pond1Fish3_TimeLeft,605.735
Pond1_Type,RT
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,1.405
Pond1Fish4_PondTime,48.677
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,526
Pond1Fish4_TimeLeft,598.368
Pond1_Type,RT
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,1.306
Pond1Fish5_PondTime,56.492
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,536
Pond1Fish5_TimeLeft,590.553
Pond1_Type,RT
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,1.22
Pond1Fish6_PondTime,64.858
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,546
Pond1Fish6_TimeLeft,582.187
Pond1_Type,RT
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,1.555
Pond1Fish7_PondTime,73.891
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,556
Pond1Fish7_TimeLeft,573.154
Pond1_Type,RT
Pond1Fish8_FishType,golden
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,1.552
Pond1Fish8_PondTime,83.756
Pond1Fish8_PondOutcome,90
Pond1Fish8_TotalOutcome,576
Pond1Fish8_TimeLeft,563.289
Pond1_Type,RT
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,7.5
Pond1Fish9_CatchTime,1.278
Pond1Fish9_PondTime,94.687
Pond1Fish9_PondOutcome,100
Pond1Fish9_TotalOutcome,586
Pond1Fish9_TimeLeft,552.358
Pond1_Type,RT
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,8.571428571428571
Pond1Fish10_CatchTime,1.385
Pond1Fish10_PondTime,107.054
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,596
Pond1Fish10_TimeLeft,539.991
Pond1_GiveUpTime,1.229
Pond1_PondTime,108.28
Pond1_PondOutcome,110
Pond1_TotalOutcome,596
Pond1_TimeLeft,538.765
