,5d6ed168d7d0900001831af8
PlayerDetails,5d6ed168d7d0900001831af8
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,16
Pond2Type,RD
Pond2FishN,16
Pond3Type,RT
Pond3FishN,13
Pond4Type,RD
Pond4FishN,14
Pond5Type,RT
Pond5FishN,14
Pond6Type,RD
Pond6FishN,18
Pond7Type,RT
Pond7FishN,17
Pond8Type,RD
Pond8FishN,13
Pond9Type,RD
Pond9FishN,15
Pond10Type,RT
Pond10FishN,12
Pond11Type,RT
Pond11FishN,16
Pond12Type,RD
Pond12FishN,17
Date:,Sun Nov 10 2019 18:24:38 GMT+0100 (czas środkowoeuropejski standardowy)
Pond8_Type,RD
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,0.626
Pond8Fish1_PondTime,6.86
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,12
Pond8Fish1_TimeLeft,1193.138
Pond8_Type,RD
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,0.706
Pond8Fish2_PondTime,14.675
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,24
Pond8Fish2_TimeLeft,1185.323
Pond8_Type,RD
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,0.668
Pond8Fish3_PondTime,23.036
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,36
Pond8Fish3_TimeLeft,1176.962
Pond8_Type,RD
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,0.996
Pond8Fish4_PondTime,32.064
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,48
Pond8Fish4_TimeLeft,1167.934
Pond8_Type,RD
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,0.741
Pond8Fish5_PondTime,41.92
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,60
Pond8Fish5_TimeLeft,1158.078
Pond8_Type,RD
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,0.743
Pond8Fish6_PondTime,53.856
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,72
Pond8Fish6_TimeLeft,1146.142
Pond8_GiveUpTime,0.46
Pond8_PondTime,67.07
Pond8_PondOutcome,72
Pond8_TotalOutcome,72
Pond8_TimeLeft,1132.928
Pond4IntroTime,12.926671749446541
Pond4_Type,RD
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,0.886
Pond4Fish1_PondTime,22.434
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,84
Pond4Fish1_TimeLeft,1110.494
Pond4_Type,RD
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,1.086
Pond4Fish2_PondTime,29.794
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,96
Pond4Fish2_TimeLeft,1103.134
Pond4_Type,RD
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,0.712
Pond4Fish3_PondTime,37.608
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,108
Pond4Fish3_TimeLeft,1095.32
Pond4_Type,RD
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,0.677
Pond4Fish4_PondTime,45.971
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,120
Pond4Fish4_TimeLeft,1086.957
Pond4_Type,RD
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,0.729
Pond4Fish5_PondTime,55
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,132
Pond4Fish5_TimeLeft,1077.928
Pond4_Type,RD
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,0.749
Pond4Fish6_PondTime,64.866
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,144
Pond4Fish6_TimeLeft,1068.061
Pond4_Type,RD
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,1.002
Pond4Fish7_PondTime,75.807
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,156
Pond4Fish7_TimeLeft,1057.121
Pond4_Type,RD
Pond4Fish8_FishType,gray
Pond4Fish8_FishLatency,8.571428571428571
Pond4Fish8_CatchTime,0.873
Pond4Fish8_PondTime,88.167
Pond4Fish8_PondOutcome,86
Pond4Fish8_TotalOutcome,158
Pond4Fish8_TimeLeft,1044.761
Pond4_GiveUpTime,0.506
Pond4_PondTime,102.4
Pond4_PondOutcome,86
Pond4_TotalOutcome,158
Pond4_TimeLeft,1030.528
Pond2IntroTime,17.56352705648169
Pond2_Type,RD
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,0.78
Pond2Fish1_PondTime,26.469
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,170
Pond2Fish1_TimeLeft,1004.059
Pond2_Type,RD
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,0.653
Pond2Fish2_PondTime,33.123
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,182
Pond2Fish2_TimeLeft,997.405
Pond2_Type,RD
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,0.646
Pond2Fish3_PondTime,40.097
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,194
Pond2Fish3_TimeLeft,990.431
Pond2_Type,RD
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,0.774
Pond2Fish4_PondTime,47.458
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,206
Pond2Fish4_TimeLeft,983.07
Pond2_Type,RD
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,0.806
Pond2Fish5_PondTime,55.273
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,218
Pond2Fish5_TimeLeft,975.255
Pond2_Type,RD
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,1.196
Pond2Fish6_PondTime,63.636
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,230
Pond2Fish6_TimeLeft,966.892
Pond2_Type,RD
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,0.64
Pond2Fish7_PondTime,72.665
Pond2Fish7_PondOutcome,84
Pond2Fish7_TotalOutcome,242
Pond2Fish7_TimeLeft,957.863
Pond2_Type,RD
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,0.907
Pond2Fish8_PondTime,82.532
Pond2Fish8_PondOutcome,96
Pond2Fish8_TotalOutcome,254
Pond2Fish8_TimeLeft,947.996
Pond2_Type,RD
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,7.5
Pond2Fish9_CatchTime,0.764
Pond2Fish9_PondTime,93.468
Pond2Fish9_PondOutcome,108
Pond2Fish9_TotalOutcome,266
Pond2Fish9_TimeLeft,937.06
Pond2_Type,RD
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,8.571428571428571
Pond2Fish10_CatchTime,0.633
Pond2Fish10_PondTime,105.831
Pond2Fish10_PondOutcome,120
Pond2Fish10_TotalOutcome,278
Pond2Fish10_TimeLeft,924.697
Pond2_Type,RD
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,10
Pond2Fish11_CatchTime,0.966
Pond2Fish11_PondTime,120.193
Pond2Fish11_PondOutcome,132
Pond2Fish11_TotalOutcome,290
Pond2Fish11_TimeLeft,910.335
Pond2_GiveUpTime,0.349
Pond2_PondTime,137.391
Pond2_PondOutcome,132
Pond2_TotalOutcome,290
Pond2_TimeLeft,893.137
Pond6IntroTime,13.28720884397626
Pond6_Type,RD
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,0.912
Pond6Fish1_PondTime,21.704
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,302
Pond6Fish1_TimeLeft,871.433
Pond6_Type,RD
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,0.901
Pond6Fish2_PondTime,27.811
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,314
Pond6Fish2_TimeLeft,865.326
Pond6_Type,RD
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,1.301
Pond6Fish3_PondTime,34.17
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,326
Pond6Fish3_TimeLeft,858.967
Pond6_Type,RD
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,0.698
Pond6Fish4_PondTime,40.814
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,338
Pond6Fish4_TimeLeft,852.323
Pond6_Type,RD
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,0.805
Pond6Fish5_PondTime,47.789
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,350
Pond6Fish5_TimeLeft,845.348
Pond6_Type,RD
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,0.954
Pond6Fish6_PondTime,55.151
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,362
Pond6Fish6_TimeLeft,837.986
Pond6_Type,RD
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,0.65
Pond6Fish7_PondTime,62.967
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,374
Pond6Fish7_TimeLeft,830.17
Pond6_Type,RD
Pond6Fish8_FishType,blue
