,5d7459582a3f0f001a0e43ac
PlayerDetails,5d7459582a3f0f001a0e43ac
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,16
Pond2Type,RD
Pond2FishN,16
Pond3Type,RT
Pond3FishN,13
Pond4Type,RD
Pond4FishN,14
Pond5Type,RT
Pond5FishN,14
Pond6Type,RD
Pond6FishN,18
Pond7Type,RT
Pond7FishN,17
Pond8Type,RD
Pond8FishN,13
Pond9Type,RD
Pond9FishN,15
Pond10Type,RT
Pond10FishN,12
Pond11Type,RT
Pond11FishN,16
Pond12Type,RD
Pond12FishN,17
Date:,Sun Nov 10 2019 17:25:37 GMT+0000 (Greenwich Mean Time)
Pond3_Type,RT
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,1.274
Pond3Fish1_PondTime,6.881
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,10
Pond3Fish1_TimeLeft,1193.111
Pond3_Type,RT
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,1.291
Pond3Fish2_PondTime,14.731
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,20
Pond3Fish2_TimeLeft,1185.261
Pond3_Type,RT
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,1.105
Pond3Fish3_PondTime,23.168
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,30
Pond3Fish3_TimeLeft,1176.824
Pond3_Type,RT
