,5d79156e0c89aa0001026dc8
PlayerDetails,5d79156e0c89aa0001026dc8
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,16
Pond2Type,RD
Pond2FishN,16
Pond3Type,RT
Pond3FishN,13
Pond4Type,RD
Pond4FishN,14
Pond5Type,RT
Pond5FishN,14
Pond6Type,RD
Pond6FishN,18
Pond7Type,RT
Pond7FishN,17
Pond8Type,RD
Pond8FishN,13
Pond9Type,RD
Pond9FishN,15
Pond10Type,RT
Pond10FishN,12
Pond11Type,RT
Pond11FishN,16
Pond12Type,RD
Pond12FishN,17
Date:,Sun Nov 10 2019 12:10:43 GMT-0500 (Eastern Standard Time)
Pond8_Type,RD
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.036
Pond8Fish1_PondTime,6.974
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,12
Pond8Fish1_TimeLeft,1192.998
Pond8_Type,RD
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.326
Pond8Fish2_PondTime,14.87
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,24
Pond8Fish2_TimeLeft,1185.103
Pond8_Type,RD
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,1.316
Pond8Fish3_PondTime,23.312
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,36
Pond8Fish3_TimeLeft,1176.66
Pond8_Type,RD
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,1.336
Pond8Fish4_PondTime,32.393
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,48
Pond8Fish4_TimeLeft,1167.579
Pond8_Type,RD
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,1.1
Pond8Fish5_PondTime,42.329
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,60
Pond8Fish5_TimeLeft,1157.643
Pond8_Type,RD
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,0.968
Pond8Fish6_PondTime,53.338
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,72
Pond8Fish6_TimeLeft,1146.635
Pond8_Type,RD
Pond8Fish7_FishType,gray
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,1.472
Pond8Fish7_PondTime,65.764
Pond8Fish7_PondOutcome,74
Pond8Fish7_TotalOutcome,74
Pond8Fish7_TimeLeft,1134.209
Pond8_Type,RD
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,10
Pond8Fish8_CatchTime,1.293
Pond8Fish8_PondTime,80.199
Pond8Fish8_PondOutcome,86
Pond8Fish8_TotalOutcome,86
Pond8Fish8_TimeLeft,1119.773
Pond8_Type,RD
Pond8Fish9_FishType,gray
Pond8Fish9_FishLatency,12
Pond8Fish9_CatchTime,2.053
Pond8Fish9_PondTime,97.71
Pond8Fish9_PondOutcome,88
Pond8Fish9_TotalOutcome,88
Pond8Fish9_TimeLeft,1102.261
Pond8_Type,RD
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,15
Pond8Fish10_CatchTime,1.235
Pond8Fish10_PondTime,120.158
Pond8Fish10_PondOutcome,100
Pond8Fish10_TotalOutcome,100
Pond8Fish10_TimeLeft,1079.815
Pond8_GiveUpTime,2.213
Pond8_PondTime,122.198
Pond8_PondOutcome,100
Pond8_TotalOutcome,100
Pond8_TimeLeft,1077.775
Pond3IntroTime,14.456832546275109
Pond3_Type,RT
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,1.33
Pond3Fish1_PondTime,24.489
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,110
Pond3Fish1_TimeLeft,1053.286
Pond3_Type,RT
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,1.267
Pond3Fish2_PondTime,32.378
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,120
Pond3Fish2_TimeLeft,1045.397
Pond3_Type,RT
Pond3Fish3_FishType,purple
