,5dbba186a9e74e186663bd60
PlayerDetails,5dbba186a9e74e186663bd60
GameCompleted,exited
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,16
Pond2Type,RD
Pond2FishN,16
Pond3Type,RT
Pond3FishN,13
Pond4Type,RD
Pond4FishN,14
Pond5Type,RT
Pond5FishN,14
Pond6Type,RD
Pond6FishN,18
Pond7Type,RT
Pond7FishN,17
Pond8Type,RD
Pond8FishN,13
Pond9Type,RD
Pond9FishN,15
Pond10Type,RT
Pond10FishN,12
Pond11Type,RT
Pond11FishN,16
Pond12Type,RD
Pond12FishN,17
Date:,Sun Nov 10 2019 17:03:33 GMT+0000 (Hora padrão da Europa Ocidental)
Pond3_Type,RT
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,1.186
Pond3Fish1_PondTime,6.961
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,10
Pond3Fish1_TimeLeft,1193.034
Pond3_Type,RT
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,0.905
Pond3Fish2_PondTime,14.804
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,20
Pond3Fish2_TimeLeft,1185.192
Pond3_Type,RT
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,0.941
Pond3Fish3_PondTime,23.202
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,30
Pond3Fish3_TimeLeft,1176.793
Pond3_Type,RT
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,1.072
Pond3Fish4_PondTime,32.264
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,40
Pond3Fish4_TimeLeft,1167.732
Pond3_Type,RT
Pond3Fish5_FishType,golden
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,0.98
Pond3Fish5_PondTime,42.177
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,60
Pond3Fish5_TimeLeft,1157.818
Pond3_Type,RT
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,0.993
Pond3Fish6_PondTime,53.175
Pond3Fish6_PondOutcome,70
Pond3Fish6_TotalOutcome,70
Pond3Fish6_TimeLeft,1146.82
Pond3_Type,RT
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,8.571428571428571
Pond3Fish7_CatchTime,1.385
Pond3Fish7_PondTime,65.574
Pond3Fish7_PondOutcome,80
Pond3Fish7_TotalOutcome,80
Pond3Fish7_TimeLeft,1134.421
Pond3_Type,RT
Pond3Fish8_FishType,golden
Pond3Fish8_FishLatency,10
Pond3Fish8_CatchTime,1.088
Pond3Fish8_PondTime,79.965
Pond3Fish8_PondOutcome,100
Pond3Fish8_TotalOutcome,100
Pond3Fish8_TimeLeft,1120.031
Pond3_Type,RT
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,12
Pond3Fish9_CatchTime,1.491
Pond3Fish9_PondTime,97.351
Pond3Fish9_PondOutcome,110
Pond3Fish9_TotalOutcome,110
Pond3Fish9_TimeLeft,1102.644
Pond3_Type,RT
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,15
