,5dc46f5b61384b4581168353
PlayerDetails,5dc46f5b61384b4581168353
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,16
Pond2Type,RD
Pond2FishN,16
Pond3Type,RT
Pond3FishN,13
Pond4Type,RD
Pond4FishN,14
Pond5Type,RT
Pond5FishN,14
Pond6Type,RD
Pond6FishN,18
Pond7Type,RT
Pond7FishN,17
Pond8Type,RD
Pond8FishN,13
Pond9Type,RD
Pond9FishN,15
Pond10Type,RT
Pond10FishN,12
Pond11Type,RT
Pond11FishN,16
Pond12Type,RD
Pond12FishN,17
Date:,Sun Nov 10 2019 17:00:33 GMT+0000 (Western European Standard Time)
Pond11_Type,RT
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,1.285
Pond11Fish1_PondTime,5.869
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,10
Pond11Fish1_TimeLeft,1194.129
Pond11_Type,RT
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,0.587
Pond11Fish2_PondTime,12.511
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,20
Pond11Fish2_TimeLeft,1187.487
Pond11_Type,RT
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,1.114
Pond11Fish3_PondTime,19.482
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,30
Pond11Fish3_TimeLeft,1180.515
Pond11_Type,RT
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,0.587
Pond11Fish4_PondTime,26.839
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,40
Pond11Fish4_TimeLeft,1173.159
Pond11_Type,RT
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,0.625
Pond11Fish5_PondTime,34.656
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,50
Pond11Fish5_TimeLeft,1165.342
Pond11_Type,RT
Pond11Fish6_FishType,golden
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,0.788
Pond11Fish6_PondTime,43.018
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,70
Pond11Fish6_TimeLeft,1156.98
Pond11_Type,RT
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,0.655
Pond11Fish7_PondTime,52.043
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,80
Pond11Fish7_TimeLeft,1147.955
Pond11_GiveUpTime,8.018
Pond11_PondTime,59.317
Pond11_PondOutcome,80
Pond11_TotalOutcome,80
Pond11_TimeLeft,1140.681
Pond4IntroTime,17.05389219801873
Pond4_Type,RD
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,0.638
Pond4Fish1_PondTime,26.552
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,92
Pond4Fish1_TimeLeft,1114.129
Pond4_Type,RD
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,0.905
Pond4Fish2_PondTime,33.913
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,104
Pond4Fish2_TimeLeft,1106.768
Pond4_Type,RD
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,-1
Pond4Fish3_PondTime,41.784
Pond4Fish3_PondOutcome,24
Pond4Fish3_TotalOutcome,104
Pond4Fish3_TimeLeft,1098.897
Pond4_Type,RD
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,0.546
Pond4Fish4_PondTime,50.141
Pond4Fish4_PondOutcome,36
Pond4Fish4_TotalOutcome,116
Pond4Fish4_TimeLeft,1090.54
Pond4_Type,RD
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,0.603
Pond4Fish5_PondTime,59.169
Pond4Fish5_PondOutcome,48
Pond4Fish5_TotalOutcome,128
Pond4Fish5_TimeLeft,1081.512
Pond4_Type,RD
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,0.587
Pond4Fish6_PondTime,69.029
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,140
Pond4Fish6_TimeLeft,1071.652
Pond4_Type,RD
Pond4Fish7_FishType,gray
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,0.608
Pond4Fish7_PondTime,79.959
Pond4Fish7_PondOutcome,62
Pond4Fish7_TotalOutcome,142
Pond4Fish7_TimeLeft,1060.722
Pond4_GiveUpTime,6.08
Pond4_PondTime,85.246
Pond4_PondOutcome,62
Pond4_TotalOutcome,142
Pond4_TimeLeft,1055.435
Pond6IntroTime,16.262334131170064
Pond6_Type,RD
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,0.543
Pond6Fish1_PondTime,24.676
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,154
Pond6Fish1_TimeLeft,1030.759
Pond6_Type,RD
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,0.731
Pond6Fish2_PondTime,30.787
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,166
Pond6Fish2_TimeLeft,1024.648
Pond6_Type,RD
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,0.733
Pond6Fish3_PondTime,37.148
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,178
Pond6Fish3_TimeLeft,1018.287
Pond6_Type,RD
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,0.534
