,5697e499c37@4e
PlayerDetails,5697e499c37@4e
GameCompleted,declined
Selected ponds in the game,=======
Pond2_Type,RD
Pond2_#Fishes,13
Pond3_Type,RD
Pond3_#Fishes,14
Pond1_Type,RD
Pond1_#Fishes,12
Pond12_Type,RD
Pond12_#Fishes,14
Pond7_Type,RD
Pond7_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 11:31:08 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,-1
Pond2Fish1_PondTime,9.404
Pond2Fish1_PondOutcome,0
Pond2Fish1_TotalOutcome,0
Pond2Fish1_TimeLeft,1192.989
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.367
Pond2Fish2_PondTime,17.268
Pond2Fish2_PondOutcome,12
Pond2Fish2_TotalOutcome,12
Pond2Fish2_TimeLeft,1185.126
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.146
Pond2Fish3_PondTime,25.67
Pond2Fish3_PondOutcome,24
Pond2Fish3_TotalOutcome,24
Pond2Fish3_TimeLeft,1176.724
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.143
Pond2Fish4_PondTime,34.762
Pond2Fish4_PondOutcome,36
Pond2Fish4_TotalOutcome,36
Pond2Fish4_TimeLeft,1167.632
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,1.485
Pond2Fish5_PondTime,44.677
Pond2Fish5_PondOutcome,48
Pond2Fish5_TotalOutcome,48
Pond2Fish5_TimeLeft,1157.717
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,1.919
Pond2Fish6_PondTime,55.855
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,60
Pond2Fish6_TimeLeft,1146.539
PondEnd_LastFish,6
FishN,13
Type,RD
GiveUpTime,7.355
PondTime,63.108
TimeLeft,1138.781
PondOutcome,60
TotalOutcome,60
PondStart,PondStart
PondIntroTime,19.600271771196276
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.718
Pond3Fish1_PondTime,8.973
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,72
Pond3Fish1_TimeLeft,1109.443
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.315
Pond3Fish2_PondTime,16.372
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,84
Pond3Fish2_TimeLeft,1102.044
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,-1
Pond3Fish3_PondTime,24.306
Pond3Fish3_PondOutcome,24
Pond3Fish3_TotalOutcome,84
Pond3Fish3_TimeLeft,1094.11
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,0.945
Pond3Fish4_PondTime,32.738
Pond3Fish4_PondOutcome,36
Pond3Fish4_TotalOutcome,96
Pond3Fish4_TimeLeft,1085.677
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,1.315
Pond3Fish5_PondTime,41.836
Pond3Fish5_PondOutcome,48
Pond3Fish5_TotalOutcome,108
Pond3Fish5_TimeLeft,1076.58
