,56cc926a425487000a76dbc6
PlayerDetails,56cc926a425487000a76dbc6
GameCompleted,declined
Selected ponds in the game,=======
Pond11_Type,RD
Pond11_#Fishes,12
Pond4_Type,RD
Pond4_#Fishes,14
Pond10_Type,RD
Pond10_#Fishes,17
Pond2_Type,RD
Pond2_#Fishes,13
Pond3_Type,RD
Pond3_#Fishes,16
Pond6_Type,RD
Pond6_#Fishes,14
Pond12_Type,RD
Pond12_#Fishes,19
Pond5_Type,RD
Pond5_#Fishes,12
Pond8_Type,RD
Pond8_#Fishes,12
Pond1_Type,RD
Pond1_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 12:53:45 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,0.965
Pond11Fish1_PondTime,9.732
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,12
Pond11Fish1_TimeLeft,1192.653
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,0.987
Pond11Fish2_PondTime,18.096
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,24
Pond11Fish2_TimeLeft,1184.289
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,0.865
Pond11Fish3_PondTime,27.13
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,36
Pond11Fish3_TimeLeft,1175.255
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,1.818
Pond11Fish4_PondTime,37.119
Pond11Fish4_PondOutcome,48
