,57027b6768c641000e0c894a
PlayerDetails,57027b6768c641000e0c894a
GameCompleted,finished
Selected ponds in the game,=======
Pond5_Type,RD
Pond5_#Fishes,14
Pond9_Type,RD
Pond9_#Fishes,17
Pond3_Type,RD
Pond3_#Fishes,14
Pond4_Type,RD
Pond4_#Fishes,16
Pond8_Type,RD
Pond8_#Fishes,18
Pond2_Type,RD
Pond2_#Fishes,19
Pond1_Type,RD
Pond1_#Fishes,17
Pond6_Type,RD
Pond6_#Fishes,12
Pond10_Type,RD
Pond10_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 11:19:33 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.555
Pond5Fish1_PondTime,8.956
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,12
Pond5Fish1_TimeLeft,1193.442
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.532
Pond5Fish2_PondTime,16.327
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,24
Pond5Fish2_TimeLeft,1186.071
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.283
Pond5Fish3_PondTime,24.157
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,36
Pond5Fish3_TimeLeft,1178.24
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.274
Pond5Fish4_PondTime,32.52
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,48
Pond5Fish4_TimeLeft,1169.878
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.423
Pond5Fish5_PondTime,41.547
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,60
Pond5Fish5_TimeLeft,1160.851
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.848
Pond5Fish6_PondTime,51.593
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,72
Pond5Fish6_TimeLeft,1150.805
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.842
Pond5Fish7_PondTime,62.691
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,84
Pond5Fish7_TimeLeft,1139.706
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.346
Pond5Fish8_PondTime,75.075
Pond5Fish8_PondOutcome,96
Pond5Fish8_TotalOutcome,96
Pond5Fish8_TimeLeft,1127.322
PondEnd_LastFish,8
FishN,14
Type,RD
GiveUpTime,1.963
PondTime,76.584
TimeLeft,1125.31
PondOutcome,96
TotalOutcome,96
PondStart,PondStart
PondIntroTime,14.861753797158599
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,1.456
Pond9Fish1_PondTime,8.034
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,108
Pond9Fish1_TimeLeft,1101.779
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,1.176
Pond9Fish2_PondTime,14.402
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,120
Pond9Fish2_TimeLeft,1095.411
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,1.384
Pond9Fish3_PondTime,21.052
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,132
Pond9Fish3_TimeLeft,1088.761
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,1.379
Pond9Fish4_PondTime,28.036
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,144
Pond9Fish4_TimeLeft,1081.777
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,-1
Pond9Fish5_PondTime,35.477
Pond9Fish5_PondOutcome,48
Pond9Fish5_TotalOutcome,144
Pond9Fish5_TimeLeft,1074.336
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,1.307
Pond9Fish6_PondTime,43.301
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,156
Pond9Fish6_TimeLeft,1066.512
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,1.686
Pond9Fish7_PondTime,51.684
Pond9Fish7_PondOutcome,72
Pond9Fish7_TotalOutcome,168
Pond9Fish7_TimeLeft,1058.129
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,1.622
Pond9Fish8_PondTime,60.715
Pond9Fish8_PondOutcome,84
Pond9Fish8_TotalOutcome,180
Pond9Fish8_TimeLeft,1049.098
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,1.418
Pond9Fish9_PondTime,70.586
Pond9Fish9_PondOutcome,96
Pond9Fish9_TotalOutcome,192
Pond9Fish9_TimeLeft,1039.227
Type,RD
FishN,18
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,1.606
Pond9Fish10_PondTime,81.531
Pond9Fish10_PondOutcome,108
Pond9Fish10_TotalOutcome,204
Pond9Fish10_TimeLeft,1028.282
Type,RD
FishN,18
Fish,11
Pond9Fish11_FishType,gray
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,1.484
Pond9Fish11_PondTime,93.927
Pond9Fish11_PondOutcome,110
Pond9Fish11_TotalOutcome,206
Pond9Fish11_TimeLeft,1015.886
PondEnd_LastFish,11
FishN,17
Type,RD
GiveUpTime,3.219
PondTime,96.833
TimeLeft,1012.473
PondOutcome,110
TotalOutcome,206
PondStart,PondStart
PondIntroTime,19.33511567534879
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.42
Pond3Fish1_PondTime,8.904
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,218
Pond3Fish1_TimeLeft,983.598
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.439
Pond3Fish2_PondTime,16.263
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,230
Pond3Fish2_TimeLeft,976.239
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,gray
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,1.644
Pond3Fish3_PondTime,24.088
Pond3Fish3_PondOutcome,26
Pond3Fish3_TotalOutcome,232
Pond3Fish3_TimeLeft,968.414
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
