,5788e1834a84da00014c4199
PlayerDetails,5788e1834a84da00014c4199
GameCompleted,finished
Selected ponds in the game,=======
Pond2_Type,RD
Pond2_#Fishes,19
Pond6_Type,RD
Pond6_#Fishes,18
Pond4_Type,RD
Pond4_#Fishes,17
Pond8_Type,RD
Pond8_#Fishes,13
Pond12_Type,RD
Pond12_#Fishes,18
Pond11_Type,RD
Pond11_#Fishes,19
Pond1_Type,RD
Pond1_#Fishes,17
Pond3_Type,RD
Pond3_#Fishes,19
Pond7_Type,RD
Pond7_#Fishes,13
Pond9_Type,RD
Pond9_#Fishes,19
Pond5_Type,RD
Pond5_#Fishes,13
Pond10_Type,RD
Pond10_#Fishes,17
Pond8_Type,RD
Pond8_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 11:25:31 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,1.214
Pond2Fish1_PondTime,7.679
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,12
Pond2Fish1_TimeLeft,1194.494
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,1.189
Pond2Fish2_PondTime,13.861
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,24
Pond2Fish2_TimeLeft,1188.312
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,1.194
Pond2Fish3_PondTime,20.024
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,36
Pond2Fish3_TimeLeft,1182.149
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,0.869
Pond2Fish4_PondTime,26.527
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,48
Pond2Fish4_TimeLeft,1175.646
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,1.051
Pond2Fish5_PondTime,33.231
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,60
