,57da96a2bcd7150001ded382
PlayerDetails,57da96a2bcd7150001ded382
GameCompleted,finished
Selected ponds in the game,=======
Pond5_Type,RD
Pond5_#Fishes,14
Pond7_Type,RD
Pond7_#Fishes,12
Pond6_Type,RD
Pond6_#Fishes,15
Pond4_Type,RD
Pond4_#Fishes,19
Pond8_Type,RD
Pond8_#Fishes,12
Pond1_Type,RD
Pond1_#Fishes,12
Pond10_Type,RD
Pond10_#Fishes,18
Pond2_Type,RD
Pond2_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 12:32:02 GMT+0100 (hora estándar de Europa central)
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,2
Pond5Fish1_PondTime,9.203
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,12
Pond5Fish1_TimeLeft,1193.181
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.693
Pond5Fish2_PondTime,16.621
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,24
Pond5Fish2_TimeLeft,1185.767
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.428
Pond5Fish3_PondTime,24.488
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,36
Pond5Fish3_TimeLeft,1177.9
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.107
Pond5Fish4_PondTime,32.897
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,48
Pond5Fish4_TimeLeft,1169.491
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,gray
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.331
Pond5Fish5_PondTime,41.98
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,50
Pond5Fish5_TimeLeft,1160.408
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.21
Pond5Fish6_PondTime,51.893
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,62
Pond5Fish6_TimeLeft,1150.495
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.597
Pond5Fish7_PondTime,62.881
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,74
Pond5Fish7_TimeLeft,1139.507
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.32
Pond5Fish8_PondTime,75.304
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,86
Pond5Fish8_TimeLeft,1127.084
PondEnd_LastFish,8
FishN,14
Type,RD
GiveUpTime,1.984
PondTime,76.821
TimeLeft,1125.054
PondOutcome,86
TotalOutcome,86
PondStart,PondStart
PondIntroTime,18.7783569120802
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,1.524
Pond7Fish1_PondTime,9.795
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,98
Pond7Fish1_TimeLeft,1095.842
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,1.275
Pond7Fish2_PondTime,18.195
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,110
Pond7Fish2_TimeLeft,1087.442
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,gray
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,1.591
Pond7Fish3_PondTime,27.309
Pond7Fish3_PondOutcome,26
Pond7Fish3_TotalOutcome,112
Pond7Fish3_TimeLeft,1078.328
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,1.585
Pond7Fish4_PondTime,37.225
Pond7Fish4_PondOutcome,38
Pond7Fish4_TotalOutcome,124
Pond7Fish4_TimeLeft,1068.412
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,1.446
Pond7Fish5_PondTime,48.293
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,136
Pond7Fish5_TimeLeft,1057.344
Type,RD
FishN,18
Fish,6
