,586fbaa37e187d0001cb36d5
PlayerDetails,586fbaa37e187d0001cb36d5
GameCompleted,finished
Selected ponds in the game,=======
Pond1_Type,RD
Pond1_#Fishes,15
Pond7_Type,RD
Pond7_#Fishes,14
Pond6_Type,RD
Pond6_#Fishes,14
Pond8_Type,RD
Pond8_#Fishes,17
Pond2_Type,RD
Pond2_#Fishes,16
Pond3_Type,RD
Pond3_#Fishes,17
Pond4_Type,RD
Pond4_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 16:16:35 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,1.109
Pond1Fish1_PondTime,8.581
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,12
Pond1Fish1_TimeLeft,1193.762
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,1.1
Pond1Fish2_PondTime,15.567
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,24
Pond1Fish2_TimeLeft,1186.776
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,1.73
Pond1Fish3_PondTime,22.989
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,36
Pond1Fish3_TimeLeft,1179.354
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,1.505
Pond1Fish4_PondTime,30.829
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,48
Pond1Fish4_TimeLeft,1171.513
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,5.454545454545454
Pond1Fish5_CatchTime,1.089
Pond1Fish5_PondTime,39.188
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,60
Pond1Fish5_TimeLeft,1163.155
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,6
Pond1Fish6_CatchTime,0.916
Pond1Fish6_PondTime,48.239
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,72
Pond1Fish6_TimeLeft,1154.104
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,6.666666666666667
Pond1Fish7_CatchTime,1.354
Pond1Fish7_PondTime,58.099
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,84
Pond1Fish7_TimeLeft,1144.243
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,7.5
Pond1Fish8_CatchTime,1.714
Pond1Fish8_PondTime,69.077
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,96
Pond1Fish8_TimeLeft,1133.266
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,gray
Pond1Fish9_FishLatency,8.571428571428571
Pond1Fish9_CatchTime,1.26
Pond1Fish9_PondTime,81.447
Pond1Fish9_PondOutcome,98
Pond1Fish9_TotalOutcome,98
Pond1Fish9_TimeLeft,1120.896
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,10
Pond1Fish10_CatchTime,1.601
Pond1Fish10_PondTime,95.87
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,110
Pond1Fish10_TimeLeft,1106.472
PondEnd_LastFish,10
FishN,15
Type,RD
GiveUpTime,14.394
PondTime,110.064
TimeLeft,1091.774
PondOutcome,110
TotalOutcome,110
PondStart,PondStart
PondIntroTime,10.103869973681867
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,1.188
Pond7Fish1_PondTime,8.9
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,122
Pond7Fish1_TimeLeft,1072.054
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,1.31
Pond7Fish2_PondTime,16.29
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,134
Pond7Fish2_TimeLeft,1064.663
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,1.638
Pond7Fish3_PondTime,24.131
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,146
Pond7Fish3_TimeLeft,1056.823
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,gray
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,1.17
Pond7Fish4_PondTime,32.505
Pond7Fish4_PondOutcome,38
Pond7Fish4_TotalOutcome,148
Pond7Fish4_TimeLeft,1048.449
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,1.258
Pond7Fish5_PondTime,41.549
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,160
Pond7Fish5_TimeLeft,1039.405
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,gray
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,1.76
Pond7Fish6_PondTime,51.482
Pond7Fish6_PondOutcome,52
Pond7Fish6_TotalOutcome,162
Pond7Fish6_TimeLeft,1029.472
Type,RD
FishN,18
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,7.5
Pond7Fish7_CatchTime,1.626
Pond7Fish7_PondTime,62.427
Pond7Fish7_PondOutcome,64
Pond7Fish7_TotalOutcome,174
Pond7Fish7_TimeLeft,1018.527
Type,RD
FishN,18
Fish,8
Pond7Fish8_FishType,gray
Pond7Fish8_FishLatency,8.571428571428571
Pond7Fish8_CatchTime,1.754
Pond7Fish8_PondTime,74.861
Pond7Fish8_PondOutcome,66
Pond7Fish8_TotalOutcome,176
Pond7Fish8_TimeLeft,1006.093
Type,RD
FishN,18
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,10
Pond7Fish9_CatchTime,0.899
Pond7Fish9_PondTime,89.233
Pond7Fish9_PondOutcome,78
Pond7Fish9_TotalOutcome,188
Pond7Fish9_TimeLeft,991.721
Type,RD
FishN,18
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,12
Pond7Fish10_CatchTime,1.717
Pond7Fish10_PondTime,106.67
Pond7Fish10_PondOutcome,90
Pond7Fish10_TotalOutcome,200
Pond7Fish10_TimeLeft,974.284
Type,RD
FishN,18
Fish,11
Pond7Fish11_FishType,blue
Pond7Fish11_FishLatency,15
Pond7Fish11_CatchTime,1.673
Pond7Fish11_PondTime,129.144
Pond7Fish11_PondOutcome,102
Pond7Fish11_TotalOutcome,212
Pond7Fish11_TimeLeft,951.809
Type,RD
FishN,18
Fish,12
Pond7Fish12_FishType,blue
Pond7Fish12_FishLatency,20
Pond7Fish12_CatchTime,0.967
Pond7Fish12_PondTime,161.618
Pond7Fish12_PondOutcome,114
Pond7Fish12_TotalOutcome,224
Pond7Fish12_TimeLeft,919.336
PondEnd_LastFish,12
FishN,14
Type,RD
GiveUpTime,16.031
PondTime,176.82
TimeLeft,903.63
PondOutcome,114
TotalOutcome,224
PondStart,PondStart
PondIntroTime,13.82841661106795
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.846
Pond6Fish1_PondTime,9.037
Pond6Fish1_PondOutcome,12
