,5b6068f79f910b0001447dd0
PlayerDetails,5b6068f79f910b0001447dd0
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,RD
Pond7_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 12:54:47 GMT+0100 (czas środkowoeuropejski standardowy)
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,0.938
Pond7Fish1_PondTime,7.623
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,12
Pond7Fish1_TimeLeft,1194.765
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,0.793
Pond7Fish2_PondTime,13.514
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,24
Pond7Fish2_TimeLeft,1188.875
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,1.222
Pond7Fish3_PondTime,19.632
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,36
Pond7Fish3_TimeLeft,1182.756
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,-1
Pond7Fish4_PondTime,26.053
Pond7Fish4_PondOutcome,36
