,5b8fe6de30fa28000100f8db
PlayerDetails,5b8fe6de30fa28000100f8db
GameCompleted,declined
Selected ponds in the game,=======
Pond4_Type,RD
Pond4_#Fishes,14
Pond2_Type,RD
Pond2_#Fishes,15
Pond1_Type,RD
Pond1_#Fishes,13
Pond10_Type,RD
Pond10_#Fishes,19
Pond5_Type,RD
Pond5_#Fishes,18
Pond9_Type,RD
Pond9_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 12:28:06 GMT+0100 (Ora standard dell’Europa centrale)
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.424
Pond4Fish1_PondTime,8.899
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,12
Pond4Fish1_TimeLeft,1193.499
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,0.793
Pond4Fish2_PondTime,16.266
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,24
Pond4Fish2_TimeLeft,1186.132
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,gray
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,1.076
Pond4Fish3_PondTime,24.091
Pond4Fish3_PondOutcome,26
Pond4Fish3_TotalOutcome,26
Pond4Fish3_TimeLeft,1178.306
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,1.268
Pond4Fish4_PondTime,32.451
Pond4Fish4_PondOutcome,38
Pond4Fish4_TotalOutcome,38
Pond4Fish4_TimeLeft,1169.947
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,gray
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,1.115
Pond4Fish5_PondTime,41.48
Pond4Fish5_PondOutcome,40
Pond4Fish5_TotalOutcome,40
Pond4Fish5_TimeLeft,1160.918
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,1.143
Pond4Fish6_PondTime,51.342
Pond4Fish6_PondOutcome,52
Pond4Fish6_TotalOutcome,52
Pond4Fish6_TimeLeft,1151.056
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,1.121
Pond4Fish7_PondTime,62.284
Pond4Fish7_PondOutcome,64
Pond4Fish7_TotalOutcome,64
Pond4Fish7_TimeLeft,1140.114
Type,RD
FishN,17
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,8.571428571428571
Pond4Fish8_CatchTime,1.299
Pond4Fish8_PondTime,74.651
Pond4Fish8_PondOutcome,76
Pond4Fish8_TotalOutcome,76
Pond4Fish8_TimeLeft,1127.747
Type,RD
FishN,17
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,10
Pond4Fish9_CatchTime,1.524
Pond4Fish9_PondTime,89.015
Pond4Fish9_PondOutcome,88
Pond4Fish9_TotalOutcome,88
Pond4Fish9_TimeLeft,1113.383
Type,RD
FishN,17
Fish,10
Pond4Fish10_FishType,gray
Pond4Fish10_FishLatency,12
Pond4Fish10_CatchTime,1.264
Pond4Fish10_PondTime,106.37
Pond4Fish10_PondOutcome,90
Pond4Fish10_TotalOutcome,90
Pond4Fish10_TimeLeft,1096.028
PondEnd_LastFish,10
FishN,14
Type,RD
GiveUpTime,0.713
PondTime,106.558
TimeLeft,1095.335
PondOutcome,90
TotalOutcome,90
PondStart,PondStart
PondIntroTime,13.102609030902386
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4
Pond2Fish1_CatchTime,1.191
Pond2Fish1_PondTime,8.566
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,102
Pond2Fish1_TimeLeft,1073.018
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4.285714285714286
Pond2Fish2_CatchTime,0.927
Pond2Fish2_PondTime,15.551
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,114
Pond2Fish2_TimeLeft,1066.033
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,gray
Pond2Fish3_FishLatency,4.615384615384615
Pond2Fish3_CatchTime,-1
Pond2Fish3_PondTime,22.965
Pond2Fish3_PondOutcome,24
Pond2Fish3_TotalOutcome,114
Pond2Fish3_TimeLeft,1058.619
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,gray
Pond2Fish4_FishLatency,5
Pond2Fish4_CatchTime,0.895
Pond2Fish4_PondTime,30.782
Pond2Fish4_PondOutcome,26
Pond2Fish4_TotalOutcome,116
Pond2Fish4_TimeLeft,1050.802
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,5.454545454545454
