,5bec8599fdf8c50001d0d329
PlayerDetails,5bec8599fdf8c50001d0d329
GameCompleted,finished
Selected ponds in the game,=======
Pond9_Type,RD
Pond9_#Fishes,15
Pond10_Type,RD
Pond10_#Fishes,15
Pond12_Type,RD
Pond12_#Fishes,16
Pond8_Type,RD
Pond8_#Fishes,14
Pond6_Type,RD
Pond6_#Fishes,12
Pond11_Type,RD
Pond11_#Fishes,14
Pond1_Type,RD
Pond1_#Fishes,12
Pond5_Type,RD
Pond5_#Fishes,13
Pond2_Type,RD
Pond2_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 11:22:28 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,1.066
Pond9Fish1_PondTime,8.563
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,12
Pond9Fish1_TimeLeft,1193.836
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.258
Pond9Fish2_PondTime,15.54
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,24
Pond9Fish2_TimeLeft,1186.859
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,1.026
Pond9Fish3_PondTime,22.908
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,36
Pond9Fish3_TimeLeft,1179.49
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,0.86
Pond9Fish4_PondTime,30.74
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,48
Pond9Fish4_TimeLeft,1171.659
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,1.028
Pond9Fish5_PondTime,39.109
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,60
Pond9Fish5_TimeLeft,1163.289
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,1.285
Pond9Fish6_PondTime,48.154
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,72
Pond9Fish6_TimeLeft,1154.245
PondEnd_LastFish,6
FishN,15
Type,RD
GiveUpTime,0.664
PondTime,48.314
TimeLeft,1153.58
PondOutcome,72
TotalOutcome,72
PondStart,PondStart
PondIntroTime,10.011466706637293
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,0.865
Pond10Fish1_PondTime,8.57
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,84
Pond10Fish1_TimeLeft,1134.358
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,1.093
Pond10Fish2_PondTime,15.563
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,96
Pond10Fish2_TimeLeft,1127.366
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,1.091
Pond10Fish3_PondTime,22.945
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,108
Pond10Fish3_TimeLeft,1119.984
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,1.02
Pond10Fish4_PondTime,30.773
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,120
Pond10Fish4_TimeLeft,1112.155
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,-1
Pond10Fish5_PondTime,39.188
