,5bf003ccaf38d100016bb945
PlayerDetails,5bf003ccaf38d100016bb945
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,RD
Pond7_#Fishes,15
Pond3_Type,RD
Pond3_#Fishes,14
Pond1_Type,RD
Pond1_#Fishes,18
Pond5_Type,RD
Pond5_#Fishes,12
Pond6_Type,RD
Pond6_#Fishes,18
Pond4_Type,RD
Pond4_#Fishes,15
Pond2_Type,RD
Pond2_#Fishes,17
Pond12_Type,RD
Pond12_#Fishes,19
Pond8_Type,RD
Pond8_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 12:47:53 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,4
Pond7Fish1_CatchTime,1.041
Pond7Fish1_PondTime,8.578
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,12
Pond7Fish1_TimeLeft,1193.822
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,1.766
Pond7Fish2_PondTime,15.661
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,24
Pond7Fish2_TimeLeft,1186.739
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,4.615384615384615
Pond7Fish3_CatchTime,0.912
Pond7Fish3_PondTime,23.061
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,36
Pond7Fish3_TimeLeft,1179.339
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,0.631
Pond7Fish4_PondTime,30.926
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,48
Pond7Fish4_TimeLeft,1171.474
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,5.454545454545454
Pond7Fish5_CatchTime,0.988
Pond7Fish5_PondTime,39.317
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,60
Pond7Fish5_TimeLeft,1163.083
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,6
Pond7Fish6_CatchTime,0.686
Pond7Fish6_PondTime,48.377
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,72
Pond7Fish6_TimeLeft,1154.023
Type,RD
FishN,18
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,6.666666666666667
Pond7Fish7_CatchTime,1.357
Pond7Fish7_PondTime,58.277
Pond7Fish7_PondOutcome,84
Pond7Fish7_TotalOutcome,84
Pond7Fish7_TimeLeft,1144.123
Type,RD
FishN,18
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,7.5
Pond7Fish8_CatchTime,0.64
