,5c0909b43329c500019bc149
PlayerDetails,5c0909b43329c500019bc149
GameCompleted,finished
Selected ponds in the game,=======
Pond12_Type,RD
Pond12_#Fishes,14
Pond9_Type,RD
Pond9_#Fishes,15
Pond5_Type,RD
Pond5_#Fishes,19
Pond8_Type,RD
Pond8_#Fishes,13
Pond1_Type,RD
Pond1_#Fishes,18
Pond4_Type,RD
Pond4_#Fishes,17
Pond2_Type,RD
Pond2_#Fishes,15
Pond10_Type,RD
Pond10_#Fishes,18
Pond11_Type,RD
Pond11_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 16:22:54 GMT+0000 (Hora padrão da Europa Ocidental)
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,1.275
Pond12Fish1_PondTime,8.909
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,12
Pond12Fish1_TimeLeft,1193.489
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.615384615384615
