,5c448a8452eba20001da07d0
PlayerDetails,5c448a8452eba20001da07d0
GameCompleted,finished
Selected ponds in the game,=======
Pond11_Type,RD
Pond11_#Fishes,14
Pond9_Type,RD
Pond9_#Fishes,19
Pond2_Type,RD
Pond2_#Fishes,14
Pond12_Type,RD
Pond12_#Fishes,15
Pond6_Type,RD
Pond6_#Fishes,12
Pond10_Type,RD
Pond10_#Fishes,17
Pond3_Type,RD
Pond3_#Fishes,13
Pond4_Type,RD
Pond4_#Fishes,17
Pond1_Type,RD
Pond1_#Fishes,19
Pond8_Type,RD
Pond8_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 11:26:26 GMT+0000 (Hora padrão da Europa Ocidental)
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,0.952
Pond11Fish1_PondTime,8.927
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,12
Pond11Fish1_TimeLeft,1193.469
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,1.798
Pond11Fish2_PondTime,16.411
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,24
Pond11Fish2_TimeLeft,1185.985
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,1.201
Pond11Fish3_PondTime,24.27
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,36
Pond11Fish3_TimeLeft,1178.124
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,1.456
Pond11Fish4_PondTime,32.677
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,48
Pond11Fish4_TimeLeft,1169.719
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,1.153
Pond11Fish5_PondTime,41.754
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,60
Pond11Fish5_TimeLeft,1160.641
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,1.359
Pond11Fish6_PondTime,51.67
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,72
Pond11Fish6_TimeLeft,1150.726
Type,RD
FishN,16
Fish,7
Pond11Fish7_FishType,gray
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,1.155
Pond11Fish7_PondTime,62.634
Pond11Fish7_PondOutcome,74
Pond11Fish7_TotalOutcome,74
Pond11Fish7_TimeLeft,1139.762
Type,RD
FishN,16
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,8.571428571428571
Pond11Fish8_CatchTime,1.254
Pond11Fish8_PondTime,75.024
Pond11Fish8_PondOutcome,86
Pond11Fish8_TotalOutcome,86
Pond11Fish8_TimeLeft,1127.372
PondEnd_LastFish,8
FishN,14
Type,RD
GiveUpTime,10.655
PondTime,85.126
TimeLeft,1116.76
PondOutcome,86
TotalOutcome,86
PondStart,PondStart
PondIntroTime,12.257556098047644
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.357
Pond9Fish1_PondTime,7.654
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,98
Pond9Fish1_TimeLeft,1096.184
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,0.747
Pond9Fish2_PondTime,13.575
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,110
Pond9Fish2_TimeLeft,1090.262
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,0.819
Pond9Fish3_PondTime,19.716
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,122
Pond9Fish3_TimeLeft,1084.121
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,0.765
Pond9Fish4_PondTime,26.138
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,134
Pond9Fish4_TimeLeft,1077.7
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.113
Pond9Fish5_PondTime,32.825
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,146
Pond9Fish5_TimeLeft,1071.013
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,0.977
Pond9Fish6_PondTime,39.841
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,158
Pond9Fish6_TimeLeft,1063.997
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.282
Pond9Fish7_PondTime,47.257
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,170
Pond9Fish7_TimeLeft,1056.581
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.179
