,5c4e3248ad466000019166df
PlayerDetails,5c4e3248ad466000019166df
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,RD
Pond10_#Fishes,15
Pond11_Type,RD
Pond11_#Fishes,18
Pond6_Type,RD
Pond6_#Fishes,12
Pond9_Type,RD
Pond9_#Fishes,17
Pond12_Type,RD
Pond12_#Fishes,18
Pond7_Type,RD
Pond7_#Fishes,16
Pond5_Type,RD
Pond5_#Fishes,12
Pond2_Type,RD
Pond2_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 12:26:55 GMT+0100 (czas środkowoeuropejski standardowy)
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,1.229
Pond10Fish1_PondTime,8.561
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,12
Pond10Fish1_TimeLeft,1193.837
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,1.57
Pond10Fish2_PondTime,15.548
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,24
Pond10Fish2_TimeLeft,1186.85
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,gray
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,1.259
Pond10Fish3_PondTime,22.915
Pond10Fish3_PondOutcome,26
Pond10Fish3_TotalOutcome,26
Pond10Fish3_TimeLeft,1179.484
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,1.255
Pond10Fish4_PondTime,30.726
Pond10Fish4_PondOutcome,38
Pond10Fish4_TotalOutcome,38
Pond10Fish4_TimeLeft,1171.673
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,1.079
Pond10Fish5_PondTime,39.094
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,50
Pond10Fish5_TimeLeft,1163.305
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,6
Pond10Fish6_CatchTime,1.131
Pond10Fish6_PondTime,48.132
Pond10Fish6_PondOutcome,62
Pond10Fish6_TotalOutcome,62
Pond10Fish6_TimeLeft,1154.267
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,6.666666666666667
Pond10Fish7_CatchTime,0.778
Pond10Fish7_PondTime,57.989
Pond10Fish7_PondOutcome,74
Pond10Fish7_TotalOutcome,74
Pond10Fish7_TimeLeft,1144.41
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,7.5
Pond10Fish8_CatchTime,1.029
Pond10Fish8_PondTime,68.921
Pond10Fish8_PondOutcome,86
Pond10Fish8_TotalOutcome,86
Pond10Fish8_TimeLeft,1133.478
Type,RD
FishN,12
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,8.571428571428571
Pond10Fish9_CatchTime,1.429
Pond10Fish9_PondTime,81.281
Pond10Fish9_PondOutcome,98
Pond10Fish9_TotalOutcome,98
Pond10Fish9_TimeLeft,1121.118
Type,RD
FishN,12
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,10
Pond10Fish10_CatchTime,1.459
Pond10Fish10_PondTime,95.659
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,110
Pond10Fish10_TimeLeft,1106.74
Type,RD
FishN,12
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,12
Pond10Fish11_CatchTime,1.191
Pond10Fish11_PondTime,113.032
Pond10Fish11_PondOutcome,122
Pond10Fish11_TotalOutcome,122
Pond10Fish11_TimeLeft,1089.367
PondEnd_LastFish,11
FishN,15
Type,RD
GiveUpTime,1.27
PondTime,113.697
TimeLeft,1088.2
PondOutcome,122
TotalOutcome,122
PondStart,PondStart
PondIntroTime,19.01997914770618
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,1.006
Pond11Fish1_PondTime,7.812
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,134
Pond11Fish1_TimeLeft,1060.737
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,1.149
Pond11Fish2_PondTime,13.929
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,146
Pond11Fish2_TimeLeft,1054.62
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,0.907
Pond11Fish3_PondTime,20.295
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,158
Pond11Fish3_TimeLeft,1048.254
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,1.004
Pond11Fish4_PondTime,26.934
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,170
Pond11Fish4_TimeLeft,1041.615
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,1.022
Pond11Fish5_PondTime,33.912
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,182
Pond11Fish5_TimeLeft,1034.637
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,0.947
Pond11Fish6_PondTime,41.274
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,194
Pond11Fish6_TimeLeft,1027.275
Type,RD
FishN,16
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,1.125
Pond11Fish7_PondTime,49.088
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,206
Pond11Fish7_TimeLeft,1019.461
Type,RD
FishN,16
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,1.267
Pond11Fish8_PondTime,57.45
Pond11Fish8_PondOutcome,96
Pond11Fish8_TotalOutcome,218
Pond11Fish8_TimeLeft,1011.099
Type,RD
