,5c74edf1280f66001ad7ca29
PlayerDetails,5c74edf1280f66001ad7ca29
GameCompleted,finished
Selected ponds in the game,=======
Pond5_Type,RD
Pond5_#Fishes,19
Pond9_Type,RD
Pond9_#Fishes,17
Pond4_Type,RD
Pond4_#Fishes,19
Pond2_Type,RD
Pond2_#Fishes,12
Pond12_Type,RD
Pond12_#Fishes,15
Pond6_Type,RD
Pond6_#Fishes,14
Pond3_Type,RD
Pond3_#Fishes,19
Pond11_Type,RD
Pond11_#Fishes,18
Pond8_Type,RD
Pond8_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 13:25:34 GMT+0200 (Eastern European Standard Time)
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,1.018
Pond5Fish1_PondTime,7.61
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,12
Pond5Fish1_TimeLeft,1194.785
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,-1
Pond5Fish2_PondTime,13.572
Pond5Fish2_PondOutcome,12
Pond5Fish2_TotalOutcome,12
Pond5Fish2_TimeLeft,1188.824
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,0.517
Pond5Fish3_PondTime,19.693
Pond5Fish3_PondOutcome,24
Pond5Fish3_TotalOutcome,24
Pond5Fish3_TimeLeft,1182.703
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,1.054
Pond5Fish4_PondTime,26.058
Pond5Fish4_PondOutcome,36
Pond5Fish4_TotalOutcome,36
Pond5Fish4_TimeLeft,1176.338
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,0.71
Pond5Fish5_PondTime,32.709
Pond5Fish5_PondOutcome,48
Pond5Fish5_TotalOutcome,48
Pond5Fish5_TimeLeft,1169.687
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,0.861
Pond5Fish6_PondTime,39.691
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,60
Pond5Fish6_TimeLeft,1162.705
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,0.886
Pond5Fish7_PondTime,47.059
Pond5Fish7_PondOutcome,72
Pond5Fish7_TotalOutcome,72
Pond5Fish7_TimeLeft,1155.337
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,1.768
Pond5Fish8_PondTime,54.955
Pond5Fish8_PondOutcome,84
Pond5Fish8_TotalOutcome,84
Pond5Fish8_TimeLeft,1147.441
PondEnd_LastFish,8
FishN,19
Type,RD
GiveUpTime,1.669
PondTime,56.523
TimeLeft,1145.368
PondOutcome,84
TotalOutcome,84
PondStart,PondStart
PondIntroTime,13.009345862083137
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,0.838
Pond9Fish1_PondTime,8.035
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,96
Pond9Fish1_TimeLeft,1123.704
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,0.886
Pond9Fish2_PondTime,14.404
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,108
Pond9Fish2_TimeLeft,1117.335
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,0.741
Pond9Fish3_PondTime,21.052
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,120
Pond9Fish3_TimeLeft,1110.687
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,0.885
Pond9Fish4_PondTime,28.034
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,132
Pond9Fish4_TimeLeft,1103.705
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,1.087
Pond9Fish5_PondTime,35.401
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,144
Pond9Fish5_TimeLeft,1096.338
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,0.909
Pond9Fish6_PondTime,43.218
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,156
Pond9Fish6_TimeLeft,1088.52
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,1.039
Pond9Fish7_PondTime,51.586
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,168
Pond9Fish7_TimeLeft,1080.152
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,1.19
Pond9Fish8_PondTime,60.617
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,180
Pond9Fish8_TimeLeft,1071.122
PondEnd_LastFish,8
FishN,17
Type,RD
GiveUpTime,1.915
PondTime,61.93
TimeLeft,1069.307
PondOutcome,96
TotalOutcome,180
PondStart,PondStart
PondIntroTime,17.138143414631486
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,0.999
Pond4Fish1_PondTime,7.602
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,192
