,5c7a926b2ceba0001668b707
PlayerDetails,5c7a926b2ceba0001668b707
GameCompleted,finished
Selected ponds in the game,=======
Pond3_Type,RD
Pond3_#Fishes,14
Pond12_Type,RD
Pond12_#Fishes,13
Pond1_Type,RD
Pond1_#Fishes,16
Pond2_Type,RD
Pond2_#Fishes,12
Pond6_Type,RD
Pond6_#Fishes,19
Pond10_Type,RD
Pond10_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 12:26:55 GMT+0100
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,0.923
Pond3Fish1_PondTime,8.898
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,12
Pond3Fish1_TimeLeft,1193.501
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,0.837
Pond3Fish2_PondTime,16.277
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,24
Pond3Fish2_TimeLeft,1186.121
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,0.77
Pond3Fish3_PondTime,24.111
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,36
Pond3Fish3_TimeLeft,1178.288
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
