,5c94b4f457491c00165e25fd
PlayerDetails,5c94b4f457491c00165e25fd
GameCompleted,finished
Selected ponds in the game,=======
Pond3_Type,RD
Pond3_#Fishes,16
Pond12_Type,RD
Pond12_#Fishes,19
Pond5_Type,RD
Pond5_#Fishes,14
Pond11_Type,RD
Pond11_#Fishes,18
Pond4_Type,RD
Pond4_#Fishes,16
Pond10_Type,RD
Pond10_#Fishes,13
Pond6_Type,RD
Pond6_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 11:43:45 GMT+0000 (Hora padrão da Europa Ocidental)
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.041
Pond3Fish1_PondTime,8.325
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,12
Pond3Fish1_TimeLeft,1194.072
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,gray
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,1.399
Pond3Fish2_PondTime,15.026
Pond3Fish2_PondOutcome,14
Pond3Fish2_TotalOutcome,14
Pond3Fish2_TimeLeft,1187.37
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,1.721
Pond3Fish3_PondTime,22.071
Pond3Fish3_PondOutcome,26
Pond3Fish3_TotalOutcome,26
Pond3Fish3_TimeLeft,1180.325
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,1.644
Pond3Fish4_PondTime,29.484
Pond3Fish4_PondOutcome,38
Pond3Fish4_TotalOutcome,38
Pond3Fish4_TimeLeft,1172.913
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,1.511
Pond3Fish5_PondTime,37.359
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,50
Pond3Fish5_TimeLeft,1165.037
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
