,5cb255402051100001c5d058
PlayerDetails,5cb255402051100001c5d058
GameCompleted,finished
Selected ponds in the game,=======
Pond4_Type,RD
Pond4_#Fishes,14
Pond3_Type,RD
Pond3_#Fishes,18
Pond2_Type,RD
Pond2_#Fishes,14
Pond8_Type,RD
Pond8_#Fishes,13
Pond9_Type,RD
Pond9_#Fishes,16
Pond12_Type,RD
Pond12_#Fishes,16
Pond1_Type,RD
Pond1_#Fishes,17
Pond5_Type,RD
Pond5_#Fishes,18
Pond10_Type,RD
Pond10_#Fishes,17
Pond6_Type,RD
Pond6_#Fishes,14
Pond11_Type,RD
Pond11_#Fishes,12
Pond7_Type,RD
Pond7_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 11:19:50 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.893
Pond4Fish1_PondTime,9.116
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,12
Pond4Fish1_TimeLeft,1193.281
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,1.293
Pond4Fish2_PondTime,16.491
