,5d374fda6cb61f001936bdc9
PlayerDetails,5d374fda6cb61f001936bdc9
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,RD
Pond7_#Fishes,12
Pond4_Type,RD
Pond4_#Fishes,15
Pond8_Type,RD
Pond8_#Fishes,15
Pond2_Type,RD
Pond2_#Fishes,18
Pond9_Type,RD
Pond9_#Fishes,15
Pond5_Type,RD
Pond5_#Fishes,18
Pond1_Type,RD
Pond1_#Fishes,15
Pond6_Type,RD
Pond6_#Fishes,15
Pond3_Type,RD
Pond3_#Fishes,15
Pond10_Type,RD
Pond10_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 11:28:57 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,1.504
Pond7Fish1_PondTime,9.717
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,12
Pond7Fish1_TimeLeft,1192.682
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,1.198
Pond7Fish2_PondTime,18.087
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,24
Pond7Fish2_TimeLeft,1184.312
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,1.465
Pond7Fish3_PondTime,27.125
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,36
Pond7Fish3_TimeLeft,1175.274
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,1.572
Pond7Fish4_PondTime,36.991
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,48
Pond7Fish4_TimeLeft,1165.408
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,1.173
Pond7Fish5_PondTime,47.928
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,60
Pond7Fish5_TimeLeft,1154.471
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,-1
Pond7Fish6_PondTime,60.366
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,60
Pond7Fish6_TimeLeft,1142.033
Type,RD
FishN,18
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,10
Pond7Fish7_CatchTime,1.29
Pond7Fish7_PondTime,74.735
Pond7Fish7_PondOutcome,72
Pond7Fish7_TotalOutcome,72
Pond7Fish7_TimeLeft,1127.664
PondEnd_LastFish,7
FishN,12
Type,RD
GiveUpTime,15.275
PondTime,89.51
TimeLeft,1112.388
PondOutcome,72
TotalOutcome,72
PondStart,PondStart
PondIntroTime,13.09742036741227
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4
Pond4Fish1_CatchTime,1.33
Pond4Fish1_PondTime,8.554
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,84
Pond4Fish1_TimeLeft,1090.117
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.285714285714286
Pond4Fish2_CatchTime,1.355
Pond4Fish2_PondTime,15.538
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,96
Pond4Fish2_TimeLeft,1083.133
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4.615384615384615
Pond4Fish3_CatchTime,1.406
Pond4Fish3_PondTime,22.91
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,108
Pond4Fish3_TimeLeft,1075.761
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,1.364
Pond4Fish4_PondTime,30.744
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,120
Pond4Fish4_TimeLeft,1067.927
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,5.454545454545454
Pond4Fish5_CatchTime,1.396
Pond4Fish5_PondTime,39.113
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,132
Pond4Fish5_TimeLeft,1059.558
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,6
Pond4Fish6_CatchTime,1.223
Pond4Fish6_PondTime,48.148
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,144
Pond4Fish6_TimeLeft,1050.523
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,6.666666666666667
Pond4Fish7_CatchTime,1.142
Pond4Fish7_PondTime,58.002
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,156
Pond4Fish7_TimeLeft,1040.669
Type,RD
FishN,17
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,7.5
Pond4Fish8_CatchTime,1.512
Pond4Fish8_PondTime,68.941
Pond4Fish8_PondOutcome,96
Pond4Fish8_TotalOutcome,168
Pond4Fish8_TimeLeft,1029.73
Type,RD
FishN,17
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,8.571428571428571
Pond4Fish9_CatchTime,1.24
Pond4Fish9_PondTime,81.309
Pond4Fish9_PondOutcome,108
Pond4Fish9_TotalOutcome,180
Pond4Fish9_TimeLeft,1017.362
Type,RD
FishN,17
Fish,10
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,10
Pond4Fish10_CatchTime,1.403
Pond4Fish10_PondTime,95.664
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,192
Pond4Fish10_TimeLeft,1003.007
Type,RD
FishN,17
Fish,11
Pond4Fish11_FishType,blue
Pond4Fish11_FishLatency,12
Pond4Fish11_CatchTime,1.338
Pond4Fish11_PondTime,113.023
Pond4Fish11_PondOutcome,132
Pond4Fish11_TotalOutcome,204
Pond4Fish11_TimeLeft,985.648
PondEnd_LastFish,11
FishN,15
Type,RD
GiveUpTime,1.336
PondTime,113.904
TimeLeft,984.266
PondOutcome,132
TotalOutcome,204
PondStart,PondStart
PondIntroTime,14.87180903321132
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,1.004
Pond8Fish1_PondTime,8.567
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,216
Pond8Fish1_TimeLeft,960.196
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,1.199
Pond8Fish2_PondTime,15.559
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,228
Pond8Fish2_TimeLeft,953.204
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,1.274
Pond8Fish3_PondTime,22.924
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,240
Pond8Fish3_TimeLeft,945.839
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,gray
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,-1
Pond8Fish4_PondTime,30.793
Pond8Fish4_PondOutcome,36
Pond8Fish4_TotalOutcome,240
Pond8Fish4_TimeLeft,937.97
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,-1
Pond8Fish5_PondTime,39.214
Pond8Fish5_PondOutcome,36
Pond8Fish5_TotalOutcome,240
Pond8Fish5_TimeLeft,929.549
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,1.114
Pond8Fish6_PondTime,48.249
Pond8Fish6_PondOutcome,48
Pond8Fish6_TotalOutcome,252
Pond8Fish6_TimeLeft,920.514
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,1.342
Pond8Fish7_PondTime,58.117
Pond8Fish7_PondOutcome,60
Pond8Fish7_TotalOutcome,264
Pond8Fish7_TimeLeft,910.646
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,1.206
Pond8Fish8_PondTime,69.054
Pond8Fish8_PondOutcome,72
Pond8Fish8_TotalOutcome,276
Pond8Fish8_TimeLeft,899.709
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,8.571428571428571
Pond8Fish9_CatchTime,1.703
Pond8Fish9_PondTime,81.428
Pond8Fish9_PondOutcome,84
Pond8Fish9_TotalOutcome,288
Pond8Fish9_TimeLeft,887.335
Type,RD
FishN,12
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,10
Pond8Fish10_CatchTime,1.291
Pond8Fish10_PondTime,95.794
Pond8Fish10_PondOutcome,96
Pond8Fish10_TotalOutcome,300
Pond8Fish10_TimeLeft,872.969
Type,RD
FishN,12
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,12
Pond8Fish11_CatchTime,1.238
Pond8Fish11_PondTime,113.151
Pond8Fish11_PondOutcome,108
Pond8Fish11_TotalOutcome,312
Pond8Fish11_TimeLeft,855.612
PondEnd_LastFish,11
FishN,15
Type,RD
GiveUpTime,1.271
PondTime,113.87
TimeLeft,854.392
PondOutcome,108
TotalOutcome,312
PondStart,PondStart
PondIntroTime,16.12126313848421
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,1.544
Pond2Fish1_PondTime,7.804
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,324
Pond2Fish1_TimeLeft,829.835
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,1.455
Pond2Fish2_PondTime,13.921
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,336
Pond2Fish2_TimeLeft,823.718
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,1.651
Pond2Fish3_PondTime,20.279
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,348
Pond2Fish3_TimeLeft,817.36
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,1.779
Pond2Fish4_PondTime,27.01
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,360
Pond2Fish4_TimeLeft,810.629
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4.285714285714286
Pond2Fish5_CatchTime,1.489
Pond2Fish5_PondTime,33.993
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,372
Pond2Fish5_TimeLeft,803.646
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,4.615384615384615
Pond2Fish6_CatchTime,1.578
