,5d3f689ff771700001843d43
PlayerDetails,5d3f689ff771700001843d43
GameCompleted,finished
Selected ponds in the game,=======
Pond8_Type,RD
Pond8_#Fishes,15
Pond2_Type,RD
Pond2_#Fishes,14
Pond3_Type,RD
Pond3_#Fishes,12
Pond4_Type,RD
Pond4_#Fishes,17
Pond11_Type,RD
Pond11_#Fishes,19
Pond5_Type,RD
Pond5_#Fishes,13
Pond6_Type,RD
Pond6_#Fishes,15
Pond1_Type,RD
Pond1_#Fishes,12
Pond12_Type,RD
Pond12_#Fishes,14
Pond7_Type,RD
Pond7_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 11:26:47 GMT+0000 (Hora padrão da Europa Ocidental)
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,1.195
Pond8Fish1_PondTime,8.56
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,12
Pond8Fish1_TimeLeft,1193.839
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,0.833
Pond8Fish2_PondTime,15.54
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,24
Pond8Fish2_TimeLeft,1186.859
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,1.041
Pond8Fish3_PondTime,22.905
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,36
Pond8Fish3_TimeLeft,1179.494
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,0.882
Pond8Fish4_PondTime,30.722
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,48
Pond8Fish4_TimeLeft,1171.677
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,1.011
Pond8Fish5_PondTime,39.099
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,60
Pond8Fish5_TimeLeft,1163.3
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,1.066
Pond8Fish6_PondTime,48.13
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,72
Pond8Fish6_TimeLeft,1154.268
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,1.131
Pond8Fish7_PondTime,57.995
Pond8Fish7_PondOutcome,84
Pond8Fish7_TotalOutcome,84
Pond8Fish7_TimeLeft,1144.404
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,1.062
Pond8Fish8_PondTime,68.924
Pond8Fish8_PondOutcome,96
Pond8Fish8_TotalOutcome,96
Pond8Fish8_TimeLeft,1133.475
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,8.571428571428571
Pond8Fish9_CatchTime,1.285
Pond8Fish9_PondTime,81.288
Pond8Fish9_PondOutcome,108
Pond8Fish9_TotalOutcome,108
Pond8Fish9_TimeLeft,1121.111
Type,RD
FishN,12
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,10
Pond8Fish10_CatchTime,0.841
Pond8Fish10_PondTime,95.657
Pond8Fish10_PondOutcome,120
Pond8Fish10_TotalOutcome,120
Pond8Fish10_TimeLeft,1106.742
Type,RD
FishN,12
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,12
Pond8Fish11_CatchTime,1.084
Pond8Fish11_PondTime,113.027
Pond8Fish11_PondOutcome,132
Pond8Fish11_TotalOutcome,132
Pond8Fish11_TimeLeft,1089.372
Type,RD
FishN,12
Fish,12
Pond8Fish12_FishType,blue
Pond8Fish12_FishLatency,15
Pond8Fish12_CatchTime,1.421
Pond8Fish12_PondTime,135.388
Pond8Fish12_PondOutcome,144
Pond8Fish12_TotalOutcome,144
Pond8Fish12_TimeLeft,1067.011
PondEnd_LastFish,12
FishN,15
Type,RD
GiveUpTime,1.397
PondTime,136.414
TimeLeft,1065.482
PondOutcome,144
TotalOutcome,144
PondStart,PondStart
PondIntroTime,16.276778758037835
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,gray
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,1.113
Pond2Fish1_PondTime,8.898
Pond2Fish1_PondOutcome,2
Pond2Fish1_TotalOutcome,146
Pond2Fish1_TimeLeft,1039.687
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,1.403
Pond2Fish2_PondTime,16.262
Pond2Fish2_PondOutcome,14
Pond2Fish2_TotalOutcome,158
Pond2Fish2_TimeLeft,1032.323
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,0.871
Pond2Fish3_PondTime,24.075
Pond2Fish3_PondOutcome,26
Pond2Fish3_TotalOutcome,170
Pond2Fish3_TimeLeft,1024.51
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,5.454545454545454
Pond2Fish4_CatchTime,1.128
Pond2Fish4_PondTime,32.441
Pond2Fish4_PondOutcome,38
Pond2Fish4_TotalOutcome,182
Pond2Fish4_TimeLeft,1016.144
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,6
Pond2Fish5_CatchTime,0.924
Pond2Fish5_PondTime,41.471
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,194
Pond2Fish5_TimeLeft,1007.114
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,6.666666666666667
Pond2Fish6_CatchTime,0.831
Pond2Fish6_PondTime,51.331
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,206
Pond2Fish6_TimeLeft,997.254
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,7.5
Pond2Fish7_CatchTime,0.843
Pond2Fish7_PondTime,62.265
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,218
Pond2Fish7_TimeLeft,986.319
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,8.571428571428571
Pond2Fish8_CatchTime,0.848
Pond2Fish8_PondTime,74.626
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,230
Pond2Fish8_TimeLeft,973.959
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,10
Pond2Fish9_CatchTime,1.104
Pond2Fish9_PondTime,88.99
Pond2Fish9_PondOutcome,98
Pond2Fish9_TotalOutcome,242
Pond2Fish9_TimeLeft,959.595
Type,RD
FishN,17
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,12
Pond2Fish10_CatchTime,0.86
Pond2Fish10_PondTime,106.35
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,254
Pond2Fish10_TimeLeft,942.235
Type,RD
FishN,17
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,15
Pond2Fish11_CatchTime,1.219
Pond2Fish11_PondTime,128.709
Pond2Fish11_PondOutcome,122
Pond2Fish11_TotalOutcome,266
Pond2Fish11_TimeLeft,919.876
PondEnd_LastFish,11
FishN,14
Type,RD
GiveUpTime,25.468
PondTime,153.607
TimeLeft,894.474
PondOutcome,122
TotalOutcome,266
PondStart,PondStart
PondIntroTime,17.666101197246462
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,1.144
Pond3Fish1_PondTime,9.731
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,278
Pond3Fish1_TimeLeft,866.459
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,1.055
Pond3Fish2_PondTime,18.098
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,290
Pond3Fish2_TimeLeft,858.092
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,gray
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,0.728
Pond3Fish3_PondTime,27.127
Pond3Fish3_PondOutcome,26
Pond3Fish3_TotalOutcome,292
Pond3Fish3_TimeLeft,849.063
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,1.058
Pond3Fish4_PondTime,36.99
Pond3Fish4_PondOutcome,38
Pond3Fish4_TotalOutcome,304
Pond3Fish4_TimeLeft,839.2
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,gray
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,1.161
Pond3Fish5_PondTime,47.92
Pond3Fish5_PondOutcome,40
Pond3Fish5_TotalOutcome,306
Pond3Fish5_TimeLeft,828.27
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,0.947
Pond3Fish6_PondTime,60.284
Pond3Fish6_PondOutcome,52
Pond3Fish6_TotalOutcome,318
Pond3Fish6_TimeLeft,815.906
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,10
Pond3Fish7_CatchTime,1.125
Pond3Fish7_PondTime,74.645
Pond3Fish7_PondOutcome,64
Pond3Fish7_TotalOutcome,330
Pond3Fish7_TimeLeft,801.545
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,gray
Pond3Fish8_FishLatency,12
Pond3Fish8_CatchTime,1.326
Pond3Fish8_PondTime,92.006
Pond3Fish8_PondOutcome,66
Pond3Fish8_TotalOutcome,332
Pond3Fish8_TimeLeft,784.184
Type,RD
