,5d40d474037fb000013a2b83
PlayerDetails,5d40d474037fb000013a2b83
GameCompleted,finished
Selected ponds in the game,=======
Pond11_Type,RD
Pond11_#Fishes,16
Pond8_Type,RD
Pond8_#Fishes,15
Pond9_Type,RD
Pond9_#Fishes,12
Pond10_Type,RD
Pond10_#Fishes,13
Pond1_Type,RD
Pond1_#Fishes,13
Pond5_Type,RD
Pond5_#Fishes,14
Pond4_Type,RD
Pond4_#Fishes,13
Pond6_Type,RD
Pond6_#Fishes,19
Pond2_Type,RD
Pond2_#Fishes,13
Pond3_Type,RD
Pond3_#Fishes,15
Pond7_Type,RD
Pond7_#Fishes,15
Pond12_Type,RD
Pond12_#Fishes,13
Pond8_Type,RD
Pond8_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 12:25:27 GMT+0100 (czas środkowoeuropejski standardowy)
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,0.714
Pond11Fish1_PondTime,8.294
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,12
Pond11Fish1_TimeLeft,1194.104
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,0.904
Pond11Fish2_PondTime,14.974
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,24
Pond11Fish2_TimeLeft,1187.424
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,0.607
Pond11Fish3_PondTime,21.974
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,36
Pond11Fish3_TimeLeft,1180.424
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,0.687
Pond11Fish4_PondTime,29.363
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,48
Pond11Fish4_TimeLeft,1173.035
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,0.773
Pond11Fish5_PondTime,37.213
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,60
Pond11Fish5_TimeLeft,1165.185
PondEnd_LastFish,5
FishN,16
Type,RD
GiveUpTime,1.356
PondTime,37.534
TimeLeft,1164.349
PondOutcome,60
TotalOutcome,60
PondStart,PondStart
PondIntroTime,18.604568727314472
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,0.674
Pond8Fish1_PondTime,8.6
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,72
Pond8Fish1_TimeLeft,1136.515
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,0.673
Pond8Fish2_PondTime,15.6
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,84
Pond8Fish2_TimeLeft,1129.515
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,gray
Pond8Fish3_FishLatency,4.615384615384615
