,5d5c8135c6963c0016f41e93
PlayerDetails,5d5c8135c6963c0016f41e93
GameCompleted,declined
Selected ponds in the game,=======
Pond1_Type,RD
Pond1_#Fishes,19
Pond2_Type,RD
Pond2_#Fishes,13
Pond10_Type,RD
Pond10_#Fishes,16
Pond3_Type,RD
Pond3_#Fishes,15
Pond4_Type,RD
Pond4_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 22:43:13 GMT+1100 (Australian Eastern Daylight Time)
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,1.419
Pond1Fish1_PondTime,7.66
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,12
Pond1Fish1_TimeLeft,1194.738
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,-1
Pond1Fish2_PondTime,13.65
Pond1Fish2_PondOutcome,12
Pond1Fish2_TotalOutcome,12
Pond1Fish2_TimeLeft,1188.748
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,-1
Pond1Fish3_PondTime,19.859
Pond1Fish3_PondOutcome,12
Pond1Fish3_TotalOutcome,12
Pond1Fish3_TimeLeft,1182.539
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,-1
Pond1Fish4_PondTime,26.317
Pond1Fish4_PondOutcome,12
Pond1Fish4_TotalOutcome,12
Pond1Fish4_TimeLeft,1176.08
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,gray
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,1.924
Pond1Fish5_PondTime,33.212
Pond1Fish5_PondOutcome,14
Pond1Fish5_TotalOutcome,14
Pond1Fish5_TimeLeft,1169.185
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,1.334
Pond1Fish6_PondTime,40.216
Pond1Fish6_PondOutcome,26
Pond1Fish6_TotalOutcome,26
Pond1Fish6_TimeLeft,1162.181
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,1.72
Pond1Fish7_PondTime,47.643
Pond1Fish7_PondOutcome,38
Pond1Fish7_TotalOutcome,38
Pond1Fish7_TimeLeft,1154.755
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,1.654
Pond1Fish8_PondTime,55.504
Pond1Fish8_PondOutcome,50
Pond1Fish8_TotalOutcome,50
Pond1Fish8_TimeLeft,1146.894
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,5.454545454545454
Pond1Fish9_CatchTime,1.767
Pond1Fish9_PondTime,63.96
Pond1Fish9_PondOutcome,62
Pond1Fish9_TotalOutcome,62
Pond1Fish9_TimeLeft,1138.438
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,6
Pond1Fish10_CatchTime,-1
Pond1Fish10_PondTime,73.086
Pond1Fish10_PondOutcome,62
Pond1Fish10_TotalOutcome,62
Pond1Fish10_TimeLeft,1129.312
PondEnd_LastFish,10
FishN,19
Type,RD
GiveUpTime,13.809
PondTime,77.666
TimeLeft,1124.212
PondOutcome,62
TotalOutcome,62
PondStart,PondStart
PondIntroTime,18.78619808703661
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.771
Pond2Fish1_PondTime,9.387
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,74
Pond2Fish1_TimeLeft,1095.335
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,0.682
Pond2Fish2_PondTime,17.249
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,86
Pond2Fish2_TimeLeft,1087.473
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.919
Pond2Fish3_PondTime,25.876
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,98
Pond2Fish3_TimeLeft,1078.846
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.46
Pond2Fish4_PondTime,34.955
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,110
Pond2Fish4_TimeLeft,1069.767
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,1.352
Pond2Fish5_PondTime,44.861
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,122
Pond2Fish5_TimeLeft,1059.861
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,1.385
Pond2Fish6_PondTime,55.844
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,134
Pond2Fish6_TimeLeft,1048.878
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,1.551
Pond2Fish7_PondTime,68.245
Pond2Fish7_PondOutcome,84
Pond2Fish7_TotalOutcome,146
Pond2Fish7_TimeLeft,1036.477
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,1.311
Pond2Fish8_PondTime,82.644
Pond2Fish8_PondOutcome,96
Pond2Fish8_TotalOutcome,158
Pond2Fish8_TimeLeft,1022.078
PondEnd_LastFish,8
FishN,13
Type,RD
GiveUpTime,1.805
PondTime,83.957
TimeLeft,1020.255
PondOutcome,96
TotalOutcome,158
PondStart,PondStart
PondIntroTime,19.03625985607505
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,1.393
Pond10Fish1_PondTime,8.317
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,170
Pond10Fish1_TimeLeft,992.203
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,1.171
Pond10Fish2_PondTime,15.01
