,5da8eaf91e90f600172de1e3
PlayerDetails,5da8eaf91e90f600172de1e3
GameCompleted,declined
Selected ponds in the game,=======
Pond6_Type,RD
Pond6_#Fishes,16
Pond11_Type,RD
Pond11_#Fishes,14
Pond4_Type,RD
Pond4_#Fishes,13
Pond7_Type,RD
Pond7_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 11:36:25 GMT+0000 (Hora padrão da Europa Ocidental)
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,gray
Pond6Fish1_FishLatency,3.75
Pond6Fish1_CatchTime,1.037
Pond6Fish1_PondTime,8.363
Pond6Fish1_PondOutcome,2
Pond6Fish1_TotalOutcome,2
Pond6Fish1_TimeLeft,1194.036
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,gray
Pond6Fish2_FishLatency,4
Pond6Fish2_CatchTime,0.973
Pond6Fish2_PondTime,15.009
Pond6Fish2_PondOutcome,4
Pond6Fish2_TotalOutcome,4
Pond6Fish2_TimeLeft,1187.39
PondEnd_LastFish,2
FishN,16
Type,RD
GiveUpTime,3.919
PondTime,18.11
TimeLeft,1183.786
PondOutcome,4
TotalOutcome,4
PondStart,PondStart
PondIntroTime,15.315463438164443
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,0.747
Pond11Fish1_PondTime,8.887
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,16
Pond11Fish1_TimeLeft,1158.196
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,-1
Pond11Fish2_PondTime,16.297
Pond11Fish2_PondOutcome,12
Pond11Fish2_TotalOutcome,16
Pond11Fish2_TimeLeft,1150.786
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,gray
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,0.888
Pond11Fish3_PondTime,24.109
Pond11Fish3_PondOutcome,14
Pond11Fish3_TotalOutcome,18
Pond11Fish3_TimeLeft,1142.974
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,2.03
Pond11Fish4_PondTime,32.547
Pond11Fish4_PondOutcome,26
Pond11Fish4_TotalOutcome,30
Pond11Fish4_TimeLeft,1134.536
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,0.726
Pond11Fish5_PondTime,41.574
Pond11Fish5_PondOutcome,38
Pond11Fish5_TotalOutcome,42
Pond11Fish5_TimeLeft,1125.509
PondEnd_LastFish,5
FishN,14
Type,RD
GiveUpTime,1.366
PondTime,41.868
TimeLeft,1124.713
PondOutcome,38
TotalOutcome,42
PondStart,PondStart
PondIntroTime,17.367674035485834
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,-1
Pond4Fish1_PondTime,9.326
Pond4Fish1_PondOutcome,0
Pond4Fish1_TotalOutcome,42
Pond4Fish1_TimeLeft,1096.281
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.131
Pond4Fish2_PondTime,17.148
Pond4Fish2_PondOutcome,12
Pond4Fish2_TotalOutcome,54
Pond4Fish2_TimeLeft,1088.458
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,-1
Pond4Fish3_PondTime,25.575
Pond4Fish3_PondOutcome,12
Pond4Fish3_TotalOutcome,54
Pond4Fish3_TimeLeft,1080.032
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,1.348
Pond4Fish4_PondTime,34.601
Pond4Fish4_PondOutcome,24
Pond4Fish4_TotalOutcome,66
Pond4Fish4_TimeLeft,1071.005
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,-1
Pond4Fish5_PondTime,44.51
Pond4Fish5_PondOutcome,24
Pond4Fish5_TotalOutcome,66
Pond4Fish5_TimeLeft,1061.097
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,-1
Pond4Fish6_PondTime,55.505
Pond4Fish6_PondOutcome,24
Pond4Fish6_TotalOutcome,66
