,5de2dfc5a6653131de675189
PlayerDetails,5de2dfc5a6653131de675189
GameCompleted,finished
Selected ponds in the game,=======
Pond5_Type,RD
Pond5_#Fishes,19
Pond11_Type,RD
Pond11_#Fishes,16
Pond6_Type,RD
Pond6_#Fishes,14
Pond10_Type,RD
Pond10_#Fishes,19
Pond3_Type,RD
Pond3_#Fishes,16
Pond1_Type,RD
Pond1_#Fishes,13
Pond4_Type,RD
Pond4_#Fishes,12
Pond12_Type,RD
Pond12_#Fishes,13
Pond8_Type,RD
Pond8_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 12:26:17 GMT+0100 (Ora standard dell’Europa centrale)
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,1.169
Pond5Fish1_PondTime,7.627
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,12
Pond5Fish1_TimeLeft,1194.764
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,1.15
Pond5Fish2_PondTime,13.541
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,24
Pond5Fish2_TimeLeft,1188.851
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,0.921
Pond5Fish3_PondTime,19.667
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,36
Pond5Fish3_TimeLeft,1182.725
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.825
Pond5Fish4_PondTime,26.076
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,48
Pond5Fish4_TimeLeft,1176.316
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,gray
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,0.87
Pond5Fish5_PondTime,32.759
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,50
Pond5Fish5_TimeLeft,1169.633
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,0.87
Pond5Fish6_PondTime,39.791
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,62
Pond5Fish6_TimeLeft,1162.601
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,0.886
Pond5Fish7_PondTime,47.179
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,74
Pond5Fish7_TimeLeft,1155.213
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,0.847
Pond5Fish8_PondTime,55.007
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,86
Pond5Fish8_TimeLeft,1147.385
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,gray
Pond5Fish9_FishLatency,5.454545454545454
