,5de6547d1017855bbe3622cb
PlayerDetails,5de6547d1017855bbe3622cb
GameCompleted,declined
Selected ponds in the game,=======
Pond6_Type,RD
Pond6_#Fishes,18
Pond9_Type,RD
Pond9_#Fishes,18
Pond4_Type,RD
Pond4_#Fishes,15
Pond3_Type,RD
Pond3_#Fishes,12
Pond5_Type,RD
Pond5_#Fishes,16
Pond12_Type,RD
Pond12_#Fishes,17
Pond11_Type,RD
Pond11_#Fishes,16
Pond1_Type,RD
Pond1_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 11:17:04 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,0.967
Pond6Fish1_PondTime,7.791
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,12
Pond6Fish1_TimeLeft,1194.603
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,0.812
Pond6Fish2_PondTime,13.907
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,24
Pond6Fish2_TimeLeft,1188.487
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,gray
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,1.891
Pond6Fish3_PondTime,20.47
Pond6Fish3_PondOutcome,26
Pond6Fish3_TotalOutcome,26
Pond6Fish3_TimeLeft,1181.924
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,0.955
Pond6Fish4_PondTime,27.119
Pond6Fish4_PondOutcome,38
Pond6Fish4_TotalOutcome,38
Pond6Fish4_TimeLeft,1175.275
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,0.879
Pond6Fish5_PondTime,34.098
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,50
Pond6Fish5_TimeLeft,1168.296
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,1.072
Pond6Fish6_PondTime,41.464
Pond6Fish6_PondOutcome,62
Pond6Fish6_TotalOutcome,62
Pond6Fish6_TimeLeft,1160.93
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,1.213
Pond6Fish7_PondTime,49.277
Pond6Fish7_PondOutcome,74
Pond6Fish7_TotalOutcome,74
Pond6Fish7_TimeLeft,1153.117
PondEnd_LastFish,7
FishN,18
Type,RD
GiveUpTime,0.656
PondTime,49.348
TimeLeft,1152.544
PondOutcome,74
TotalOutcome,74
PondStart,PondStart
PondIntroTime,16.864651741925627
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,0.897
Pond9Fish1_PondTime,7.799
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,86
Pond9Fish1_TimeLeft,1127.241
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,1.113
Pond9Fish2_PondTime,13.914
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,98
Pond9Fish2_TimeLeft,1121.126
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,3.75
Pond9Fish3_CatchTime,1.058
Pond9Fish3_PondTime,20.278
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,110
Pond9Fish3_TimeLeft,1114.762
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4
Pond9Fish4_CatchTime,1.156
Pond9Fish4_PondTime,26.925
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,122
Pond9Fish4_TimeLeft,1108.115
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4.285714285714286
Pond9Fish5_CatchTime,1.17
Pond9Fish5_PondTime,33.907
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,134
Pond9Fish5_TimeLeft,1101.133
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,4.615384615384615
Pond9Fish6_CatchTime,0.966
Pond9Fish6_PondTime,41.27
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,146
Pond9Fish6_TimeLeft,1093.77
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,5
Pond9Fish7_CatchTime,0.825
Pond9Fish7_PondTime,49.083
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,158
Pond9Fish7_TimeLeft,1085.957
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,5.454545454545454
Pond9Fish8_CatchTime,0.997
Pond9Fish8_PondTime,57.449
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,170
Pond9Fish8_TimeLeft,1077.591
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,6
Pond9Fish9_CatchTime,1.05
Pond9Fish9_PondTime,66.479
Pond9Fish9_PondOutcome,108
Pond9Fish9_TotalOutcome,182
Pond9Fish9_TimeLeft,1068.561
Type,RD
FishN,18
Fish,10
Pond9Fish10_FishType,gray
Pond9Fish10_FishLatency,6.666666666666667
Pond9Fish10_CatchTime,1.507
Pond9Fish10_PondTime,76.343
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,184
Pond9Fish10_TimeLeft,1058.697
Type,RD
FishN,18
Fish,11
