,5e1b28d4d370f435a62cfbe2
PlayerDetails,5e1b28d4d370f435a62cfbe2
GameCompleted,finished
Selected ponds in the game,=======
Pond12_Type,RD
Pond12_#Fishes,16
Pond1_Type,RD
Pond1_#Fishes,16
Pond9_Type,RD
Pond9_#Fishes,17
Pond5_Type,RD
Pond5_#Fishes,15
Pond4_Type,RD
Pond4_#Fishes,14
Pond6_Type,RD
Pond6_#Fishes,17
Pond7_Type,RD
Pond7_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 12:27:49 GMT+0100 (czas środkowoeuropejski standardowy)
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.313
Pond12Fish1_PondTime,8.313
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,12
Pond12Fish1_TimeLeft,1194.084
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,gray
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.716
Pond12Fish2_PondTime,15.036
Pond12Fish2_PondOutcome,14
Pond12Fish2_TotalOutcome,14
