,5e1c77b25299ce000b689d9e
PlayerDetails,5e1c77b25299ce000b689d9e
GameCompleted,exited
Selected ponds in the game,=======
Pond9_Type,RD
Pond9_#Fishes,18
Pond10_Type,RD
Pond10_#Fishes,15
Pond2_Type,RD
Pond2_#Fishes,19
Pond6_Type,RD
Pond6_#Fishes,16
Pond1_Type,RD
Pond1_#Fishes,18
Pond3_Type,RD
Pond3_#Fishes,16
Pond7_Type,RD
Pond7_#Fishes,13
Pond5_Type,RD
Pond5_#Fishes,12
Pond11_Type,RD
Pond11_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 11:30:48 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,1.101
Pond9Fish1_PondTime,7.836
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,12
Pond9Fish1_TimeLeft,1194.559
Type,RD
FishN,18
