,5e1ccec76b2e47060916c21f
PlayerDetails,5e1ccec76b2e47060916c21f
GameCompleted,finished
Selected ponds in the game,=======
Pond12_Type,RD
Pond12_#Fishes,17
Pond5_Type,RD
Pond5_#Fishes,15
Pond11_Type,RD
Pond11_#Fishes,17
Pond8_Type,RD
Pond8_#Fishes,12
Pond10_Type,RD
Pond10_#Fishes,17
Pond6_Type,RD
Pond6_#Fishes,18
Pond7_Type,RD
Pond7_#Fishes,16
Pond1_Type,RD
Pond1_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 11:16:10 GMT+0000 (GMT)
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,1.055
Pond12Fish1_PondTime,8.013
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,12
Pond12Fish1_TimeLeft,1194.386
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.75
Pond12Fish2_CatchTime,1.021
Pond12Fish2_PondTime,14.384
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,24
Pond12Fish2_TimeLeft,1188.015
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4
Pond12Fish3_CatchTime,0.957
Pond12Fish3_PondTime,21.033
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,36
Pond12Fish3_TimeLeft,1181.366
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4.285714285714286
Pond12Fish4_CatchTime,0.874
Pond12Fish4_PondTime,28.001
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,48
Pond12Fish4_TimeLeft,1174.398
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,4.615384615384615
Pond12Fish5_CatchTime,0.743
Pond12Fish5_PondTime,35.362
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,60
Pond12Fish5_TimeLeft,1167.037
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,5
Pond12Fish6_CatchTime,0.827
Pond12Fish6_PondTime,43.167
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,72
Pond12Fish6_TimeLeft,1159.232
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,5.454545454545454
Pond12Fish7_CatchTime,0.94
Pond12Fish7_PondTime,51.532
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,84
Pond12Fish7_TimeLeft,1150.867
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,gray
Pond12Fish8_FishLatency,6
Pond12Fish8_CatchTime,0.965
Pond12Fish8_PondTime,60.561
Pond12Fish8_PondOutcome,86
Pond12Fish8_TotalOutcome,86
Pond12Fish8_TimeLeft,1141.838
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,6.666666666666667
Pond12Fish9_CatchTime,0.815
Pond12Fish9_PondTime,70.431
Pond12Fish9_PondOutcome,98
Pond12Fish9_TotalOutcome,98
Pond12Fish9_TimeLeft,1131.968
Type,RD
FishN,15
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,7.5
Pond12Fish10_CatchTime,0.782
Pond12Fish10_PondTime,81.374
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,110
Pond12Fish10_TimeLeft,1121.025
Type,RD
FishN,15
Fish,11
Pond12Fish11_FishType,gray
Pond12Fish11_FishLatency,8.571428571428571
Pond12Fish11_CatchTime,0.851
Pond12Fish11_PondTime,93.742
Pond12Fish11_PondOutcome,112
Pond12Fish11_TotalOutcome,112
Pond12Fish11_TimeLeft,1108.657
Type,RD
FishN,15
Fish,12
Pond12Fish12_FishType,blue
Pond12Fish12_FishLatency,10
Pond12Fish12_CatchTime,0.95
Pond12Fish12_PondTime,108.103
Pond12Fish12_PondOutcome,124
Pond12Fish12_TotalOutcome,124
Pond12Fish12_TimeLeft,1094.296
Type,RD
FishN,15
Fish,13
Pond12Fish13_FishType,blue
Pond12Fish13_FishLatency,12
Pond12Fish13_CatchTime,0.98
Pond12Fish13_PondTime,125.466
Pond12Fish13_PondOutcome,136
Pond12Fish13_TotalOutcome,136
Pond12Fish13_TimeLeft,1076.933
PondEnd_LastFish,13
FishN,17
Type,RD
GiveUpTime,1.559
PondTime,126.205
TimeLeft,1075.692
PondOutcome,136
TotalOutcome,136
PondStart,PondStart
PondIntroTime,16.12568302778527
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4
Pond5Fish1_CatchTime,1.024
Pond5Fish1_PondTime,8.565
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,148
Pond5Fish1_TimeLeft,1050.381
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4.285714285714286
Pond5Fish2_CatchTime,0.979
Pond5Fish2_PondTime,15.541
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,160
Pond5Fish2_TimeLeft,1043.405
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,gray
Pond5Fish3_FishLatency,4.615384615384615
Pond5Fish3_CatchTime,0.986
Pond5Fish3_PondTime,22.911
Pond5Fish3_PondOutcome,26
Pond5Fish3_TotalOutcome,162
Pond5Fish3_TimeLeft,1036.034
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5
Pond5Fish4_CatchTime,0.869
Pond5Fish4_PondTime,30.738
Pond5Fish4_PondOutcome,38
Pond5Fish4_TotalOutcome,174
Pond5Fish4_TimeLeft,1028.207
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,5.454545454545454
Pond5Fish5_CatchTime,0.868
Pond5Fish5_PondTime,39.097
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,186
Pond5Fish5_TimeLeft,1019.849
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6
Pond5Fish6_CatchTime,0.752
Pond5Fish6_PondTime,48.135
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,198
Pond5Fish6_TimeLeft,1010.811
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,6.666666666666667
Pond5Fish7_CatchTime,0.94
Pond5Fish7_PondTime,58
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,210
Pond5Fish7_TimeLeft,1000.945
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,7.5
Pond5Fish8_CatchTime,1.088
Pond5Fish8_PondTime,68.93
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,222
Pond5Fish8_TimeLeft,990.016
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,8.571428571428571
Pond5Fish9_CatchTime,0.88
Pond5Fish9_PondTime,81.3
Pond5Fish9_PondOutcome,98
Pond5Fish9_TotalOutcome,234
Pond5Fish9_TimeLeft,977.646
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,10
Pond5Fish10_CatchTime,0.767
Pond5Fish10_PondTime,95.659
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,246
Pond5Fish10_TimeLeft,963.287
Type,RD
FishN,14
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,12
Pond5Fish11_CatchTime,0.831
Pond5Fish11_PondTime,113.028
Pond5Fish11_PondOutcome,122
Pond5Fish11_TotalOutcome,258
Pond5Fish11_TimeLeft,945.918
Type,RD
FishN,14
Fish,12
Pond5Fish12_FishType,blue
Pond5Fish12_FishLatency,15
Pond5Fish12_CatchTime,0.931
Pond5Fish12_PondTime,135.404
Pond5Fish12_PondOutcome,134
Pond5Fish12_TotalOutcome,270
Pond5Fish12_TimeLeft,923.542
PondEnd_LastFish,12
FishN,15
Type,RD
GiveUpTime,28.782
PondTime,163.316
TimeLeft,895.126
PondOutcome,134
TotalOutcome,270
PondStart,PondStart
PondIntroTime,19.34264055918902
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,0.864
Pond11Fish1_PondTime,8.02
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,282
Pond11Fish1_TimeLeft,867.135
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.017
Pond11Fish2_PondTime,14.39
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,294
Pond11Fish2_TimeLeft,860.765
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,0.866
Pond11Fish3_PondTime,21.038
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,306
Pond11Fish3_TimeLeft,854.117
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,1.012
Pond11Fish4_PondTime,28.025
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,318
Pond11Fish4_TimeLeft,847.13
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,gray
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,1.025
Pond11Fish5_PondTime,35.384
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,320
Pond11Fish5_TimeLeft,839.771
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,0.913
Pond11Fish6_PondTime,43.206
Pond11Fish6_PondOutcome,62
Pond11Fish6_TotalOutcome,332
Pond11Fish6_TimeLeft,831.949
Type,RD
FishN,16
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,0.812
Pond11Fish7_PondTime,51.581
Pond11Fish7_PondOutcome,74
Pond11Fish7_TotalOutcome,344
Pond11Fish7_TimeLeft,823.574
Type,RD
FishN,16
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,0.973
Pond11Fish8_PondTime,60.623
Pond11Fish8_PondOutcome,86
Pond11Fish8_TotalOutcome,356
Pond11Fish8_TimeLeft,814.532
Type,RD
FishN,16
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,6.666666666666667
Pond11Fish9_CatchTime,0.883
Pond11Fish9_PondTime,70.497
Pond11Fish9_PondOutcome,98
Pond11Fish9_TotalOutcome,368
Pond11Fish9_TimeLeft,804.658
Type,RD
FishN,16
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,7.5
Pond11Fish10_CatchTime,0.874
Pond11Fish10_PondTime,81.439
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,380
Pond11Fish10_TimeLeft,793.716
Type,RD
FishN,16
Fish,11
Pond11Fish11_FishType,blue
Pond11Fish11_FishLatency,8.571428571428571
Pond11Fish11_CatchTime,1.173
Pond11Fish11_PondTime,93.812
Pond11Fish11_PondOutcome,122
Pond11Fish11_TotalOutcome,392
Pond11Fish11_TimeLeft,781.342
Type,RD
FishN,16
Fish,12
Pond11Fish12_FishType,gray
Pond11Fish12_FishLatency,10
Pond11Fish12_CatchTime,1.056
Pond11Fish12_PondTime,108.179
Pond11Fish12_PondOutcome,124
Pond11Fish12_TotalOutcome,394
Pond11Fish12_TimeLeft,766.976
Type,RD
FishN,16
Fish,13
Pond11Fish13_FishType,blue
Pond11Fish13_FishLatency,12
Pond11Fish13_CatchTime,0.879
Pond11Fish13_PondTime,125.552
Pond11Fish13_PondOutcome,136
Pond11Fish13_TotalOutcome,406
Pond11Fish13_TimeLeft,749.603
Type,RD
FishN,16
Fish,14
Pond11Fish14_FishType,blue
Pond11Fish14_FishLatency,15
Pond11Fish14_CatchTime,0.924
Pond11Fish14_PondTime,147.923
Pond11Fish14_PondOutcome,148
Pond11Fish14_TotalOutcome,418
Pond11Fish14_TimeLeft,727.232
Type,RD
FishN,16
Fish,15
Pond11Fish15_FishType,blue
Pond11Fish15_FishLatency,20
Pond11Fish15_CatchTime,0.832
Pond11Fish15_PondTime,180.294
Pond11Fish15_PondOutcome,160
Pond11Fish15_TotalOutcome,430
Pond11Fish15_TimeLeft,694.861
PondEnd_LastFish,15
FishN,17
Type,RD
GiveUpTime,38.157
PondTime,217.492
TimeLeft,657.16
PondOutcome,160
TotalOutcome,430
PondStart,PondStart
PondIntroTime,19.75196608575061
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,1.018
Pond8Fish1_PondTime,9.731
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,442
Pond8Fish1_TimeLeft,627.052
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,0.787
Pond8Fish2_PondTime,18.088
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,454
Pond8Fish2_TimeLeft,618.695
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,0.994
Pond8Fish3_PondTime,27.126
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,466
Pond8Fish3_TimeLeft,609.657
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,0.789
Pond8Fish4_PondTime,36.985
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,478
Pond8Fish4_TimeLeft,599.798
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,0.766
Pond8Fish5_PondTime,47.917
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,490
Pond8Fish5_TimeLeft,588.866
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,1.396
Pond8Fish6_PondTime,60.274
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,502
Pond8Fish6_TimeLeft,576.509
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,10
Pond8Fish7_CatchTime,0.903
Pond8Fish7_PondTime,74.637
Pond8Fish7_PondOutcome,84
Pond8Fish7_TotalOutcome,514
Pond8Fish7_TimeLeft,562.146
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,12
Pond8Fish8_CatchTime,0.946
Pond8Fish8_PondTime,92
Pond8Fish8_PondOutcome,96
Pond8Fish8_TotalOutcome,526
Pond8Fish8_TimeLeft,544.783
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,15
Pond8Fish9_CatchTime,0.873
Pond8Fish9_PondTime,114.373
Pond8Fish9_PondOutcome,108
Pond8Fish9_TotalOutcome,538
Pond8Fish9_TimeLeft,522.41
Type,RD
