,5e1cd047cf445f05eef00adb
PlayerDetails,5e1cd047cf445f05eef00adb
GameCompleted,finished
Selected ponds in the game,=======
Pond4_Type,RD
Pond4_#Fishes,18
Pond5_Type,RD
Pond5_#Fishes,13
Pond6_Type,RD
Pond6_#Fishes,19
Pond3_Type,RD
Pond3_#Fishes,12
Pond1_Type,RD
Pond1_#Fishes,18
Pond7_Type,RD
Pond7_#Fishes,14
Pond8_Type,RD
Pond8_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 16:22:17 GMT+0000 (Western European Standard Time)
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.3333333333333335
Pond4Fish1_CatchTime,1.021
Pond4Fish1_PondTime,7.847
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,12
Pond4Fish1_TimeLeft,1194.545
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,3.5294117647058822
Pond4Fish2_CatchTime,1.009
Pond4Fish2_PondTime,13.994
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,24
Pond4Fish2_TimeLeft,1188.4
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,3.75
Pond4Fish3_CatchTime,0.807
Pond4Fish3_PondTime,20.382
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,36
Pond4Fish3_TimeLeft,1182.011
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4
Pond4Fish4_CatchTime,0.85
Pond4Fish4_PondTime,27.054
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,48
Pond4Fish4_TimeLeft,1175.34
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,4.285714285714286
Pond4Fish5_CatchTime,0.979
Pond4Fish5_PondTime,34.057
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,60
Pond4Fish5_TimeLeft,1168.337
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,4.615384615384615
Pond4Fish6_CatchTime,0.988
Pond4Fish6_PondTime,41.452
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,72
Pond4Fish6_TimeLeft,1160.941
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,5
Pond4Fish7_CatchTime,1.12
Pond4Fish7_PondTime,49.294
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,84
Pond4Fish7_TimeLeft,1153.1
Type,RD
FishN,17
Fish,8
Pond4Fish8_FishType,gray
Pond4Fish8_FishLatency,5.454545454545454
Pond4Fish8_CatchTime,1.102
Pond4Fish8_PondTime,57.676
Pond4Fish8_PondOutcome,86
Pond4Fish8_TotalOutcome,86
Pond4Fish8_TimeLeft,1144.718
Type,RD
FishN,17
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,6
Pond4Fish9_CatchTime,1.142
Pond4Fish9_PondTime,66.738
Pond4Fish9_PondOutcome,98
Pond4Fish9_TotalOutcome,98
Pond4Fish9_TimeLeft,1135.655
Type,RD
FishN,17
Fish,10
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,6.666666666666667
Pond4Fish10_CatchTime,1.097
Pond4Fish10_PondTime,76.631
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,110
Pond4Fish10_TimeLeft,1125.762
Type,RD
FishN,17
Fish,11
Pond4Fish11_FishType,blue
Pond4Fish11_FishLatency,7.5
Pond4Fish11_CatchTime,1.183
Pond4Fish11_PondTime,87.583
Pond4Fish11_PondOutcome,122
Pond4Fish11_TotalOutcome,122
Pond4Fish11_TimeLeft,1114.811
Type,RD
FishN,17
Fish,12
Pond4Fish12_FishType,blue
Pond4Fish12_FishLatency,8.571428571428571
Pond4Fish12_CatchTime,1.036
Pond4Fish12_PondTime,99.971
Pond4Fish12_PondOutcome,134
Pond4Fish12_TotalOutcome,134
Pond4Fish12_TimeLeft,1102.423
Type,RD
FishN,17
Fish,13
Pond4Fish13_FishType,gray
Pond4Fish13_FishLatency,10
Pond4Fish13_CatchTime,1.21
Pond4Fish13_PondTime,114.355
Pond4Fish13_PondOutcome,136
Pond4Fish13_TotalOutcome,136
Pond4Fish13_TimeLeft,1088.039
Type,RD
FishN,17
Fish,14
Pond4Fish14_FishType,blue
Pond4Fish14_FishLatency,12
Pond4Fish14_CatchTime,1.014
Pond4Fish14_PondTime,131.737
Pond4Fish14_PondOutcome,148
Pond4Fish14_TotalOutcome,148
Pond4Fish14_TimeLeft,1070.657
Type,RD
FishN,17
Fish,15
Pond4Fish15_FishType,gray
Pond4Fish15_FishLatency,15
Pond4Fish15_CatchTime,0.742
Pond4Fish15_PondTime,154.118
Pond4Fish15_PondOutcome,150
Pond4Fish15_TotalOutcome,150
Pond4Fish15_TimeLeft,1048.275
Type,RD
FishN,17
Fish,16
Pond4Fish16_FishType,blue
Pond4Fish16_FishLatency,20
Pond4Fish16_CatchTime,1.192
Pond4Fish16_PondTime,186.517
Pond4Fish16_PondOutcome,162
Pond4Fish16_TotalOutcome,162
Pond4Fish16_TimeLeft,1015.877
PondEnd_LastFish,16
FishN,18
Type,RD
GiveUpTime,7.121
PondTime,193.031
TimeLeft,1008.854
PondOutcome,162
TotalOutcome,162
PondStart,PondStart
PondIntroTime,18.562880088575184
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,gray
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,0.861
Pond5Fish1_PondTime,9.302
Pond5Fish1_PondOutcome,2
Pond5Fish1_TotalOutcome,164
Pond5Fish1_TimeLeft,980.351
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,0.823
Pond5Fish2_PondTime,17.136
Pond5Fish2_PondOutcome,14
Pond5Fish2_TotalOutcome,176
Pond5Fish2_TimeLeft,972.516
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,1.008
Pond5Fish3_PondTime,25.532
Pond5Fish3_PondOutcome,26
Pond5Fish3_TotalOutcome,188
Pond5Fish3_TimeLeft,964.121
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,0.968
Pond5Fish4_PondTime,34.593
Pond5Fish4_PondOutcome,38
Pond5Fish4_TotalOutcome,200
Pond5Fish4_TimeLeft,955.059
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,0.954
Pond5Fish5_PondTime,44.479
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,212
Pond5Fish5_TimeLeft,945.174
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,1.028
Pond5Fish6_PondTime,55.453
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,224
Pond5Fish6_TimeLeft,934.2
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,1.029
Pond5Fish7_PondTime,67.856
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,236
Pond5Fish7_TimeLeft,921.797
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,1.399
Pond5Fish8_PondTime,82.231
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,248
Pond5Fish8_TimeLeft,907.422
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,12
Pond5Fish9_CatchTime,0.833
Pond5Fish9_PondTime,99.612
Pond5Fish9_PondOutcome,98
Pond5Fish9_TotalOutcome,260
Pond5Fish9_TimeLeft,890.041
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,gray
Pond5Fish10_FishLatency,15
Pond5Fish10_CatchTime,0.923
Pond5Fish10_PondTime,121.983
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,262
Pond5Fish10_TimeLeft,867.67
Type,RD
FishN,14
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,20
Pond5Fish11_CatchTime,1.132
Pond5Fish11_PondTime,154.361
Pond5Fish11_PondOutcome,112
Pond5Fish11_TotalOutcome,274
Pond5Fish11_TimeLeft,835.292
PondEnd_LastFish,11
FishN,13
Type,RD
GiveUpTime,27.294
PondTime,180.987
TimeLeft,808.154
PondOutcome,112
TotalOutcome,274
PondStart,PondStart
PondIntroTime,14.646812286227942
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,0.909
Pond6Fish1_PondTime,7.623
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,286
Pond6Fish1_TimeLeft,785.24
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,0.939
Pond6Fish2_PondTime,13.542
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,298
Pond6Fish2_TimeLeft,779.321
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,0.94
Pond6Fish3_PondTime,19.683
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,310
Pond6Fish3_TimeLeft,773.18
Type,RD
