,5e1d90769138e00f5b759764
PlayerDetails,5e1d90769138e00f5b759764
GameCompleted,finished
Selected ponds in the game,=======
Pond9_Type,RD
Pond9_#Fishes,15
Pond2_Type,RD
Pond2_#Fishes,14
Pond1_Type,RD
Pond1_#Fishes,12
Pond10_Type,RD
Pond10_#Fishes,15
Pond4_Type,RD
Pond4_#Fishes,13
Pond11_Type,RD
Pond11_#Fishes,16
Pond8_Type,RD
Pond8_#Fishes,13
Pond3_Type,RD
Pond3_#Fishes,15
Pond7_Type,RD
Pond7_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 11:19:22 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,1.031
Pond9Fish1_PondTime,8.571
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,12
Pond9Fish1_TimeLeft,1193.828
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.011
Pond9Fish2_PondTime,15.554
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,24
Pond9Fish2_TimeLeft,1186.845
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,0.882
Pond9Fish3_PondTime,22.962
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,36
Pond9Fish3_TimeLeft,1179.437
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,1.072
Pond9Fish4_PondTime,30.812
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,48
Pond9Fish4_TimeLeft,1171.587
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,0.877
Pond9Fish5_PondTime,39.209
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,60
Pond9Fish5_TimeLeft,1163.19
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,0.983
Pond9Fish6_PondTime,48.272
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,72
Pond9Fish6_TimeLeft,1154.127
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,0.912
Pond9Fish7_PondTime,58.132
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,84
Pond9Fish7_TimeLeft,1144.267
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,0.886
Pond9Fish8_PondTime,69.096
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,96
Pond9Fish8_TimeLeft,1133.303
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,0.893
Pond9Fish9_PondTime,81.473
Pond9Fish9_PondOutcome,108
Pond9Fish9_TotalOutcome,108
Pond9Fish9_TimeLeft,1120.926
Type,RD
FishN,18
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,10
Pond9Fish10_CatchTime,1.006
Pond9Fish10_PondTime,95.849
Pond9Fish10_PondOutcome,120
Pond9Fish10_TotalOutcome,120
Pond9Fish10_TimeLeft,1106.55
Type,RD
FishN,18
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,12
Pond9Fish11_CatchTime,0.928
Pond9Fish11_PondTime,113.224
Pond9Fish11_PondOutcome,132
Pond9Fish11_TotalOutcome,132
Pond9Fish11_TimeLeft,1089.175
Type,RD
FishN,18
Fish,12
Pond9Fish12_FishType,gray
Pond9Fish12_FishLatency,15
Pond9Fish12_CatchTime,1.412
Pond9Fish12_PondTime,135.597
Pond9Fish12_PondOutcome,134
Pond9Fish12_TotalOutcome,134
Pond9Fish12_TimeLeft,1066.802
PondEnd_LastFish,12
FishN,15
Type,RD
GiveUpTime,24.113
PondTime,159.309
TimeLeft,1042.588
PondOutcome,134
TotalOutcome,134
PondStart,PondStart
PondIntroTime,13.630552750546485
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,1.075
Pond2Fish1_PondTime,8.895
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,146
Pond2Fish1_TimeLeft,1019.439
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,1.097
Pond2Fish2_PondTime,16.272
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,158
Pond2Fish2_TimeLeft,1012.062
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,1.113
Pond2Fish3_PondTime,24.106
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,170
Pond2Fish3_TimeLeft,1004.227
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,5.454545454545454
Pond2Fish4_CatchTime,0.774
Pond2Fish4_PondTime,32.485
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,182
Pond2Fish4_TimeLeft,995.849
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,6
Pond2Fish5_CatchTime,1.489
Pond2Fish5_PondTime,41.514
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,194
Pond2Fish5_TimeLeft,986.82
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,6.666666666666667
Pond2Fish6_CatchTime,0.724
Pond2Fish6_PondTime,51.378
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,206
Pond2Fish6_TimeLeft,976.956
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,7.5
Pond2Fish7_CatchTime,0.883
Pond2Fish7_PondTime,62.307
Pond2Fish7_PondOutcome,84
Pond2Fish7_TotalOutcome,218
Pond2Fish7_TimeLeft,966.027
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,8.571428571428571
Pond2Fish8_CatchTime,0.948
Pond2Fish8_PondTime,74.664
Pond2Fish8_PondOutcome,96
Pond2Fish8_TotalOutcome,230
Pond2Fish8_TimeLeft,953.669
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,10
Pond2Fish9_CatchTime,1.338
Pond2Fish9_PondTime,89.043
Pond2Fish9_PondOutcome,108
Pond2Fish9_TotalOutcome,242
Pond2Fish9_TimeLeft,939.291
PondEnd_LastFish,9
FishN,14
Type,RD
GiveUpTime,0.792
PondTime,106.272
TimeLeft,921.56
PondOutcome,108
TotalOutcome,242
PondStart,PondStart
PondIntroTime,15.322540795896202
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,0.927
Pond1Fish1_PondTime,9.732
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,254
Pond1Fish1_TimeLeft,895.894
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,0.82
Pond1Fish2_PondTime,18.128
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,266
Pond1Fish2_TimeLeft,887.498
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.127
Pond1Fish3_PondTime,27.189
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,278
Pond1Fish3_TimeLeft,878.437
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,0.823
Pond1Fish4_PondTime,37.084
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,290
Pond1Fish4_TimeLeft,868.542
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,1.117
Pond1Fish5_PondTime,48.045
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,302
Pond1Fish5_TimeLeft,857.581
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,1.758
Pond1Fish6_PondTime,60.47
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,314
Pond1Fish6_TimeLeft,845.156
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,10
Pond1Fish7_CatchTime,1.213
Pond1Fish7_PondTime,74.846
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,326
Pond1Fish7_TimeLeft,830.78
PondEnd_LastFish,7
FishN,12
Type,RD
GiveUpTime,0.6
PondTime,92.055
TimeLeft,813.069
PondOutcome,84
TotalOutcome,326
PondStart,PondStart
PondIntroTime,11.622391198761761
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,0.911
Pond10Fish1_PondTime,8.597
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,338
Pond10Fish1_TimeLeft,792.245
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,1.378
Pond10Fish2_PondTime,15.594
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,350
Pond10Fish2_TimeLeft,785.248
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,0.887
Pond10Fish3_PondTime,22.99
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,362
Pond10Fish3_TimeLeft,777.852
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,1.383
Pond10Fish4_PondTime,30.838
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,374
Pond10Fish4_TimeLeft,770.004
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,1.267
Pond10Fish5_PondTime,39.235
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,386
Pond10Fish5_TimeLeft,761.607
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,6
Pond10Fish6_CatchTime,0.989
Pond10Fish6_PondTime,48.297
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,398
Pond10Fish6_TimeLeft,752.544
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,6.666666666666667
Pond10Fish7_CatchTime,1.15
Pond10Fish7_PondTime,58.193
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,410
Pond10Fish7_TimeLeft,742.649
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,7.5
Pond10Fish8_CatchTime,1.001
Pond10Fish8_PondTime,69.133
Pond10Fish8_PondOutcome,96
Pond10Fish8_TotalOutcome,422
Pond10Fish8_TimeLeft,731.709
Type,RD
FishN,12
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,8.571428571428571
Pond10Fish9_CatchTime,0.941
Pond10Fish9_PondTime,81.497
Pond10Fish9_PondOutcome,108
Pond10Fish9_TotalOutcome,434
Pond10Fish9_TimeLeft,719.345
Type,RD
FishN,12
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,10
Pond10Fish10_CatchTime,1.079
Pond10Fish10_PondTime,95.887
Pond10Fish10_PondOutcome,120
Pond10Fish10_TotalOutcome,446
Pond10Fish10_TimeLeft,704.955
Type,RD
FishN,12
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,12
Pond10Fish11_CatchTime,0.878
Pond10Fish11_PondTime,113.279
Pond10Fish11_PondOutcome,132
Pond10Fish11_TotalOutcome,458
Pond10Fish11_TimeLeft,687.563
PondEnd_LastFish,11
FishN,15
Type,RD
GiveUpTime,2.182
PondTime,114.544
TimeLeft,685.796
PondOutcome,132
TotalOutcome,458
PondStart,PondStart
PondIntroTime,16.148419252131134
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,1.113
Pond4Fish1_PondTime,9.282
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,470
Pond4Fish1_TimeLeft,659.739
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.182
Pond4Fish2_PondTime,17.095
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,482
Pond4Fish2_TimeLeft,651.926
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,-1
Pond4Fish3_PondTime,25.552
Pond4Fish3_PondOutcome,24
Pond4Fish3_TotalOutcome,482
Pond4Fish3_TimeLeft,643.469
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,1.72
Pond4Fish4_PondTime,34.633
Pond4Fish4_PondOutcome,36
Pond4Fish4_TotalOutcome,494
Pond4Fish4_TimeLeft,634.388
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,gray
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,1.011
Pond4Fish5_PondTime,44.497
Pond4Fish5_PondOutcome,38
Pond4Fish5_TotalOutcome,496
Pond4Fish5_TimeLeft,624.524
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,0.689
Pond4Fish6_PondTime,55.426
Pond4Fish6_PondOutcome,50
Pond4Fish6_TotalOutcome,508
Pond4Fish6_TimeLeft,613.595
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,1.094
Pond4Fish7_PondTime,67.806
Pond4Fish7_PondOutcome,62
Pond4Fish7_TotalOutcome,520
Pond4Fish7_TimeLeft,601.215
Type,RD
FishN,17
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,10
Pond4Fish8_CatchTime,1.19
Pond4Fish8_PondTime,82.197
Pond4Fish8_PondOutcome,74
Pond4Fish8_TotalOutcome,532
Pond4Fish8_TimeLeft,586.824
Type,RD
FishN,17
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,12
Pond4Fish9_CatchTime,1.097
Pond4Fish9_PondTime,99.571
Pond4Fish9_PondOutcome,86
Pond4Fish9_TotalOutcome,544
Pond4Fish9_TimeLeft,569.45
PondEnd_LastFish,9
FishN,13
Type,RD
GiveUpTime,0.634
PondTime,121.607
TimeLeft,546.912
PondOutcome,86
TotalOutcome,544
PondStart,PondStart
PondIntroTime,19.148507707286626
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.75
