,5e1d9dbece16da10363ada3b
PlayerDetails,5e1d9dbece16da10363ada3b
GameCompleted,finished
Selected ponds in the game,=======
Pond11_Type,RD
Pond11_#Fishes,17
Pond8_Type,RD
Pond8_#Fishes,12
Pond5_Type,RD
Pond5_#Fishes,14
Pond3_Type,RD
Pond3_#Fishes,19
Pond9_Type,RD
Pond9_#Fishes,15
Pond12_Type,RD
Pond12_#Fishes,14
Pond2_Type,RD
Pond2_#Fishes,17
Pond6_Type,RD
Pond6_#Fishes,19
Pond10_Type,RD
Pond10_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 11:21:15 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,0.757
Pond11Fish1_PondTime,8.007
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,12
Pond11Fish1_TimeLeft,1194.392
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.048
Pond11Fish2_PondTime,14.371
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,24
Pond11Fish2_TimeLeft,1188.029
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,0.809
Pond11Fish3_PondTime,21.02
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,36
Pond11Fish3_TimeLeft,1181.38
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,0.956
Pond11Fish4_PondTime,27.998
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,48
Pond11Fish4_TimeLeft,1174.402
PondEnd_LastFish,4
FishN,17
Type,RD
GiveUpTime,0.708
PondTime,35.222
TimeLeft,1166.676
PondOutcome,48
TotalOutcome,48
PondStart,PondStart
PondIntroTime,14.386178648564965
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,0.867
Pond8Fish1_PondTime,9.727
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,60
Pond8Fish1_TimeLeft,1141.927
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,0.968
Pond8Fish2_PondTime,18.091
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,72
Pond8Fish2_TimeLeft,1133.563
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,0.993
Pond8Fish3_PondTime,27.12
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,84
Pond8Fish3_TimeLeft,1124.534
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,1.129
Pond8Fish4_PondTime,36.984
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,96
Pond8Fish4_TimeLeft,1114.67
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,1.04
Pond8Fish5_PondTime,47.914
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,108
Pond8Fish5_TimeLeft,1103.74
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,gray
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,0.917
Pond8Fish6_PondTime,60.276
Pond8Fish6_PondOutcome,62
Pond8Fish6_TotalOutcome,110
Pond8Fish6_TimeLeft,1091.377
PondEnd_LastFish,6
FishN,12
Type,RD
GiveUpTime,0.618
PondTime,74.388
TimeLeft,1076.764
PondOutcome,62
TotalOutcome,110
PondStart,PondStart
PondIntroTime,10.75041105505079
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,0.894
Pond5Fish1_PondTime,8.881
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,122
Pond5Fish1_TimeLeft,1056.507
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,gray
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.042
Pond5Fish2_PondTime,16.247
Pond5Fish2_PondOutcome,14
Pond5Fish2_TotalOutcome,124
Pond5Fish2_TimeLeft,1049.141
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,0.931
Pond5Fish3_PondTime,24.06
Pond5Fish3_PondOutcome,26
Pond5Fish3_TotalOutcome,136
Pond5Fish3_TimeLeft,1041.328
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,0.896
Pond5Fish4_PondTime,32.423
Pond5Fish4_PondOutcome,38
Pond5Fish4_TotalOutcome,148
Pond5Fish4_TimeLeft,1032.965
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,0.608
Pond5Fish5_PondTime,41.456
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,160
Pond5Fish5_TimeLeft,1023.932
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.481
Pond5Fish6_PondTime,51.319
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,172
Pond5Fish6_TimeLeft,1014.069
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.312
Pond5Fish7_PondTime,62.247
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,184
Pond5Fish7_TimeLeft,1003.141
PondEnd_LastFish,7
FishN,14
Type,RD
GiveUpTime,0.5
PondTime,74.242
TimeLeft,990.645
PondOutcome,74
TotalOutcome,184
PondStart,PondStart
PondIntroTime,17.504743768367916
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,0.618
Pond3Fish1_PondTime,7.598
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,196
Pond3Fish1_TimeLeft,964.903
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,1.224
Pond3Fish2_PondTime,13.495
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,208
Pond3Fish2_TimeLeft,959.006
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,0.773
Pond3Fish3_PondTime,19.608
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,220
Pond3Fish3_TimeLeft,952.893
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,1.009
Pond3Fish4_PondTime,25.974
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,232
Pond3Fish4_TimeLeft,946.527
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,1.129
Pond3Fish5_PondTime,32.624
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,244
Pond3Fish5_TimeLeft,939.877
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,0.972
Pond3Fish6_PondTime,39.604
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,256
Pond3Fish6_TimeLeft,932.897
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,0.895
Pond3Fish7_PondTime,46.968
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,268
Pond3Fish7_TimeLeft,925.533
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,0.978
Pond3Fish8_PondTime,54.782
Pond3Fish8_PondOutcome,96
Pond3Fish8_TotalOutcome,280
Pond3Fish8_TimeLeft,917.719
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,0.995
Pond3Fish9_PondTime,63.147
Pond3Fish9_PondOutcome,108
Pond3Fish9_TotalOutcome,292
Pond3Fish9_TimeLeft,909.354
Type,RD
FishN,15
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,1.663
Pond3Fish10_PondTime,72.179
Pond3Fish10_PondOutcome,120
Pond3Fish10_TotalOutcome,304
Pond3Fish10_TimeLeft,900.322
Type,RD
FishN,15
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,0.896
Pond3Fish11_PondTime,82.039
Pond3Fish11_PondOutcome,132
Pond3Fish11_TotalOutcome,316
Pond3Fish11_TimeLeft,890.462
Type,RD
FishN,15
Fish,12
Pond3Fish12_FishType,blue
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,0.998
Pond3Fish12_PondTime,92.97
Pond3Fish12_PondOutcome,144
Pond3Fish12_TotalOutcome,328
Pond3Fish12_TimeLeft,879.531
Type,RD
FishN,15
Fish,13
Pond3Fish13_FishType,blue
Pond3Fish13_FishLatency,8.571428571428571
Pond3Fish13_CatchTime,1.036
Pond3Fish13_PondTime,105.33
Pond3Fish13_PondOutcome,156
Pond3Fish13_TotalOutcome,340
Pond3Fish13_TimeLeft,867.171
Type,RD
FishN,15
Fish,14
Pond3Fish14_FishType,blue
Pond3Fish14_FishLatency,10
Pond3Fish14_CatchTime,1.04
Pond3Fish14_PondTime,119.694
Pond3Fish14_PondOutcome,168
Pond3Fish14_TotalOutcome,352
Pond3Fish14_TimeLeft,852.807
Type,RD
FishN,15
Fish,15
Pond3Fish15_FishType,blue
Pond3Fish15_FishLatency,12
Pond3Fish15_CatchTime,1.632
Pond3Fish15_PondTime,137.056
Pond3Fish15_PondOutcome,180
Pond3Fish15_TotalOutcome,364
Pond3Fish15_TimeLeft,835.445
Type,RD
FishN,15
Fish,16
Pond3Fish16_FishType,blue
Pond3Fish16_FishLatency,15
Pond3Fish16_CatchTime,2.042
Pond3Fish16_PondTime,159.479
Pond3Fish16_PondOutcome,192
Pond3Fish16_TotalOutcome,376
Pond3Fish16_TimeLeft,813.022
PondEnd_LastFish,16
FishN,19
Type,RD
GiveUpTime,0.648
PondTime,160.025
TimeLeft,811.974
PondOutcome,192
TotalOutcome,376
PondStart,PondStart
PondIntroTime,14.012575682718307
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,0.965
Pond9Fish1_PondTime,8.549
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,388
Pond9Fish1_TimeLeft,788.78
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,gray
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.239
Pond9Fish2_PondTime,15.53
Pond9Fish2_PondOutcome,14
Pond9Fish2_TotalOutcome,390
Pond9Fish2_TimeLeft,781.799
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,1.035
Pond9Fish3_PondTime,22.894
Pond9Fish3_PondOutcome,26
Pond9Fish3_TotalOutcome,402
Pond9Fish3_TimeLeft,774.435
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,gray
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,0.91
Pond9Fish4_PondTime,30.709
Pond9Fish4_PondOutcome,28
Pond9Fish4_TotalOutcome,404
Pond9Fish4_TimeLeft,766.62
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,gray
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,1.49
Pond9Fish5_PondTime,39.072
Pond9Fish5_PondOutcome,30
Pond9Fish5_TotalOutcome,406
Pond9Fish5_TimeLeft,758.257
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,1.355
Pond9Fish6_PondTime,48.104
Pond9Fish6_PondOutcome,42
Pond9Fish6_TotalOutcome,418
Pond9Fish6_TimeLeft,749.225
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,0.932
Pond9Fish7_PondTime,57.965
Pond9Fish7_PondOutcome,54
Pond9Fish7_TotalOutcome,430
Pond9Fish7_TimeLeft,739.364
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,0.793
Pond9Fish8_PondTime,68.897
Pond9Fish8_PondOutcome,66
Pond9Fish8_TotalOutcome,442
Pond9Fish8_TimeLeft,728.432
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,1.6
Pond9Fish9_PondTime,81.259
Pond9Fish9_PondOutcome,78
Pond9Fish9_TotalOutcome,454
Pond9Fish9_TimeLeft,716.07
Type,RD
FishN,18
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,10
Pond9Fish10_CatchTime,0.878
Pond9Fish10_PondTime,95.619
