,Meitar
PlayerDetails,Meitar
GameCompleted,declined
Selected ponds in the game,=======
Pond6_Type,RT
Pond6_#Fishes,12
Pond3_Type,RD
Pond3_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 11:05:52 GMT+0200 (Israel Standard Time)
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,-1
Pond6Fish1_PondTime,9.797
Pond6Fish1_PondOutcome,0
Pond6Fish1_TotalOutcome,0
Pond6Fish1_TimeLeft,1192.602
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,-1
Pond6Fish2_PondTime,18.225
Pond6Fish2_PondOutcome,0
Pond6Fish2_TotalOutcome,0
Pond6Fish2_TimeLeft,1184.174
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,-1
Pond6Fish3_PondTime,27.326
Pond6Fish3_PondOutcome,0
Pond6Fish3_TotalOutcome,0
Pond6Fish3_TimeLeft,1175.073
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,-1
Pond6Fish4_PondTime,37.26
Pond6Fish4_PondOutcome,0
Pond6Fish4_TotalOutcome,0
Pond6Fish4_TimeLeft,1165.139
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,1.667
Pond6Fish5_PondTime,48.343
Pond6Fish5_PondOutcome,10
Pond6Fish5_TotalOutcome,10
Pond6Fish5_TimeLeft,1154.056
PondEnd_LastFish,5
FishN,12
Type,RT
GiveUpTime,10.205
PondTime,58.279
TimeLeft,1143.617
PondOutcome,10
TotalOutcome,10
PondStart,PondStart
PondIntroTime,10.18803270533681
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,-1
Pond3Fish1_PondTime,8.964
Pond3Fish1_PondOutcome,0
Pond3Fish1_TotalOutcome,10
Pond3Fish1_TimeLeft,1123.839
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,-1
Pond3Fish2_PondTime,16.413
Pond3Fish2_PondOutcome,0
Pond3Fish2_TotalOutcome,10
Pond3Fish2_TimeLeft,1116.391
