,576ecc498445140001a36cb9
PlayerDetails,576ecc498445140001a36cb9
GameCompleted,finished
Selected ponds in the game,=======
Pond5_Type,RT
Pond5_#Fishes,13
Pond7_Type,RT
Pond7_#Fishes,16
Pond6_Type,RT
Pond6_#Fishes,12
Pond12_Type,RT
Pond12_#Fishes,14
Pond3_Type,RT
Pond3_#Fishes,18
Pond2_Type,RT
Pond2_#Fishes,12
Pond1_Type,RT
Pond1_#Fishes,16
Pond4_Type,RT
Pond4_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 22:47:20 GMT-0800 (Pacific Standard Time)
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,1.088
Pond5Fish1_PondTime,9.268
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,10
Pond5Fish1_TimeLeft,1193.13
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,golden
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,0.888
Pond5Fish2_PondTime,17.09
Pond5Fish2_PondOutcome,30
Pond5Fish2_TotalOutcome,30
Pond5Fish2_TimeLeft,1185.309
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,-1
Pond5Fish3_PondTime,25.516
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,30
Pond5Fish3_TimeLeft,1176.883
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,1.761
Pond5Fish4_PondTime,34.652
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,40
Pond5Fish4_TimeLeft,1167.746
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,golden
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,0.766
Pond5Fish5_PondTime,44.517
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,60
Pond5Fish5_TimeLeft,1157.882
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,1.368
Pond5Fish6_PondTime,55.45
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,70
Pond5Fish6_TimeLeft,1146.948
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,0.777
Pond5Fish7_PondTime,67.808
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,80
Pond5Fish7_TimeLeft,1134.591
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,0.999
Pond5Fish8_PondTime,82.18
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,90
Pond5Fish8_TimeLeft,1120.219
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,12
Pond5Fish9_CatchTime,0.995
Pond5Fish9_PondTime,99.55
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,100
Pond5Fish9_TimeLeft,1102.848
Type,RT
FishN,18
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,15
Pond5Fish10_CatchTime,0.919
Pond5Fish10_PondTime,121.917
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,110
Pond5Fish10_TimeLeft,1080.482
PondEnd_LastFish,10
FishN,13
Type,RT
GiveUpTime,2.541
PondTime,123.588
TimeLeft,1078.306
PondOutcome,110
TotalOutcome,110
PondStart,PondStart
PondIntroTime,17.451699222438037
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,1.745
Pond7Fish1_PondTime,8.343
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,120
Pond7Fish1_TimeLeft,1051.868
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,1.054
Pond7Fish2_PondTime,14.993
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,130
Pond7Fish2_TimeLeft,1045.218
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,1.188
Pond7Fish3_PondTime,21.97
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,140
Pond7Fish3_TimeLeft,1038.241
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,1.443
Pond7Fish4_PondTime,29.338
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,150
Pond7Fish4_TimeLeft,1030.873
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,1.352
Pond7Fish5_PondTime,37.15
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,160
Pond7Fish5_TimeLeft,1023.061
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,1.026
Pond7Fish6_PondTime,45.509
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,170
Pond7Fish6_TimeLeft,1014.702
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,-1
Pond7Fish7_PondTime,54.593
Pond7Fish7_PondOutcome,60
Pond7Fish7_TotalOutcome,170
Pond7Fish7_TimeLeft,1005.618
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,6.666666666666667
Pond7Fish8_CatchTime,0.735
Pond7Fish8_PondTime,64.456
Pond7Fish8_PondOutcome,70
Pond7Fish8_TotalOutcome,180
Pond7Fish8_TimeLeft,995.755
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,7.5
Pond7Fish9_CatchTime,0.898
Pond7Fish9_PondTime,75.387
Pond7Fish9_PondOutcome,80
Pond7Fish9_TotalOutcome,190
Pond7Fish9_TimeLeft,984.824
Type,RT
FishN,16
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,8.571428571428571
Pond7Fish10_CatchTime,0.805
Pond7Fish10_PondTime,87.762
Pond7Fish10_PondOutcome,90
Pond7Fish10_TotalOutcome,200
Pond7Fish10_TimeLeft,972.449
Type,RT
FishN,16
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,10
Pond7Fish11_CatchTime,1.06
Pond7Fish11_PondTime,102.121
Pond7Fish11_PondOutcome,100
Pond7Fish11_TotalOutcome,210
Pond7Fish11_TimeLeft,958.089
Type,RT
FishN,16
Fish,12
Pond7Fish12_FishType,purple
Pond7Fish12_FishLatency,12
Pond7Fish12_CatchTime,-1
Pond7Fish12_PondTime,119.553
Pond7Fish12_PondOutcome,100
Pond7Fish12_TotalOutcome,210
Pond7Fish12_TimeLeft,940.658
Type,RT
FishN,16
Fish,13
Pond7Fish13_FishType,purple
Pond7Fish13_FishLatency,15
Pond7Fish13_CatchTime,0.63
Pond7Fish13_PondTime,141.922
Pond7Fish13_PondOutcome,110
Pond7Fish13_TotalOutcome,220
Pond7Fish13_TimeLeft,918.289
PondEnd_LastFish,13
FishN,16
Type,RT
GiveUpTime,2.152
PondTime,142.903
TimeLeft,916.803
PondOutcome,110
TotalOutcome,220
PondStart,PondStart
PondIntroTime,18.269108578097075
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,1.011
Pond6Fish1_PondTime,9.726
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,230
Pond6Fish1_TimeLeft,888.176
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,1.545
Pond6Fish2_PondTime,18.088
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,240
Pond6Fish2_TimeLeft,879.814
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,0.56
Pond6Fish3_PondTime,27.121
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,250
Pond6Fish3_TimeLeft,870.78
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,1.322
Pond6Fish4_PondTime,36.983
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,260
Pond6Fish4_TimeLeft,860.919
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,0.775
Pond6Fish5_PondTime,47.929
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,270
Pond6Fish5_TimeLeft,849.973
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,golden
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,0.654
Pond6Fish6_PondTime,60.298
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,290
Pond6Fish6_TimeLeft,837.603
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,10
Pond6Fish7_CatchTime,0.883
Pond6Fish7_PondTime,74.662
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,300
Pond6Fish7_TimeLeft,823.24
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,golden
Pond6Fish8_FishLatency,12
Pond6Fish8_CatchTime,0.822
Pond6Fish8_PondTime,92.025
Pond6Fish8_PondOutcome,100
Pond6Fish8_TotalOutcome,320
Pond6Fish8_TimeLeft,805.877
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,15
Pond6Fish9_CatchTime,1.038
Pond6Fish9_PondTime,114.396
Pond6Fish9_PondOutcome,110
Pond6Fish9_TotalOutcome,330
Pond6Fish9_TimeLeft,783.506
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,20
Pond6Fish10_CatchTime,1.008
Pond6Fish10_PondTime,146.761
Pond6Fish10_PondOutcome,120
Pond6Fish10_TotalOutcome,340
Pond6Fish10_TimeLeft,751.141
PondEnd_LastFish,10
FishN,12
Type,RT
GiveUpTime,1.962
PondTime,147.939
TimeLeft,749.451
PondOutcome,120
TotalOutcome,340
PondStart,PondStart
PondIntroTime,16.464172394480556
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,0.672
Pond12Fish1_PondTime,8.881
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,350
Pond12Fish1_TimeLeft,723.494
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,0.662
Pond12Fish2_PondTime,16.253
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,360
Pond12Fish2_TimeLeft,716.122
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,5
Pond12Fish3_CatchTime,0.775
Pond12Fish3_PondTime,24.069
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,370
Pond12Fish3_TimeLeft,708.306
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,5.454545454545454
Pond12Fish4_CatchTime,0.714
Pond12Fish4_PondTime,32.431
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,380
Pond12Fish4_TimeLeft,699.944
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,6
Pond12Fish5_CatchTime,0.855
Pond12Fish5_PondTime,41.466
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,390
Pond12Fish5_TimeLeft,690.908
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,6.666666666666667
Pond12Fish6_CatchTime,0.794
Pond12Fish6_PondTime,51.344
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,400
Pond12Fish6_TimeLeft,681.031
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,7.5
Pond12Fish7_CatchTime,1.211
Pond12Fish7_PondTime,62.286
Pond12Fish7_PondOutcome,70
Pond12Fish7_TotalOutcome,410
Pond12Fish7_TimeLeft,670.089
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,8.571428571428571
Pond12Fish8_CatchTime,0.772
Pond12Fish8_PondTime,74.656
Pond12Fish8_PondOutcome,80
Pond12Fish8_TotalOutcome,420
Pond12Fish8_TimeLeft,657.719
Type,RT
FishN,16
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,10
Pond12Fish9_CatchTime,0.839
Pond12Fish9_PondTime,89.026
Pond12Fish9_PondOutcome,90
Pond12Fish9_TotalOutcome,430
Pond12Fish9_TimeLeft,643.349
Type,RT
FishN,16
Fish,10
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,12
Pond12Fish10_CatchTime,0.718
Pond12Fish10_PondTime,106.389
Pond12Fish10_PondOutcome,100
Pond12Fish10_TotalOutcome,440
Pond12Fish10_TimeLeft,625.986
Type,RT
FishN,16
Fish,11
Pond12Fish11_FishType,purple
Pond12Fish11_FishLatency,15
Pond12Fish11_CatchTime,0.779
Pond12Fish11_PondTime,128.758
Pond12Fish11_PondOutcome,110
Pond12Fish11_TotalOutcome,450
Pond12Fish11_TimeLeft,603.617
PondEnd_LastFish,11
FishN,14
Type,RT
GiveUpTime,5.8
PondTime,133.54
TimeLeft,598.326
PondOutcome,110
TotalOutcome,450
PondStart,PondStart
PondIntroTime,15.984114513266832
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,1.08
Pond3Fish1_PondTime,7.805
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,460
