,597cb71cd4e83700016c35b2
PlayerDetails,597cb71cd4e83700016c35b2
GameCompleted,finished
Selected ponds in the game,=======
Pond1_Type,RT
Pond1_#Fishes,15
Pond5_Type,RT
Pond5_#Fishes,12
Pond7_Type,RT
Pond7_#Fishes,17
Pond4_Type,RT
Pond4_#Fishes,14
Pond12_Type,RT
Pond12_#Fishes,17
Pond11_Type,RT
Pond11_#Fishes,19
Pond8_Type,RT
Pond8_#Fishes,12
Pond6_Type,RT
Pond6_#Fishes,19
Pond3_Type,RT
Pond3_#Fishes,17
Pond2_Type,RT
Pond2_#Fishes,17
Pond9_Type,RT
Pond9_#Fishes,16
Pond10_Type,RT
Pond10_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 06:39:59 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,1.671
Pond1Fish1_PondTime,8.727
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,10
Pond1Fish1_TimeLeft,1193.671
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,0.827
Pond1Fish2_PondTime,15.698
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,20
Pond1Fish2_TimeLeft,1186.7
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,golden
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,1.315
Pond1Fish3_PondTime,23.063
Pond1Fish3_PondOutcome,40
Pond1Fish3_TotalOutcome,40
Pond1Fish3_TimeLeft,1179.335
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,1.292
Pond1Fish4_PondTime,30.898
Pond1Fish4_PondOutcome,50
Pond1Fish4_TotalOutcome,50
Pond1Fish4_TimeLeft,1171.5
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,5.454545454545454
Pond1Fish5_CatchTime,1.172
Pond1Fish5_PondTime,39.264
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,60
Pond1Fish5_TimeLeft,1163.133
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,6
Pond1Fish6_CatchTime,1.067
Pond1Fish6_PondTime,48.318
Pond1Fish6_PondOutcome,70
Pond1Fish6_TotalOutcome,70
Pond1Fish6_TimeLeft,1154.08
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6.666666666666667
Pond1Fish7_CatchTime,0.864
Pond1Fish7_PondTime,58.182
Pond1Fish7_PondOutcome,80
Pond1Fish7_TotalOutcome,80
Pond1Fish7_TimeLeft,1144.216
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,7.5
Pond1Fish8_CatchTime,1.378
Pond1Fish8_PondTime,69.116
Pond1Fish8_PondOutcome,90
Pond1Fish8_TotalOutcome,90
Pond1Fish8_TimeLeft,1133.282
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,8.571428571428571
Pond1Fish9_CatchTime,1.323
Pond1Fish9_PondTime,81.484
Pond1Fish9_PondOutcome,100
Pond1Fish9_TotalOutcome,100
Pond1Fish9_TimeLeft,1120.914
PondEnd_LastFish,9
FishN,15
Type,RT
GiveUpTime,0.855
PondTime,81.871
TimeLeft,1120.023
PondOutcome,100
TotalOutcome,100
PondStart,PondStart
PondIntroTime,12.035809226799756
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,-1
Pond5Fish1_PondTime,9.798
Pond5Fish1_PondOutcome,0
Pond5Fish1_TotalOutcome,100
Pond5Fish1_TimeLeft,1097.56
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,0.989
Pond5Fish2_PondTime,18.167
Pond5Fish2_PondOutcome,10
Pond5Fish2_TotalOutcome,110
Pond5Fish2_TimeLeft,1089.191
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,1.102
Pond5Fish3_PondTime,27.202
Pond5Fish3_PondOutcome,20
Pond5Fish3_TotalOutcome,120
Pond5Fish3_TimeLeft,1080.156
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,0.948
Pond5Fish4_PondTime,37.066
Pond5Fish4_PondOutcome,30
Pond5Fish4_TotalOutcome,130
Pond5Fish4_TimeLeft,1070.292
Type,RT
FishN,18
Fish,5
