,59aef156f235c20001a1a3a4
PlayerDetails,59aef156f235c20001a1a3a4
GameCompleted,finished
Selected ponds in the game,=======
Pond12_Type,RT
Pond12_#Fishes,16
Pond11_Type,RT
Pond11_#Fishes,18
Pond4_Type,RT
Pond4_#Fishes,13
Pond3_Type,RT
Pond3_#Fishes,14
Pond10_Type,RT
Pond10_#Fishes,17
Pond9_Type,RT
Pond9_#Fishes,19
Pond8_Type,RT
Pond8_#Fishes,15
Pond1_Type,RT
Pond1_#Fishes,14
Pond5_Type,RT
Pond5_#Fishes,15
Pond6_Type,RT
Pond6_#Fishes,14
Pond7_Type,RT
Pond7_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 00:32:05 GMT-0600 (Central Standard Time)
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.139
Pond12Fish1_PondTime,8.276
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,10
Pond12Fish1_TimeLeft,1194.123
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.216
Pond12Fish2_PondTime,14.936
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,20
Pond12Fish2_TimeLeft,1187.463
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,0.862
Pond12Fish3_PondTime,21.919
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,30
Pond12Fish3_TimeLeft,1180.48
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.721
Pond12Fish4_PondTime,29.311
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,40
Pond12Fish4_TimeLeft,1173.088
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,0.984
Pond12Fish5_PondTime,37.127
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,50
Pond12Fish5_TimeLeft,1165.272
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,golden
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,0.559
Pond12Fish6_PondTime,45.539
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,70
Pond12Fish6_TimeLeft,1156.86
PondEnd_LastFish,6
FishN,16
Type,RT
GiveUpTime,0.735
PondTime,54.246
TimeLeft,1147.648
PondOutcome,70
TotalOutcome,70
PondStart,PondStart
PondIntroTime,15.83955967798829
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,1.06
Pond11Fish1_PondTime,7.809
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,80
Pond11Fish1_TimeLeft,1123.362
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,golden
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,0.77
Pond11Fish2_PondTime,13.942
Pond11Fish2_PondOutcome,30
Pond11Fish2_TotalOutcome,100
Pond11Fish2_TimeLeft,1117.23
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,1.167
Pond11Fish3_PondTime,20.339
Pond11Fish3_PondOutcome,40
Pond11Fish3_TotalOutcome,110
Pond11Fish3_TimeLeft,1110.833
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,1
Pond11Fish4_PondTime,27.02
Pond11Fish4_PondOutcome,50
Pond11Fish4_TotalOutcome,120
Pond11Fish4_TimeLeft,1104.152
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,0.858
Pond11Fish5_PondTime,34.034
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,130
Pond11Fish5_TimeLeft,1097.138
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,0.626
Pond11Fish6_PondTime,41.411
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,140
Pond11Fish6_TimeLeft,1089.761
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,golden
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,0.557
Pond11Fish7_PondTime,49.252
Pond11Fish7_PondOutcome,90
Pond11Fish7_TotalOutcome,160
Pond11Fish7_TimeLeft,1081.92
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,0.822
Pond11Fish8_PondTime,57.639
Pond11Fish8_PondOutcome,100
Pond11Fish8_TotalOutcome,170
Pond11Fish8_TimeLeft,1073.533
PondEnd_LastFish,8
FishN,18
Type,RT
GiveUpTime,0.503
PondTime,66.483
TimeLeft,1064.186
PondOutcome,100
TotalOutcome,170
PondStart,PondStart
PondIntroTime,17.27997722569853
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,0.838
Pond4Fish1_PondTime,9.297
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,180
Pond4Fish1_TimeLeft,1036.986
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,0.75
Pond4Fish2_PondTime,17.159
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,190
Pond4Fish2_TimeLeft,1029.124
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.678
Pond4Fish3_PondTime,25.558
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,200
Pond4Fish3_TimeLeft,1020.725
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,golden
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,0.659
Pond4Fish4_PondTime,34.618
Pond4Fish4_PondOutcome,50
Pond4Fish4_TotalOutcome,220
Pond4Fish4_TimeLeft,1011.665
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,0.756
Pond4Fish5_PondTime,44.514
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,230
Pond4Fish5_TimeLeft,1001.769
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,0.81
Pond4Fish6_PondTime,55.474
Pond4Fish6_PondOutcome,70
Pond4Fish6_TotalOutcome,240
