,59cdb4ea5894270001463f1f
PlayerDetails,59cdb4ea5894270001463f1f
GameCompleted,finished
Selected ponds in the game,=======
Pond8_Type,RT
Pond8_#Fishes,13
Pond10_Type,RT
Pond10_#Fishes,16
Pond2_Type,RT
Pond2_#Fishes,12
Pond5_Type,RT
Pond5_#Fishes,13
Pond1_Type,RT
Pond1_#Fishes,18
Pond7_Type,RT
Pond7_#Fishes,17
Pond6_Type,RT
Pond6_#Fishes,18
Pond9_Type,RT
Pond9_#Fishes,15
Pond12_Type,RT
Pond12_#Fishes,12
Pond3_Type,RT
Pond3_#Fishes,16
Pond4_Type,RT
Pond4_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 10:50:45 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.07
Pond8Fish1_PondTime,9.292
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,10
Pond8Fish1_TimeLeft,1193.099
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,0.888
Pond8Fish2_PondTime,17.12
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,20
Pond8Fish2_TimeLeft,1185.271
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,1.424
Pond8Fish3_PondTime,25.482
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,30
Pond8Fish3_TimeLeft,1176.909
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,golden
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,0.913
Pond8Fish4_PondTime,34.524
Pond8Fish4_PondOutcome,50
Pond8Fish4_TotalOutcome,50
Pond8Fish4_TimeLeft,1167.867
PondEnd_LastFish,4
FishN,13
Type,RT
GiveUpTime,0.612
PondTime,44.196
TimeLeft,1157.691
PondOutcome,50
TotalOutcome,50
PondStart,PondStart
PondIntroTime,13.09868450043723
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,1.461
Pond10Fish1_PondTime,8.283
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,60
Pond10Fish1_TimeLeft,1135.699
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,1.38
Pond10Fish2_PondTime,14.944
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,70
Pond10Fish2_TimeLeft,1129.038
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,4.285714285714286
Pond10Fish3_CatchTime,1.479
Pond10Fish3_PondTime,21.94
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,80
Pond10Fish3_TimeLeft,1122.042
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,4.615384615384615
Pond10Fish4_CatchTime,0.993
Pond10Fish4_PondTime,29.313
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,90
Pond10Fish4_TimeLeft,1114.669
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,5
Pond10Fish5_CatchTime,1.019
Pond10Fish5_PondTime,37.144
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,100
Pond10Fish5_TimeLeft,1106.838
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,5.454545454545454
Pond10Fish6_CatchTime,1.112
Pond10Fish6_PondTime,45.506
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,110
Pond10Fish6_TimeLeft,1098.475
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,6
Pond10Fish7_CatchTime,0.937
Pond10Fish7_PondTime,54.535
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,120
Pond10Fish7_TimeLeft,1089.447
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,6.666666666666667
Pond10Fish8_CatchTime,1.079
Pond10Fish8_PondTime,64.405
Pond10Fish8_PondOutcome,80
Pond10Fish8_TotalOutcome,130
Pond10Fish8_TimeLeft,1079.577
PondEnd_LastFish,8
FishN,16
Type,RT
GiveUpTime,0.753
PondTime,64.44
TimeLeft,1079.04
PondOutcome,80
TotalOutcome,130
PondStart,PondStart
PondIntroTime,16.574782880488783
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,1.008
Pond2Fish1_PondTime,9.733
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,140
Pond2Fish1_TimeLeft,1052.112
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,0.774
Pond2Fish2_PondTime,18.112
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,150
Pond2Fish2_TimeLeft,1043.733
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,6
