,5a04869ff2e3460001edad2e
PlayerDetails,5a04869ff2e3460001edad2e
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,RT
Pond10_#Fishes,12
Pond4_Type,RT
Pond4_#Fishes,17
Pond11_Type,RT
Pond11_#Fishes,18
Pond6_Type,RT
Pond6_#Fishes,16
Pond9_Type,RT
Pond9_#Fishes,16
Pond1_Type,RT
Pond1_#Fishes,14
Pond7_Type,RT
Pond7_#Fishes,17
Pond2_Type,RT
Pond2_#Fishes,15
Pond8_Type,RT
Pond8_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 02:51:46 GMT-0500 (Eastern Standard Time)
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.905
Pond10Fish1_PondTime,9.726
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,10
Pond10Fish1_TimeLeft,1192.672
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.157
Pond10Fish2_PondTime,18.091
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,20
Pond10Fish2_TimeLeft,1184.307
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,0.718
Pond10Fish3_PondTime,27.124
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,30
Pond10Fish3_TimeLeft,1175.274
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,1.075
Pond10Fish4_PondTime,36.991
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,40
Pond10Fish4_TimeLeft,1165.407
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,0.872
Pond10Fish5_PondTime,47.924
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,50
Pond10Fish5_TimeLeft,1154.474
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,0.881
Pond10Fish6_PondTime,60.292
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,60
Pond10Fish6_TimeLeft,1142.106
PondEnd_LastFish,6
FishN,12
Type,RT
GiveUpTime,2.117
PondTime,61.489
TimeLeft,1140.407
PondOutcome,60
TotalOutcome,60
PondStart,PondStart
PondIntroTime,15.187541248742491
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,0.926
Pond4Fish1_PondTime,8.016
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,70
Pond4Fish1_TimeLeft,1116.574
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,0.728
Pond4Fish2_PondTime,14.382
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,80
Pond4Fish2_TimeLeft,1110.208
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,0.941
Pond4Fish3_PondTime,21.033
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,90
Pond4Fish3_TimeLeft,1103.557
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,0.801
Pond4Fish4_PondTime,28.015
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,100
Pond4Fish4_TimeLeft,1096.575
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,-1
Pond4Fish5_PondTime,35.448
Pond4Fish5_PondOutcome,40
Pond4Fish5_TotalOutcome,100
Pond4Fish5_TimeLeft,1089.142
Type,RT
FishN,17
Fish,6
