,5b5ca33f295c4b0001c294d0
PlayerDetails,5b5ca33f295c4b0001c294d0
GameCompleted,finished
Selected ponds in the game,=======
Pond3_Type,RT
Pond3_#Fishes,13
Pond1_Type,RT
Pond1_#Fishes,16
Pond8_Type,RT
Pond8_#Fishes,19
Pond2_Type,RT
Pond2_#Fishes,17
Pond4_Type,RT
Pond4_#Fishes,14
Pond12_Type,RT
Pond12_#Fishes,13
Pond9_Type,RT
Pond9_#Fishes,12
Pond10_Type,RT
Pond10_#Fishes,12
Pond11_Type,RT
Pond11_#Fishes,17
Pond7_Type,RT
Pond7_#Fishes,13
Pond6_Type,RT
Pond6_#Fishes,14
Pond5_Type,RT
Pond5_#Fishes,12
Pond7_Type,RT
Pond7_#Fishes,14
Pond4_Type,RT
Pond4_#Fishes,14
Pond8_Type,RT
Pond8_#Fishes,13
Pond2_Type,RT
Pond2_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 07:49:15 GMT+0100 (czas środkowoeuropejski standardowy)
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,0.806
Pond3Fish1_PondTime,9.258
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,10
Pond3Fish1_TimeLeft,1193.142
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,0.705
Pond3Fish2_PondTime,17.068
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,20
Pond3Fish2_TimeLeft,1185.331
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,0.881
Pond3Fish3_PondTime,25.43
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,30
Pond3Fish3_TimeLeft,1176.97
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,0.887
Pond3Fish4_PondTime,34.45
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,40
Pond3Fish4_TimeLeft,1167.95
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,golden
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,0.758
Pond3Fish5_PondTime,44.314
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,60
Pond3Fish5_TimeLeft,1158.086
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,0.804
Pond3Fish6_PondTime,55.244
Pond3Fish6_PondOutcome,70
Pond3Fish6_TotalOutcome,70
Pond3Fish6_TimeLeft,1147.156
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,8.571428571428571
Pond3Fish7_CatchTime,0.737
Pond3Fish7_PondTime,67.603
Pond3Fish7_PondOutcome,80
Pond3Fish7_TotalOutcome,80
Pond3Fish7_TimeLeft,1134.797
PondEnd_LastFish,7
FishN,13
Type,RT
GiveUpTime,0.557
PondTime,81.645
TimeLeft,1120.254
PondOutcome,80
TotalOutcome,80
PondStart,PondStart
PondIntroTime,14.216424359474331
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,0.833
Pond1Fish1_PondTime,8.268
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,90
Pond1Fish1_TimeLeft,1097.163
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,0.85
Pond1Fish2_PondTime,14.909
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,100
Pond1Fish2_TimeLeft,1090.522
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,0.92
Pond1Fish3_PondTime,21.885
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,110
Pond1Fish3_TimeLeft,1083.546
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,0.838
Pond1Fish4_PondTime,29.244
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,120
Pond1Fish4_TimeLeft,1076.187
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,0.506
Pond1Fish5_PondTime,37.055
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,130
Pond1Fish5_TimeLeft,1068.376
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,0.821
Pond1Fish6_PondTime,45.416
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,140
Pond1Fish6_TimeLeft,1060.015
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,0.635
Pond1Fish7_PondTime,54.445
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,150
Pond1Fish7_TimeLeft,1050.986
PondEnd_LastFish,7
FishN,16
Type,RT
GiveUpTime,1.414
PondTime,54.692
TimeLeft,1050.238
PondOutcome,70
TotalOutcome,150
PondStart,PondStart
PondIntroTime,14.093873593956232
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,0.75
Pond8Fish1_PondTime,7.6
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,160
Pond8Fish1_TimeLeft,1027.931
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,1.081
Pond8Fish2_PondTime,13.491
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,170
Pond8Fish2_TimeLeft,1022.04
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,0.933
Pond8Fish3_PondTime,19.599
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,180
