,5b97683595c5ba00010ac439
PlayerDetails,5b97683595c5ba00010ac439
GameCompleted,finished
Selected ponds in the game,=======
Pond11_Type,RT
Pond11_#Fishes,18
Pond1_Type,RT
Pond1_#Fishes,12
Pond10_Type,RT
Pond10_#Fishes,18
Pond6_Type,RT
Pond6_#Fishes,18
Pond5_Type,RT
Pond5_#Fishes,18
Pond7_Type,RT
Pond7_#Fishes,15
Pond2_Type,RT
Pond2_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 17:40:22 GMT+1100 (Australian Eastern Daylight Time)
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,1.982
Pond11Fish1_PondTime,8.119
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,10
Pond11Fish1_TimeLeft,1194.278
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,0.941
Pond11Fish2_PondTime,14.237
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,20
Pond11Fish2_TimeLeft,1188.161
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,0.713
Pond11Fish3_PondTime,20.622
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,30
