,5ba88ccbdd59150001381091
PlayerDetails,5ba88ccbdd59150001381091
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,RT
Pond10_#Fishes,16
Pond3_Type,RT
Pond3_#Fishes,18
Pond8_Type,RT
Pond8_#Fishes,18
Pond5_Type,RT
Pond5_#Fishes,16
Pond6_Type,RT
Pond6_#Fishes,12
Pond9_Type,RT
Pond9_#Fishes,19
Pond1_Type,RT
Pond1_#Fishes,13
Pond4_Type,RT
Pond4_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 06:47:28 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,1.269
Pond10Fish1_PondTime,8.281
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,10
Pond10Fish1_TimeLeft,1194.118
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,1.204
Pond10Fish2_PondTime,14.929
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,20
Pond10Fish2_TimeLeft,1187.47
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,4.285714285714286
Pond10Fish3_CatchTime,0.973
Pond10Fish3_PondTime,21.913
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,30
Pond10Fish3_TimeLeft,1180.486
Type,RT
