,5ba8a1d2c16a9c0001497a21
PlayerDetails,5ba8a1d2c16a9c0001497a21
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,RT
Pond7_#Fishes,14
Pond4_Type,RT
Pond4_#Fishes,17
Pond6_Type,RT
Pond6_#Fishes,12
Pond8_Type,RT
Pond8_#Fishes,14
Pond2_Type,RT
Pond2_#Fishes,16
Pond12_Type,RT
Pond12_#Fishes,12
Pond1_Type,RT
Pond1_#Fishes,18
Pond10_Type,RT
Pond10_#Fishes,15
Pond3_Type,RT
Pond3_#Fishes,18
Pond5_Type,RT
Pond5_#Fishes,19
Pond11_Type,RT
Pond11_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 08:26:11 GMT+0100 (Midden-Europese standaardtijd)
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,0.706
Pond7Fish1_PondTime,8.878
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,10
Pond7Fish1_TimeLeft,1193.521
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,0.836
Pond7Fish2_PondTime,16.244
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,20
Pond7Fish2_TimeLeft,1186.155
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,1.529
Pond7Fish3_PondTime,24.062
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,30
Pond7Fish3_TimeLeft,1178.337
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,0.885
Pond7Fish4_PondTime,32.427
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,40
Pond7Fish4_TimeLeft,1169.972
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,1.272
Pond7Fish5_PondTime,41.477
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,50
Pond7Fish5_TimeLeft,1160.922
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,1.237
Pond7Fish6_PondTime,51.343
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,60
Pond7Fish6_TimeLeft,1151.055
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,golden
Pond7Fish7_FishLatency,7.5
Pond7Fish7_CatchTime,0.784
Pond7Fish7_PondTime,62.298
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,80
Pond7Fish7_TimeLeft,1140.101
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,8.571428571428571
Pond7Fish8_CatchTime,0.839
Pond7Fish8_PondTime,74.664
Pond7Fish8_PondOutcome,90
Pond7Fish8_TotalOutcome,90
Pond7Fish8_TimeLeft,1127.735
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,10
Pond7Fish9_CatchTime,0.944
Pond7Fish9_PondTime,89.029
Pond7Fish9_PondOutcome,100
Pond7Fish9_TotalOutcome,100
Pond7Fish9_TimeLeft,1113.37
Type,RT
FishN,16
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,12
Pond7Fish10_CatchTime,1.193
Pond7Fish10_PondTime,106.395
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,110
Pond7Fish10_TimeLeft,1096.004
PondEnd_LastFish,10
FishN,14
Type,RT
GiveUpTime,0.772
PondTime,106.567
TimeLeft,1095.329
PondOutcome,110
TotalOutcome,110
PondStart,PondStart
PondIntroTime,19.36793961795047
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,1.812
Pond4Fish1_PondTime,8.132
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,120
Pond4Fish1_TimeLeft,1067.2
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,0.913
Pond4Fish2_PondTime,14.499
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,130
Pond4Fish2_TimeLeft,1060.833
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,4
