,5bdd094305ed110001ab31d0
PlayerDetails,5bdd094305ed110001ab31d0
GameCompleted,declined
Selected ponds in the game,=======
Pond1_Type,RT
Pond1_#Fishes,12
Pond6_Type,RT
Pond6_#Fishes,18
Pond9_Type,RT
Pond9_#Fishes,13
Pond8_Type,RT
Pond8_#Fishes,13
Pond3_Type,RT
Pond3_#Fishes,18
Pond12_Type,RT
Pond12_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 06:35:23 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,1.086
Pond1Fish1_PondTime,9.777
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,10
Pond1Fish1_TimeLeft,1192.622
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,1.136
Pond1Fish2_PondTime,18.181
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,20
Pond1Fish2_TimeLeft,1184.218
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,golden
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.079
Pond1Fish3_PondTime,27.254
Pond1Fish3_PondOutcome,40
Pond1Fish3_TotalOutcome,40
Pond1Fish3_TimeLeft,1175.145
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,1.324
Pond1Fish4_PondTime,37.178
Pond1Fish4_PondOutcome,50
Pond1Fish4_TotalOutcome,50
Pond1Fish4_TimeLeft,1165.221
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,1.305
Pond1Fish5_PondTime,48.134
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,60
Pond1Fish5_TimeLeft,1154.265
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,1.216
Pond1Fish6_PondTime,60.522
Pond1Fish6_PondOutcome,70
Pond1Fish6_TotalOutcome,70
Pond1Fish6_TimeLeft,1141.877
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,10
Pond1Fish7_CatchTime,1.295
Pond1Fish7_PondTime,74.908
Pond1Fish7_PondOutcome,80
Pond1Fish7_TotalOutcome,80
Pond1Fish7_TimeLeft,1127.491
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,12
Pond1Fish8_CatchTime,1.182
Pond1Fish8_PondTime,92.321
Pond1Fish8_PondOutcome,90
Pond1Fish8_TotalOutcome,90
Pond1Fish8_TimeLeft,1110.078
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,15
Pond1Fish9_CatchTime,1.834
Pond1Fish9_PondTime,114.855
Pond1Fish9_PondOutcome,100
Pond1Fish9_TotalOutcome,100
Pond1Fish9_TimeLeft,1087.544
PondEnd_LastFish,9
FishN,12
Type,RT
GiveUpTime,27.656
PondTime,142.409
TimeLeft,1059.485
PondOutcome,100
TotalOutcome,100
PondStart,PondStart
PondIntroTime,15.827949582599103
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,1.365
Pond6Fish1_PondTime,7.852
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,110
Pond6Fish1_TimeLeft,1035.166
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,1.655
Pond6Fish2_PondTime,14.032
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,120
Pond6Fish2_TimeLeft,1028.986
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,0.99
Pond6Fish3_PondTime,20.427
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,130
Pond6Fish3_TimeLeft,1022.591
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,1.236
Pond6Fish4_PondTime,27.113
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,140
Pond6Fish4_TimeLeft,1015.905
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,-1
Pond6Fish5_PondTime,34.194
Pond6Fish5_PondOutcome,40
Pond6Fish5_TotalOutcome,140
Pond6Fish5_TimeLeft,1008.824
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,golden
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,0.837
Pond6Fish6_PondTime,41.618
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,160
Pond6Fish6_TimeLeft,1001.4
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,0.929
Pond6Fish7_PondTime,49.519
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,170
Pond6Fish7_TimeLeft,993.499
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,1.296
Pond6Fish8_PondTime,57.954
Pond6Fish8_PondOutcome,80
Pond6Fish8_TotalOutcome,180
Pond6Fish8_TimeLeft,985.064
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,1.395
Pond6Fish9_PondTime,67.045
Pond6Fish9_PondOutcome,90
Pond6Fish9_TotalOutcome,190
Pond6Fish9_TimeLeft,975.973
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,golden
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,1.004
Pond6Fish10_PondTime,76.979
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,210
Pond6Fish10_TimeLeft,966.039
Type,RT
FishN,17
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,1.305
Pond6Fish11_PondTime,87.93
Pond6Fish11_PondOutcome,120
Pond6Fish11_TotalOutcome,220
Pond6Fish11_TimeLeft,955.088
Type,RT
FishN,17
Fish,12
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,8.571428571428571
Pond6Fish12_CatchTime,0.952
Pond6Fish12_PondTime,100.35
Pond6Fish12_PondOutcome,130
Pond6Fish12_TotalOutcome,230
Pond6Fish12_TimeLeft,942.667
Type,RT
FishN,17
Fish,13
Pond6Fish13_FishType,purple
Pond6Fish13_FishLatency,10
Pond6Fish13_CatchTime,1.215
Pond6Fish13_PondTime,114.779
Pond6Fish13_PondOutcome,140
Pond6Fish13_TotalOutcome,240
Pond6Fish13_TimeLeft,928.239
Type,RT
FishN,17
Fish,14
Pond6Fish14_FishType,purple
Pond6Fish14_FishLatency,12
Pond6Fish14_CatchTime,1.235
Pond6Fish14_PondTime,132.203
Pond6Fish14_PondOutcome,150
Pond6Fish14_TotalOutcome,250
Pond6Fish14_TimeLeft,910.815
PondEnd_LastFish,14
FishN,18
Type,RT
GiveUpTime,1.721
PondTime,133.354
TimeLeft,909.144
PondOutcome,150
TotalOutcome,250
PondStart,PondStart
PondIntroTime,12.20616586972028
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,-1
Pond9Fish1_PondTime,9.392
Pond9Fish1_PondOutcome,0
Pond9Fish1_TotalOutcome,250
Pond9Fish1_TimeLeft,886.918
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,5
Pond9Fish2_CatchTime,0.992
Pond9Fish2_PondTime,17.284
Pond9Fish2_PondOutcome,10
Pond9Fish2_TotalOutcome,260
Pond9Fish2_TimeLeft,879.026
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,5.454545454545454
Pond9Fish3_CatchTime,1.366
Pond9Fish3_PondTime,25.686
Pond9Fish3_PondOutcome,20
Pond9Fish3_TotalOutcome,270
Pond9Fish3_TimeLeft,870.624
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,6
Pond9Fish4_CatchTime,0.945
Pond9Fish4_PondTime,34.811
Pond9Fish4_PondOutcome,30
Pond9Fish4_TotalOutcome,280
Pond9Fish4_TimeLeft,861.499
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,6.666666666666667
Pond9Fish5_CatchTime,1.167
Pond9Fish5_PondTime,44.791
Pond9Fish5_PondOutcome,40
Pond9Fish5_TotalOutcome,290
Pond9Fish5_TimeLeft,851.519
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,golden
Pond9Fish6_FishLatency,7.5
Pond9Fish6_CatchTime,0.937
Pond9Fish6_PondTime,55.762
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,310
Pond9Fish6_TimeLeft,840.548
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,8.571428571428571
Pond9Fish7_CatchTime,0.938
Pond9Fish7_PondTime,68.13
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,320
Pond9Fish7_TimeLeft,828.18
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,10
Pond9Fish8_CatchTime,1.392
Pond9Fish8_PondTime,82.517
Pond9Fish8_PondOutcome,80
Pond9Fish8_TotalOutcome,330
Pond9Fish8_TimeLeft,813.793
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,12
Pond9Fish9_CatchTime,1.186
Pond9Fish9_PondTime,99.921
Pond9Fish9_PondOutcome,90
Pond9Fish9_TotalOutcome,340
Pond9Fish9_TimeLeft,796.389
Type,RT
FishN,12
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,15
Pond9Fish10_CatchTime,-1
Pond9Fish10_PondTime,122.383
Pond9Fish10_PondOutcome,90
Pond9Fish10_TotalOutcome,340
Pond9Fish10_TimeLeft,773.927
Type,RT
FishN,12
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,20
Pond9Fish11_CatchTime,1.633
Pond9Fish11_PondTime,154.816
Pond9Fish11_PondOutcome,100
Pond9Fish11_TotalOutcome,350
Pond9Fish11_TimeLeft,741.494
PondEnd_LastFish,11
FishN,13
Type,RT
GiveUpTime,0.713
PondTime,155.359
TimeLeft,740.443
PondOutcome,100
TotalOutcome,350
PondStart,PondStart
PondIntroTime,11.31503805750981
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.106
Pond8Fish1_PondTime,9.311
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,360
Pond8Fish1_TimeLeft,719.157
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.039
