,5bdec43c18f1b90001744a56
PlayerDetails,5bdec43c18f1b90001744a56
GameCompleted,declined
Selected ponds in the game,=======
Pond4_Type,RT
Pond4_#Fishes,14
Pond11_Type,RT
Pond11_#Fishes,19
Pond3_Type,RT
Pond3_#Fishes,14
Pond10_Type,RT
Pond10_#Fishes,15
Pond9_Type,RT
Pond9_#Fishes,12
Pond7_Type,RT
Pond7_#Fishes,13
Pond2_Type,RT
Pond2_#Fishes,12
Pond5_Type,RT
Pond5_#Fishes,19
Pond12_Type,RT
Pond12_#Fishes,14
Pond8_Type,RT
Pond8_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 17:16:37 GMT+1100 (Australian Eastern Daylight Time)
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.207
Pond4Fish1_PondTime,8.874
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,10
Pond4Fish1_TimeLeft,1193.525
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,1.208
Pond4Fish2_PondTime,16.24
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,20
Pond4Fish2_TimeLeft,1186.159
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,1.056
Pond4Fish3_PondTime,24.051
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,30
Pond4Fish3_TimeLeft,1178.348
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,1.569
Pond4Fish4_PondTime,32.414
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,40
Pond4Fish4_TimeLeft,1169.985
