,5be72cf025507300010d8872
PlayerDetails,5be72cf025507300010d8872
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,RT
Pond7_#Fishes,16
Pond8_Type,RT
Pond8_#Fishes,16
Pond10_Type,RT
Pond10_#Fishes,16
Pond9_Type,RT
Pond9_#Fishes,14
Pond4_Type,RT
Pond4_#Fishes,15
Pond12_Type,RT
Pond12_#Fishes,13
Pond11_Type,RT
Pond11_#Fishes,18
Pond2_Type,RT
Pond2_#Fishes,13
Pond5_Type,RT
Pond5_#Fishes,17
Pond1_Type,RT
Pond1_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 07:55:29 GMT+0100 (Central European Standard Time)
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,0.922
Pond7Fish1_PondTime,8.275
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,10
Pond7Fish1_TimeLeft,1194.123
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,0.873
