,5c1e0b02cb7ecd0001f49b87
PlayerDetails,5c1e0b02cb7ecd0001f49b87
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,RT
Pond7_#Fishes,13
Pond9_Type,RT
Pond9_#Fishes,14
Pond2_Type,RT
Pond2_#Fishes,16
Pond6_Type,RT
Pond6_#Fishes,14
Pond10_Type,RT
Pond10_#Fishes,15
Pond12_Type,RT
Pond12_#Fishes,17
Pond4_Type,RT
Pond4_#Fishes,15
Pond3_Type,RT
Pond3_#Fishes,18
Pond5_Type,RT
Pond5_#Fishes,12
Pond11_Type,RT
Pond11_#Fishes,14
Pond8_Type,RT
Pond8_#Fishes,15
Pond1_Type,RT
Pond1_#Fishes,18
Pond6_Type,RT
Pond6_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 08:24:26 GMT+0200 (Eastern European Standard Time)
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,1.43
Pond7Fish1_PondTime,9.297
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,10
Pond7Fish1_TimeLeft,1193.1
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,1.223
Pond7Fish2_PondTime,17.114
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,20
Pond7Fish2_TimeLeft,1185.284
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,5.454545454545454
Pond7Fish3_CatchTime,0.838
Pond7Fish3_PondTime,25.482
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,30
Pond7Fish3_TimeLeft,1176.916
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,golden
Pond7Fish4_FishLatency,6
Pond7Fish4_CatchTime,0.862
Pond7Fish4_PondTime,34.512
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,50
Pond7Fish4_TimeLeft,1167.885
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,6.666666666666667
Pond7Fish5_CatchTime,1.317
Pond7Fish5_PondTime,44.386
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,60
Pond7Fish5_TimeLeft,1158.012
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,7.5
Pond7Fish6_CatchTime,1.436
Pond7Fish6_PondTime,55.348
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,70
Pond7Fish6_TimeLeft,1147.05
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,8.571428571428571
Pond7Fish7_CatchTime,1.279
Pond7Fish7_PondTime,67.716
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,80
Pond7Fish7_TimeLeft,1134.681
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,10
Pond7Fish8_CatchTime,1.229
Pond7Fish8_PondTime,82.079
Pond7Fish8_PondOutcome,90
Pond7Fish8_TotalOutcome,90
Pond7Fish8_TimeLeft,1120.319
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,12
Pond7Fish9_CatchTime,1.007
Pond7Fish9_PondTime,99.462
Pond7Fish9_PondOutcome,100
Pond7Fish9_TotalOutcome,100
Pond7Fish9_TimeLeft,1102.936
PondEnd_LastFish,9
FishN,13
Type,RT
GiveUpTime,20.515
PondTime,119.191
TimeLeft,1082.696
PondOutcome,100
TotalOutcome,100
PondStart,PondStart
PondIntroTime,11.879944875836372
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,-1
Pond9Fish1_PondTime,8.963
Pond9Fish1_PondOutcome,0
Pond9Fish1_TotalOutcome,100
Pond9Fish1_TimeLeft,1061.187
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,0.946
Pond9Fish2_PondTime,16.349
Pond9Fish2_PondOutcome,10
Pond9Fish2_TotalOutcome,110
Pond9Fish2_TimeLeft,1053.801
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,0.888
Pond9Fish3_PondTime,24.166
Pond9Fish3_PondOutcome,20
Pond9Fish3_TotalOutcome,120
Pond9Fish3_TimeLeft,1045.985
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,0.748
Pond9Fish4_PondTime,32.524
Pond9Fish4_PondOutcome,30
Pond9Fish4_TotalOutcome,130
Pond9Fish4_TimeLeft,1037.627
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,6
Pond9Fish5_CatchTime,0.716
Pond9Fish5_PondTime,41.549
Pond9Fish5_PondOutcome,40
Pond9Fish5_TotalOutcome,140
Pond9Fish5_TimeLeft,1028.602
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,6.666666666666667
Pond9Fish6_CatchTime,1.855
Pond9Fish6_PondTime,51.575
Pond9Fish6_PondOutcome,50
Pond9Fish6_TotalOutcome,150
Pond9Fish6_TimeLeft,1018.576
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,golden
Pond9Fish7_FishLatency,7.5
Pond9Fish7_CatchTime,0.859
Pond9Fish7_PondTime,62.508
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,170
Pond9Fish7_TimeLeft,1007.643
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,8.571428571428571
Pond9Fish8_CatchTime,1.054
Pond9Fish8_PondTime,74.865
Pond9Fish8_PondOutcome,80
Pond9Fish8_TotalOutcome,180
Pond9Fish8_TimeLeft,995.286
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,10
Pond9Fish9_CatchTime,1.104
Pond9Fish9_PondTime,89.226
Pond9Fish9_PondOutcome,90
Pond9Fish9_TotalOutcome,190
Pond9Fish9_TimeLeft,980.925
Type,RT
FishN,12
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,12
Pond9Fish10_CatchTime,0.967
Pond9Fish10_PondTime,106.585
Pond9Fish10_PondOutcome,100
Pond9Fish10_TotalOutcome,200
Pond9Fish10_TimeLeft,963.566
PondEnd_LastFish,10
FishN,14
Type,RT
GiveUpTime,14.051
PondTime,119.818
TimeLeft,949.826
PondOutcome,100
TotalOutcome,200
PondStart,PondStart
PondIntroTime,10.148914479650557
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,0.78
Pond2Fish1_PondTime,8.271
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,210
Pond2Fish1_TimeLeft,930.724
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,1.336
Pond2Fish2_PondTime,14.932
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,220
Pond2Fish2_TimeLeft,924.063
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,0.875
Pond2Fish3_PondTime,21.905
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,230
Pond2Fish3_TimeLeft,917.09
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,0.893
Pond2Fish4_PondTime,29.263
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,240
Pond2Fish4_TimeLeft,909.732
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,golden
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,0.887
Pond2Fish5_PondTime,37.076
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,260
Pond2Fish5_TimeLeft,901.919
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,1.071
Pond2Fish6_PondTime,45.435
Pond2Fish6_PondOutcome,70
Pond2Fish6_TotalOutcome,270
Pond2Fish6_TimeLeft,893.56
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,0.978
Pond2Fish7_PondTime,54.458
Pond2Fish7_PondOutcome,80
Pond2Fish7_TotalOutcome,280
Pond2Fish7_TimeLeft,884.536
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,1.016
Pond2Fish8_PondTime,64.316
Pond2Fish8_PondOutcome,90
Pond2Fish8_TotalOutcome,290
Pond2Fish8_TimeLeft,874.679
PondEnd_LastFish,8
FishN,16
Type,RT
GiveUpTime,9.784
PondTime,73.316
TimeLeft,865.171
PondOutcome,90
TotalOutcome,290
PondStart,PondStart
PondIntroTime,18.918096967972815
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.155
Pond6Fish1_PondTime,8.885
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,300
Pond6Fish1_TimeLeft,836.713
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,1.091
Pond6Fish2_PondTime,16.244
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,310
Pond6Fish2_TimeLeft,829.354
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,0.838
Pond6Fish3_PondTime,24.056
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,320
Pond6Fish3_TimeLeft,821.542
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,0.867
Pond6Fish4_PondTime,32.414
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,330
Pond6Fish4_TimeLeft,813.183
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,1.337
Pond6Fish5_PondTime,41.474
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,340
Pond6Fish5_TimeLeft,804.124
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,0.987
Pond6Fish6_PondTime,51.331
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,350
Pond6Fish6_TimeLeft,794.266
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,7.5
Pond6Fish7_CatchTime,0.763
Pond6Fish7_PondTime,62.261
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,360
Pond6Fish7_TimeLeft,783.337
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,8.571428571428571
Pond6Fish8_CatchTime,0.948
Pond6Fish8_PondTime,74.622
Pond6Fish8_PondOutcome,80
Pond6Fish8_TotalOutcome,370
Pond6Fish8_TimeLeft,770.976
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,10
Pond6Fish9_CatchTime,1.262
Pond6Fish9_PondTime,88.979
Pond6Fish9_PondOutcome,90
Pond6Fish9_TotalOutcome,380
Pond6Fish9_TimeLeft,756.618
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,12
Pond6Fish10_CatchTime,1.056
Pond6Fish10_PondTime,106.336
Pond6Fish10_PondOutcome,100
Pond6Fish10_TotalOutcome,390
Pond6Fish10_TimeLeft,739.262
Type,RT
FishN,17
Fish,11
Pond6Fish11_FishType,golden
Pond6Fish11_FishLatency,15
Pond6Fish11_CatchTime,0.963
Pond6Fish11_PondTime,128.694
Pond6Fish11_PondOutcome,120
Pond6Fish11_TotalOutcome,410
Pond6Fish11_TimeLeft,716.904
PondEnd_LastFish,11
FishN,14
Type,RT
GiveUpTime,17.133
PondTime,144.993
TimeLeft,700.1
PondOutcome,120
TotalOutcome,410
PondStart,PondStart
PondIntroTime,12.254100705031306
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,0.888
Pond10Fish1_PondTime,8.574
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,420
Pond10Fish1_TimeLeft,678.6
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,1.046
Pond10Fish2_PondTime,15.548
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,430
Pond10Fish2_TimeLeft,671.626
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,golden
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,0.55
Pond10Fish3_PondTime,22.906
Pond10Fish3_PondOutcome,40
Pond10Fish3_TotalOutcome,450
Pond10Fish3_TimeLeft,664.268
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,1.21
Pond10Fish4_PondTime,30.719
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,460
Pond10Fish4_TimeLeft,656.455
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,0.872
Pond10Fish5_PondTime,39.105
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,470
Pond10Fish5_TimeLeft,648.069
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,6
Pond10Fish6_CatchTime,0.839
Pond10Fish6_PondTime,48.128
Pond10Fish6_PondOutcome,70
Pond10Fish6_TotalOutcome,480
Pond10Fish6_TimeLeft,639.045
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,6.666666666666667
Pond10Fish7_CatchTime,1.006
Pond10Fish7_PondTime,57.987
Pond10Fish7_PondOutcome,80
Pond10Fish7_TotalOutcome,490
Pond10Fish7_TimeLeft,629.187
PondEnd_LastFish,7
FishN,15
Type,RT
GiveUpTime,9.687
PondTime,66.889
TimeLeft,619.78
PondOutcome,80
TotalOutcome,490
PondStart,PondStart
PondIntroTime,16.084763577673584
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,0.752
Pond12Fish1_PondTime,8.019
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,500
Pond12Fish1_TimeLeft,595.015
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,3.75
Pond12Fish2_CatchTime,0.796
Pond12Fish2_PondTime,14.377
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,510
Pond12Fish2_TimeLeft,588.657
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4
Pond12Fish3_CatchTime,1.011
Pond12Fish3_PondTime,21.02
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,520
Pond12Fish3_TimeLeft,582.014
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4.285714285714286
Pond12Fish4_CatchTime,0.798
Pond12Fish4_PondTime,28.007
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,530
Pond12Fish4_TimeLeft,575.027
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,golden
Pond12Fish5_FishLatency,4.615384615384615
Pond12Fish5_CatchTime,0.705
Pond12Fish5_PondTime,35.364
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,550
Pond12Fish5_TimeLeft,567.67
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,5
Pond12Fish6_CatchTime,1.013
Pond12Fish6_PondTime,43.176
