,5c31dbed0091e40001cc3ef9
PlayerDetails,5c31dbed0091e40001cc3ef9
GameCompleted,finished
Selected ponds in the game,=======
Pond2_Type,RT
Pond2_#Fishes,12
Pond9_Type,RT
Pond9_#Fishes,19
Pond3_Type,RT
Pond3_#Fishes,12
Pond8_Type,RT
Pond8_#Fishes,18
Pond10_Type,RT
Pond10_#Fishes,12
Pond7_Type,RT
Pond7_#Fishes,18
Pond1_Type,RT
Pond1_#Fishes,14
Pond11_Type,RT
Pond11_#Fishes,13
Pond6_Type,RT
Pond6_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 14:44:31 GMT+0800 (Australian Western Standard Time)
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,golden
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,0.903
Pond2Fish1_PondTime,9.729
Pond2Fish1_PondOutcome,20
Pond2Fish1_TotalOutcome,20
Pond2Fish1_TimeLeft,1192.667
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,0.826
Pond2Fish2_PondTime,18.088
Pond2Fish2_PondOutcome,30
Pond2Fish2_TotalOutcome,30
Pond2Fish2_TimeLeft,1184.309
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,1.351
Pond2Fish3_PondTime,27.127
Pond2Fish3_PondOutcome,40
Pond2Fish3_TotalOutcome,40
Pond2Fish3_TimeLeft,1175.27
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,1.069
Pond2Fish4_PondTime,37.003
Pond2Fish4_PondOutcome,50
Pond2Fish4_TotalOutcome,50
Pond2Fish4_TimeLeft,1165.394
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,1.44
Pond2Fish5_PondTime,47.942
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,60
Pond2Fish5_TimeLeft,1154.455
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,8.571428571428571
Pond2Fish6_CatchTime,1.333
Pond2Fish6_PondTime,60.314
Pond2Fish6_PondOutcome,70
Pond2Fish6_TotalOutcome,70
Pond2Fish6_TimeLeft,1142.082
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,10
Pond2Fish7_CatchTime,1.002
Pond2Fish7_PondTime,74.684
Pond2Fish7_PondOutcome,80
Pond2Fish7_TotalOutcome,80
Pond2Fish7_TimeLeft,1127.713
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,12
Pond2Fish8_CatchTime,1.324
Pond2Fish8_PondTime,92.05
Pond2Fish8_PondOutcome,90
Pond2Fish8_TotalOutcome,90
Pond2Fish8_TimeLeft,1110.347
PondEnd_LastFish,8
FishN,12
Type,RT
GiveUpTime,13.19
PondTime,104.769
TimeLeft,1097.123
PondOutcome,90
TotalOutcome,90
PondStart,PondStart
PondIntroTime,14.373799066524953
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,-1
Pond9Fish1_PondTime,7.675
Pond9Fish1_PondOutcome,0
Pond9Fish1_TotalOutcome,90
Pond9Fish1_TimeLeft,1074.434
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,0.802
Pond9Fish2_PondTime,13.574
Pond9Fish2_PondOutcome,10
Pond9Fish2_TotalOutcome,100
Pond9Fish2_TimeLeft,1068.535
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.528
Pond9Fish3_PondTime,19.69
Pond9Fish3_PondOutcome,20
Pond9Fish3_TotalOutcome,110
Pond9Fish3_TimeLeft,1062.418
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,0.673
Pond9Fish4_PondTime,26.061
Pond9Fish4_PondOutcome,30
Pond9Fish4_TotalOutcome,120
Pond9Fish4_TimeLeft,1056.047
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.012
Pond9Fish5_PondTime,32.706
Pond9Fish5_PondOutcome,40
Pond9Fish5_TotalOutcome,130
Pond9Fish5_TimeLeft,1049.403
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,0.849
Pond9Fish6_PondTime,39.682
Pond9Fish6_PondOutcome,50
Pond9Fish6_TotalOutcome,140
Pond9Fish6_TimeLeft,1042.427
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,0.922
Pond9Fish7_PondTime,47.044
Pond9Fish7_PondOutcome,60
Pond9Fish7_TotalOutcome,150
Pond9Fish7_TimeLeft,1035.064
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,0.919
Pond9Fish8_PondTime,54.868
Pond9Fish8_PondOutcome,70
Pond9Fish8_TotalOutcome,160
Pond9Fish8_TimeLeft,1027.241
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.126
Pond9Fish9_PondTime,63.244
Pond9Fish9_PondOutcome,80
Pond9Fish9_TotalOutcome,170
Pond9Fish9_TimeLeft,1018.864
Type,RT
FishN,12
Fish,10
Pond9Fish10_FishType,golden
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,1.062
Pond9Fish10_PondTime,72.269
Pond9Fish10_PondOutcome,100
Pond9Fish10_TotalOutcome,190
Pond9Fish10_TimeLeft,1009.84
Type,RT
FishN,12
Fish,11
Pond9Fish11_FishType,golden
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,0.747
Pond9Fish11_PondTime,82.144
Pond9Fish11_PondOutcome,120
Pond9Fish11_TotalOutcome,210
Pond9Fish11_TimeLeft,999.965
Type,RT
FishN,12
Fish,12
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,1.096
Pond9Fish12_PondTime,93.082
Pond9Fish12_PondOutcome,130
Pond9Fish12_TotalOutcome,220
Pond9Fish12_TimeLeft,989.026
Type,RT
FishN,12
Fish,13
Pond9Fish13_FishType,purple
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,1.036
Pond9Fish13_PondTime,105.458
Pond9Fish13_PondOutcome,140
Pond9Fish13_TotalOutcome,230
Pond9Fish13_TimeLeft,976.651
Type,RT
FishN,12
Fish,14
Pond9Fish14_FishType,purple
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,0.809
Pond9Fish14_PondTime,119.825
Pond9Fish14_PondOutcome,150
Pond9Fish14_TotalOutcome,240
Pond9Fish14_TimeLeft,962.284
PondEnd_LastFish,14
FishN,19
Type,RT
GiveUpTime,14.708
PondTime,133.546
TimeLeft,948.059
PondOutcome,150
TotalOutcome,240
PondStart,PondStart
PondIntroTime,16.65888526942581
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,0.941
Pond3Fish1_PondTime,9.726
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,250
Pond3Fish1_TimeLeft,921.024
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,0.972
Pond3Fish2_PondTime,18.087
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,260
Pond3Fish2_TimeLeft,912.662
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.617
Pond3Fish3_PondTime,27.131
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,270
Pond3Fish3_TimeLeft,903.618
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,1.978
Pond3Fish4_PondTime,37.284
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,280
Pond3Fish4_TimeLeft,893.466
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,1.139
Pond3Fish5_PondTime,48.225
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,290
Pond3Fish5_TimeLeft,882.524
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,0.983
Pond3Fish6_PondTime,60.596
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,300
Pond3Fish6_TimeLeft,870.154
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,10
Pond3Fish7_CatchTime,0.936
Pond3Fish7_PondTime,74.965
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,310
Pond3Fish7_TimeLeft,855.785
PondEnd_LastFish,7
FishN,12
Type,RT
GiveUpTime,16.219
PondTime,90.333
