,5c667cd68f100a000107d95f
PlayerDetails,5c667cd68f100a000107d95f
GameCompleted,finished
Selected ponds in the game,=======
Pond8_Type,RT
Pond8_#Fishes,17
Pond4_Type,RT
Pond4_#Fishes,18
Pond12_Type,RT
Pond12_#Fishes,16
Pond1_Type,RT
Pond1_#Fishes,15
Pond7_Type,RT
Pond7_#Fishes,17
Pond3_Type,RT
Pond3_#Fishes,16
Pond5_Type,RT
Pond5_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 07:16:56 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.5294117647058822
Pond8Fish1_CatchTime,1.432
Pond8Fish1_PondTime,8.032
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,10
Pond8Fish1_TimeLeft,1194.367
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.75
Pond8Fish2_CatchTime,1.162
Pond8Fish2_PondTime,14.399
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,20
Pond8Fish2_TimeLeft,1188
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4
Pond8Fish3_CatchTime,1.055
Pond8Fish3_PondTime,21.051
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,30
Pond8Fish3_TimeLeft,1181.348
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,4.285714285714286
Pond8Fish4_CatchTime,1.025
Pond8Fish4_PondTime,28.032
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,40
Pond8Fish4_TimeLeft,1174.367
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,4.615384615384615
Pond8Fish5_CatchTime,1.863
Pond8Fish5_PondTime,35.567
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,50
Pond8Fish5_TimeLeft,1166.832
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,5
Pond8Fish6_CatchTime,1.181
Pond8Fish6_PondTime,43.389
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,60
Pond8Fish6_TimeLeft,1159.01
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,5.454545454545454
Pond8Fish7_CatchTime,1.174
Pond8Fish7_PondTime,51.756
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,70
Pond8Fish7_TimeLeft,1150.643
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,6
Pond8Fish8_CatchTime,1.683
Pond8Fish8_PondTime,60.79
Pond8Fish8_PondOutcome,80
Pond8Fish8_TotalOutcome,80
Pond8Fish8_TimeLeft,1141.609
Type,RT
FishN,13
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,6.666666666666667
Pond8Fish9_CatchTime,1.156
Pond8Fish9_PondTime,70.64
Pond8Fish9_PondOutcome,90
Pond8Fish9_TotalOutcome,90
Pond8Fish9_TimeLeft,1131.759
Type,RT
FishN,13
Fish,10
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,7.5
Pond8Fish10_CatchTime,1.305
Pond8Fish10_PondTime,81.578
Pond8Fish10_PondOutcome,100
Pond8Fish10_TotalOutcome,100
Pond8Fish10_TimeLeft,1120.821
Type,RT
FishN,13
Fish,11
Pond8Fish11_FishType,purple
Pond8Fish11_FishLatency,8.571428571428571
Pond8Fish11_CatchTime,1.143
Pond8Fish11_PondTime,93.944
Pond8Fish11_PondOutcome,110
Pond8Fish11_TotalOutcome,110
Pond8Fish11_TimeLeft,1108.455
Type,RT
FishN,13
Fish,12
Pond8Fish12_FishType,purple
Pond8Fish12_FishLatency,10
Pond8Fish12_CatchTime,1.116
Pond8Fish12_PondTime,108.311
Pond8Fish12_PondOutcome,120
Pond8Fish12_TotalOutcome,120
Pond8Fish12_TimeLeft,1094.088
Type,RT
FishN,13
Fish,13
Pond8Fish13_FishType,golden
Pond8Fish13_FishLatency,12
Pond8Fish13_CatchTime,1.299
Pond8Fish13_PondTime,125.677
Pond8Fish13_PondOutcome,140
Pond8Fish13_TotalOutcome,140
Pond8Fish13_TimeLeft,1076.722
Type,RT
FishN,13
Fish,14
Pond8Fish14_FishType,purple
Pond8Fish14_FishLatency,15
Pond8Fish14_CatchTime,1.195
Pond8Fish14_PondTime,148.043
Pond8Fish14_PondOutcome,150
Pond8Fish14_TotalOutcome,150
Pond8Fish14_TimeLeft,1054.355
Type,RT
FishN,13
Fish,15
Pond8Fish15_FishType,golden
Pond8Fish15_FishLatency,20
Pond8Fish15_CatchTime,1.496
Pond8Fish15_PondTime,180.409
Pond8Fish15_PondOutcome,170
Pond8Fish15_TotalOutcome,170
Pond8Fish15_TimeLeft,1021.99
PondEnd_LastFish,15
FishN,17
Type,RT
GiveUpTime,2.014
PondTime,182.126
TimeLeft,1019.771
PondOutcome,170
TotalOutcome,170
PondStart,PondStart
PondIntroTime,19.26132306922227
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.3333333333333335
Pond4Fish1_CatchTime,-1
Pond4Fish1_PondTime,7.871
Pond4Fish1_PondOutcome,0
Pond4Fish1_TotalOutcome,170
Pond4Fish1_TimeLeft,992.006
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,3.5294117647058822
Pond4Fish2_CatchTime,1.128
Pond4Fish2_PondTime,13.987
Pond4Fish2_PondOutcome,10
Pond4Fish2_TotalOutcome,180
Pond4Fish2_TimeLeft,985.89
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,3.75
Pond4Fish3_CatchTime,1.198
Pond4Fish3_PondTime,20.354
Pond4Fish3_PondOutcome,20
Pond4Fish3_TotalOutcome,190
Pond4Fish3_TimeLeft,979.523
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,4
Pond4Fish4_CatchTime,1.171
Pond4Fish4_PondTime,27.005
Pond4Fish4_PondOutcome,30
Pond4Fish4_TotalOutcome,200
Pond4Fish4_TimeLeft,972.872
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,4.285714285714286
Pond4Fish5_CatchTime,1.237
Pond4Fish5_PondTime,33.987
Pond4Fish5_PondOutcome,40
Pond4Fish5_TotalOutcome,210
Pond4Fish5_TimeLeft,965.89
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,4.615384615384615
Pond4Fish6_CatchTime,1.206
Pond4Fish6_PondTime,41.354
Pond4Fish6_PondOutcome,50
Pond4Fish6_TotalOutcome,220
Pond4Fish6_TimeLeft,958.523
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,5
Pond4Fish7_CatchTime,1.209
Pond4Fish7_PondTime,49.174
Pond4Fish7_PondOutcome,60
Pond4Fish7_TotalOutcome,230
Pond4Fish7_TimeLeft,950.703
Type,RT
FishN,17
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,5.454545454545454
Pond4Fish8_CatchTime,1.145
Pond4Fish8_PondTime,57.54
Pond4Fish8_PondOutcome,70
Pond4Fish8_TotalOutcome,240
Pond4Fish8_TimeLeft,942.337
Type,RT
FishN,17
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,6
Pond4Fish9_CatchTime,1.284
Pond4Fish9_PondTime,66.572
Pond4Fish9_PondOutcome,80
Pond4Fish9_TotalOutcome,250
Pond4Fish9_TimeLeft,933.305
Type,RT
FishN,17
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,6.666666666666667
Pond4Fish10_CatchTime,1.282
Pond4Fish10_PondTime,76.439
Pond4Fish10_PondOutcome,90
Pond4Fish10_TotalOutcome,260
