,5c66cc2942faef00012849c7
PlayerDetails,5c66cc2942faef00012849c7
GameCompleted,declined
Selected ponds in the game,=======
Pond1_Type,RT
Pond1_#Fishes,15
Pond6_Type,RT
Pond6_#Fishes,17
Pond12_Type,RT
Pond12_#Fishes,13
Pond10_Type,RT
Pond10_#Fishes,17
Pond4_Type,RT
Pond4_#Fishes,16
Pond5_Type,RT
Pond5_#Fishes,19
Pond3_Type,RT
Pond3_#Fishes,18
Pond7_Type,RT
Pond7_#Fishes,18
Pond11_Type,RT
Pond11_#Fishes,16
Pond2_Type,RT
Pond2_#Fishes,16
Pond9_Type,RT
Pond9_#Fishes,18
Pond8_Type,RT
Pond8_#Fishes,15
Pond11_Type,RT
Pond11_#Fishes,13
Pond5_Type,RT
Pond5_#Fishes,16
Pond10_Type,RT
Pond10_#Fishes,12
Pond4_Type,RT
Pond4_#Fishes,19
Pond6_Type,RT
Pond6_#Fishes,13
Pond8_Type,RT
Pond8_#Fishes,14
Pond12_Type,RT
Pond12_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 08:50:44 GMT+0200 (Χειμερινή ώρα Ανατολικής Ευρώπης)
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,golden
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,0.979
Pond1Fish1_PondTime,8.546
Pond1Fish1_PondOutcome,20
Pond1Fish1_TotalOutcome,20
Pond1Fish1_TimeLeft,1193.852
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,0.759
Pond1Fish2_PondTime,15.527
Pond1Fish2_PondOutcome,30
Pond1Fish2_TotalOutcome,30
Pond1Fish2_TimeLeft,1186.872
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,1.508
Pond1Fish3_PondTime,22.89
Pond1Fish3_PondOutcome,40
Pond1Fish3_TotalOutcome,40
Pond1Fish3_TimeLeft,1179.509
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,golden
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,0.974
Pond1Fish4_PondTime,30.703
Pond1Fish4_PondOutcome,60
Pond1Fish4_TotalOutcome,60
Pond1Fish4_TimeLeft,1171.696
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,5.454545454545454
Pond1Fish5_CatchTime,1.886
Pond1Fish5_PondTime,39.267
Pond1Fish5_PondOutcome,70
Pond1Fish5_TotalOutcome,70
Pond1Fish5_TimeLeft,1163.132
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,6
Pond1Fish6_CatchTime,1.321
Pond1Fish6_PondTime,48.299
Pond1Fish6_PondOutcome,80
Pond1Fish6_TotalOutcome,80
Pond1Fish6_TimeLeft,1154.099
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6.666666666666667
Pond1Fish7_CatchTime,1.609
Pond1Fish7_PondTime,58.164
Pond1Fish7_PondOutcome,90
Pond1Fish7_TotalOutcome,90
Pond1Fish7_TimeLeft,1144.235
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,golden
Pond1Fish8_FishLatency,7.5
Pond1Fish8_CatchTime,1.621
Pond1Fish8_PondTime,69.095
Pond1Fish8_PondOutcome,110
Pond1Fish8_TotalOutcome,110
Pond1Fish8_TimeLeft,1133.304
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,8.571428571428571
Pond1Fish9_CatchTime,0.7
Pond1Fish9_PondTime,81.457
Pond1Fish9_PondOutcome,120
Pond1Fish9_TotalOutcome,120
Pond1Fish9_TimeLeft,1120.942
Type,RT
FishN,13
Fish,10
