,5c9d28816b36c400013cc430
PlayerDetails,5c9d28816b36c400013cc430
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,RT
Pond10_#Fishes,18
Pond7_Type,RT
Pond7_#Fishes,18
Pond3_Type,RT
Pond3_#Fishes,13
Pond11_Type,RT
Pond11_#Fishes,16
Pond9_Type,RT
Pond9_#Fishes,18
Pond12_Type,RT
Pond12_#Fishes,16
Pond2_Type,RT
Pond2_#Fishes,13
Pond6_Type,RT
Pond6_#Fishes,17
Pond8_Type,RT
Pond8_#Fishes,14
Pond1_Type,RT
Pond1_#Fishes,12
Pond5_Type,RT
Pond5_#Fishes,16
Pond4_Type,RT
Pond4_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 00:29:47 GMT-0600 (Central Standard Time)
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.3333333333333335
Pond10Fish1_CatchTime,1.45
Pond10Fish1_PondTime,7.824
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,10
Pond10Fish1_TimeLeft,1194.574
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,3.5294117647058822
Pond10Fish2_CatchTime,1.334
Pond10Fish2_PondTime,13.966
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,20
Pond10Fish2_TimeLeft,1188.432
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,3.75
Pond10Fish3_CatchTime,1.236
Pond10Fish3_PondTime,20.373
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,30
Pond10Fish3_TimeLeft,1182.025
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,4
Pond10Fish4_CatchTime,1.149
Pond10Fish4_PondTime,27.069
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,40
Pond10Fish4_TimeLeft,1175.329
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,4.285714285714286
Pond10Fish5_CatchTime,1.255
Pond10Fish5_PondTime,34.085
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,50
Pond10Fish5_TimeLeft,1168.313
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,4.615384615384615
Pond10Fish6_CatchTime,1.157
Pond10Fish6_PondTime,41.483
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,60
Pond10Fish6_TimeLeft,1160.915
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,5
Pond10Fish7_CatchTime,1.188
Pond10Fish7_PondTime,49.321
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,70
Pond10Fish7_TimeLeft,1153.077
PondEnd_LastFish,7
FishN,18
Type,RT
GiveUpTime,1.55
PondTime,50.27
TimeLeft,1151.624
PondOutcome,70
TotalOutcome,70
PondStart,PondStart
PondIntroTime,17.58844055235386
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,1.247
Pond7Fish1_PondTime,7.838
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,80
Pond7Fish1_TimeLeft,1125.558
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,1.253
Pond7Fish2_PondTime,13.989
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,90
Pond7Fish2_TimeLeft,1119.407
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,1.176
Pond7Fish3_PondTime,20.37
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,100
Pond7Fish3_TimeLeft,1113.026
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,1.156
Pond7Fish4_PondTime,27.052
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,110
Pond7Fish4_TimeLeft,1106.344
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,1.226
Pond7Fish5_PondTime,34.05
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,120
Pond7Fish5_TimeLeft,1099.346
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,0.973
Pond7Fish6_PondTime,41.449
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,130
Pond7Fish6_TimeLeft,1091.947
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5
Pond7Fish7_CatchTime,1.613
Pond7Fish7_PondTime,49.289
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,140
Pond7Fish7_TimeLeft,1084.107
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,5.454545454545454
Pond7Fish8_CatchTime,1.074
Pond7Fish8_PondTime,57.678
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,150
Pond7Fish8_TimeLeft,1075.718
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,6
Pond7Fish9_CatchTime,1.246
Pond7Fish9_PondTime,66.732
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,160
Pond7Fish9_TimeLeft,1066.664
PondEnd_LastFish,9
FishN,18
Type,RT
GiveUpTime,1.019
PondTime,67.199
TimeLeft,1065.694
PondOutcome,90
TotalOutcome,160
PondStart,PondStart
PondIntroTime,11.74799210159108
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,1.134
Pond3Fish1_PondTime,9.329
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,170
Pond3Fish1_TimeLeft,1043.988
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,1.014
Pond3Fish2_PondTime,17.209
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,180
Pond3Fish2_TimeLeft,1036.108
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,1.027
Pond3Fish3_PondTime,25.629
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,190
Pond3Fish3_TimeLeft,1027.688
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,1.316
Pond3Fish4_PondTime,34.719
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,200
Pond3Fish4_TimeLeft,1018.598
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,1.438
Pond3Fish5_PondTime,44.594
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,210
Pond3Fish5_TimeLeft,1008.723
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,0.987
Pond3Fish6_PondTime,55.57
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,220
Pond3Fish6_TimeLeft,997.747
PondEnd_LastFish,6
FishN,13
Type,RT
GiveUpTime,0.893
PondTime,55.661
TimeLeft,997.151
PondOutcome,60
TotalOutcome,220
PondStart,PondStart
PondIntroTime,16.077969113830477
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,0.973
Pond11Fish1_PondTime,8.31
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,230
Pond11Fish1_TimeLeft,972.158
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,1.127
Pond11Fish2_PondTime,15.01
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,240
Pond11Fish2_TimeLeft,965.458
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,1.883
Pond11Fish3_PondTime,22.229
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,250
Pond11Fish3_TimeLeft,958.239
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,1.039
Pond11Fish4_PondTime,29.66
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,260
Pond11Fish4_TimeLeft,950.808
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,0.942
Pond11Fish5_PondTime,37.54
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,270
Pond11Fish5_TimeLeft,942.927
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,1.191
Pond11Fish6_PondTime,45.949
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,280
Pond11Fish6_TimeLeft,934.519
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,1.298
Pond11Fish7_PondTime,55.039
Pond11Fish7_PondOutcome,70
Pond11Fish7_TotalOutcome,290
Pond11Fish7_TimeLeft,925.429
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,golden
Pond11Fish8_FishLatency,6.666666666666667
Pond11Fish8_CatchTime,1.068
Pond11Fish8_PondTime,64.969
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,310
Pond11Fish8_TimeLeft,915.499
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,7.5
Pond11Fish9_CatchTime,1.266
Pond11Fish9_PondTime,75.959
Pond11Fish9_PondOutcome,100
Pond11Fish9_TotalOutcome,320
Pond11Fish9_TimeLeft,904.509
Type,RT
FishN,15
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,8.571428571428571
Pond11Fish10_CatchTime,1.229
Pond11Fish10_PondTime,88.349
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,330
Pond11Fish10_TimeLeft,892.119
PondEnd_LastFish,10
FishN,16
Type,RT
GiveUpTime,0.975
PondTime,88.751
TimeLeft,891.212
PondOutcome,110
TotalOutcome,330
PondStart,PondStart
PondIntroTime,13.034827169030905
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,1.494
Pond9Fish1_PondTime,7.838
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,340
Pond9Fish1_TimeLeft,869.722
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,1.86
Pond9Fish2_PondTime,14.153
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,350
Pond9Fish2_TimeLeft,863.407
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.75
Pond9Fish3_CatchTime,1.661
Pond9Fish3_PondTime,20.573
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,360
Pond9Fish3_TimeLeft,856.987
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,4
Pond9Fish4_CatchTime,1.137
Pond9Fish4_PondTime,27.288
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,370
Pond9Fish4_TimeLeft,850.272
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4.285714285714286
Pond9Fish5_CatchTime,1.196
Pond9Fish5_PondTime,34.333
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,380
Pond9Fish5_TimeLeft,843.227
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,4.615384615384615
Pond9Fish6_CatchTime,1.274
Pond9Fish6_PondTime,41.783
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,390
Pond9Fish6_TimeLeft,835.777
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,golden
Pond9Fish7_FishLatency,5
Pond9Fish7_CatchTime,0.932
Pond9Fish7_PondTime,49.653
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,410
Pond9Fish7_TimeLeft,827.907
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,5.454545454545454
Pond9Fish8_CatchTime,1.284
Pond9Fish8_PondTime,58.103
Pond9Fish8_PondOutcome,90
Pond9Fish8_TotalOutcome,420
Pond9Fish8_TimeLeft,819.456
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,6
Pond9Fish9_CatchTime,1.292
Pond9Fish9_PondTime,67.184
Pond9Fish9_PondOutcome,100
Pond9Fish9_TotalOutcome,430
Pond9Fish9_TimeLeft,810.376
Type,RT
FishN,12
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,6.666666666666667
Pond9Fish10_CatchTime,1.42
Pond9Fish10_PondTime,77.114
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,440
Pond9Fish10_TimeLeft,800.446
Type,RT
FishN,12
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,7.5
Pond9Fish11_CatchTime,1.413
Pond9Fish11_PondTime,88.088
Pond9Fish11_PondOutcome,120
Pond9Fish11_TotalOutcome,450
Pond9Fish11_TimeLeft,789.471
Type,RT
FishN,12
Fish,12
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,8.571428571428571
Pond9Fish12_CatchTime,1.272
Pond9Fish12_PondTime,100.476
Pond9Fish12_PondOutcome,130
Pond9Fish12_TotalOutcome,460
Pond9Fish12_TimeLeft,777.084
Type,RT
FishN,12
Fish,13
Pond9Fish13_FishType,purple
Pond9Fish13_FishLatency,10
Pond9Fish13_CatchTime,1.16
Pond9Fish13_PondTime,114.842
Pond9Fish13_PondOutcome,140
Pond9Fish13_TotalOutcome,470
Pond9Fish13_TimeLeft,762.718
PondEnd_LastFish,13
FishN,18
Type,RT
GiveUpTime,0.941
PondTime,115.146
TimeLeft,761.911
PondOutcome,140
TotalOutcome,470
PondStart,PondStart
PondIntroTime,14.015584418084472
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.753
Pond12Fish1_PondTime,8.368
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,480
Pond12Fish1_TimeLeft,738.907
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.234
Pond12Fish2_PondTime,15.067
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,490
Pond12Fish2_TimeLeft,732.208
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,-1
Pond12Fish3_PondTime,22.167
Pond12Fish3_PondOutcome,20
Pond12Fish3_TotalOutcome,490
Pond12Fish3_TimeLeft,725.108
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,1.174
Pond12Fish4_PondTime,29.607
Pond12Fish4_PondOutcome,30
Pond12Fish4_TotalOutcome,500
Pond12Fish4_TimeLeft,717.668
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.381
Pond12Fish5_PondTime,37.467
Pond12Fish5_PondOutcome,40
Pond12Fish5_TotalOutcome,510
Pond12Fish5_TimeLeft,709.807
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,1.476
Pond12Fish6_PondTime,45.897
Pond12Fish6_PondOutcome,50
Pond12Fish6_TotalOutcome,520
Pond12Fish6_TimeLeft,701.378
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,golden
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,1.192
Pond12Fish7_PondTime,54.977
Pond12Fish7_PondOutcome,70
Pond12Fish7_TotalOutcome,540
Pond12Fish7_TimeLeft,692.298
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,1.385
Pond12Fish8_PondTime,64.909
Pond12Fish8_PondOutcome,80
Pond12Fish8_TotalOutcome,550
Pond12Fish8_TimeLeft,682.366
Type,RT
FishN,16
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,1.468
Pond12Fish9_PondTime,75.9
Pond12Fish9_PondOutcome,90
Pond12Fish9_TotalOutcome,560
Pond12Fish9_TimeLeft,671.375
PondEnd_LastFish,9
FishN,16
Type,RT
GiveUpTime,0.95
PondTime,76.53
TimeLeft,670.244
PondOutcome,90
TotalOutcome,560
PondStart,PondStart
PondIntroTime,16.04521889705211
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.064
Pond2Fish1_PondTime,10.26
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,570
Pond2Fish1_TimeLeft,643.289
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.327
Pond2Fish2_PondTime,18.148
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,580
Pond2Fish2_TimeLeft,635.401
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.387
Pond2Fish3_PondTime,26.558
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,590
Pond2Fish3_TimeLeft,626.991
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.539
Pond2Fish4_PondTime,35.658
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,600
Pond2Fish4_TimeLeft,617.891
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,1.093
Pond2Fish5_PondTime,45.598
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,610
Pond2Fish5_TimeLeft,607.951
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,1.017
Pond2Fish6_PondTime,56.592
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,620
Pond2Fish6_TimeLeft,596.957
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,1.1
Pond2Fish7_PondTime,69.008
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,630
Pond2Fish7_TimeLeft,584.54
PondEnd_LastFish,7
FishN,13
Type,RT
GiveUpTime,0.84
PondTime,69.139
TimeLeft,583.905
PondOutcome,70
TotalOutcome,630
PondStart,PondStart
