,5cb912a2e254c8001754eabd
PlayerDetails,5cb912a2e254c8001754eabd
GameCompleted,finished
Selected ponds in the game,=======
Pond4_Type,RT
Pond4_#Fishes,15
Pond8_Type,RT
Pond8_#Fishes,14
Pond1_Type,RT
Pond1_#Fishes,18
Pond2_Type,RT
Pond2_#Fishes,19
Pond11_Type,RT
Pond11_#Fishes,17
Pond6_Type,RT
Pond6_#Fishes,18
Pond3_Type,RT
Pond3_#Fishes,17
Pond9_Type,RT
Pond9_#Fishes,13
Pond7_Type,RT
Pond7_#Fishes,12
Pond12_Type,RT
Pond12_#Fishes,12
Pond10_Type,RT
Pond10_#Fishes,12
Pond5_Type,RT
Pond5_#Fishes,17
Pond9_Type,RT
Pond9_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 02:06:14 GMT-0500 (Eastern Standard Time)
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4
Pond4Fish1_CatchTime,1.062
Pond4Fish1_PondTime,8.553
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,10
Pond4Fish1_TimeLeft,1193.795
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4.285714285714286
Pond4Fish2_CatchTime,1.56
Pond4Fish2_PondTime,15.549
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,20
Pond4Fish2_TimeLeft,1186.8
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,4.615384615384615
Pond4Fish3_CatchTime,1.296
Pond4Fish3_PondTime,22.919
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,30
Pond4Fish3_TimeLeft,1179.43
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,0.992
Pond4Fish4_PondTime,30.766
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,40
Pond4Fish4_TimeLeft,1171.583
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,5.454545454545454
Pond4Fish5_CatchTime,1.044
Pond4Fish5_PondTime,39.14
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,50
Pond4Fish5_TimeLeft,1163.209
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,6
Pond4Fish6_CatchTime,1.118
Pond4Fish6_PondTime,48.184
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,60
Pond4Fish6_TimeLeft,1154.165
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,6.666666666666667
Pond4Fish7_CatchTime,0.957
Pond4Fish7_PondTime,58.064
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,70
Pond4Fish7_TimeLeft,1144.285
PondEnd_LastFish,7
FishN,15
Type,RT
GiveUpTime,1.455
PondTime,58.686
TimeLeft,1143.159
PondOutcome,70
TotalOutcome,70
PondStart,PondStart
PondIntroTime,17.587365943472832
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,1.022
Pond8Fish1_PondTime,8.907
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,80
Pond8Fish1_TimeLeft,1116.029
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,golden
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,1.259
Pond8Fish2_PondTime,16.287
